1stFlrSF,2ndFlrSF
334,0.0
372,720.0
438,0.0
480,0.0
483,504.0
495,1427.0
520,364.6
525,567.0
526,462.0
536,576.0
546,546.0
551,551.0
561,668.0
572,531.5
575,560.0
576,533.0
581,530.0
596,596.0
600,484.0
605,0.0
612,612.0
616,610.2
624,674.0
625,625.0
626,591.0
630,224.0
649,668.0
658,526.0
660,674.0
661,589.0
663,689.0
664,832.0
672,408.72727272727275
673,709.0
676,455.0
679,504.0
680,790.0
682,548.0
684,690.6666666666666
686,564.0
689,696.0
691,403.5
693,0.0
694,373.3333333333333
696,720.0
697,738.0
698,483.2
702,779.0
703,689.0
707,694.5
708,354.0
713,739.0
716,778.0
720,264.5
725,754.0
728,728.0
729,482.0
734,744.0
735,479.5
736,716.0
738,738.0
741,622.0
742,737.6666666666666
747,0.0
750,750.0
751,611.0
752,0.0
753,741.0
754,640.0
755,755.0
756,661.0
757,655.5
760,896.0
764,674.3333333333334
765,600.0
767,0.0
768,219.2
769,780.0
770,812.0
772,351.0
773,489.0
774,592.4
778,399.0
779,320.0
780,454.2
783,701.0
784,0.0
786,597.0
788,351.0
789,0.0
790,392.0
792,357.6666666666667
793,325.0
794,676.0
796,294.8
798,746.4
799,772.0
800,416.0
802,689.5
803,278.5
804,689.8
806,766.0
807,702.0
808,678.6666666666666
810,709.5
811,658.5
812,670.0
813,0.0
814,860.0
815,875.0
816,0.0
818,406.0
820,525.0
822,843.0
824,1070.0
825,293.5
827,417.0
829,727.0
831,829.0
832,665.1428571428571
833,277.6666666666667
835,0.0
838,0.0
840,641.1666666666666
841,403.0
842,630.0
845,0.0
846,846.0
847,1045.0
848,56.0
849,811.0
851,651.0
854,0.0
855,563.75
856,854.0
858,171.6
859,319.0
860,666.0
861,0.0
864,98.28
865,445.0
866,679.25
869,174.5
872,260.5
874,512.3333333333334
875,0.0
876,738.0
877,600.0
879,984.0
880,866.0
882,303.6666666666667
884,624.75
885,833.0
886,0.0
887,1134.0
888,766.6666666666666
889,551.0
892,418.75
893,0.0
894,86.58333333333333
896,672.0
897,439.0
899,0.0
900,150.5
901,600.3333333333334
902,431.5
904,0.0
905,881.0
907,0.0
908,1020.0
909,807.0
910,374.3333333333333
912,336.07142857142856
913,0.0
914,0.0
915,720.0
916,806.6666666666666
918,497.6666666666667
920,903.5
923,0.0
924,0.0
925,275.0
926,339.0
927,988.0
928,457.0
929,929.0
930,0.0
932,460.0
933,975.0
935,0.0
936,388.7142857142857
938,607.5
939,716.0
941,888.0
943,542.6666666666666
944,480.3333333333333
948,344.4
949,272.0
950,104.0
951,0.0
952,149.0
953,702.5
954,265.0
955,338.5
956,1029.0
958,240.2
959,560.0
960,254.28571428571428
961,581.0
962,830.0
963,829.0
964,462.5
965,0.0
966,686.0
968,136.0
969,0.0
970,554.25
971,0.0
972,302.5
974,0.0
975,975.0
976,725.0
977,755.0
979,691.3333333333334
980,402.0
981,393.5
983,778.6666666666666
984,620.0
985,0.0
986,0.0
988,103.4
989,584.0
990,268.5
991,956.0
992,873.0
993,1079.0
996,0.0
997,760.3333333333334
998,764.0
999,0.0
1001,817.5
1002,227.0
1003,0.0
1004,377.0
1005,754.6666666666666
1006,603.0
1007,793.0
1008,0.0
1010,1257.0
1012,389.0
1013,0.0
