1stFlrSF,GarageYrBlt
334,
372,
438,1930.0
480,1958.0
483,1974.142857142857
495,2003.0
520,1983.75
525,1971.0
526,1973.0
536,1976.0
546,1971.0
551,2004.0
561,1980.0
572,1982.0
575,1971.0
576,1971.0
581,1935.0
596,1920.0
600,2004.0
605,
612,2009.0
616,1968.4
624,1957.5
625,2006.0
626,1980.0
630,1974.6
649,1920.0
658,
660,1984.5
661,1985.0
663,1969.0
664,2006.0
672,1965.5555555555557
673,2000.0
676,1941.0
679,1981.0
680,1993.0
682,1966.0
684,1980.0
686,1955.0
689,1952.5
691,1957.5
693,
694,1994.0
696,1999.0
697,1961.5
698,1974.75
702,1994.0
703,2007.0
707,1975.5
708,1968.0
713,1999.0
716,1992.0
720,1964.0
725,1974.0
728,2005.6666666666667
729,1997.5
734,1997.5
735,1956.0
736,
738,2005.0
741,1966.0
742,2002.0
747,1949.0
750,2005.0
751,1920.0
752,1984.0
753,1942.0
754,2007.0
755,1940.0
756,1962.75
757,1967.5
760,2003.0
764,1997.0
765,1970.5
767,1998.0
768,1961.0
769,2000.0
770,2004.0
772,1979.0
773,1974.0
774,1988.75
778,1986.0
779,1995.0
780,1964.5
783,2005.0
784,1950.0
786,2003.5
788,2004.0
789,1937.0
790,1950.5
792,1927.5
793,1939.0
794,1997.0
796,1955.0
798,1980.0
799,1993.0
800,1966.0
802,1994.0
803,1946.0
804,1982.0
806,1995.0
807,2002.5
808,1954.5
810,1966.75
811,1964.5
812,1992.0
813,1932.0
814,2000.0
815,1916.0
816,1976.75
818,1926.0
820,1921.0
822,2007.0
824,2002.0
825,1951.0
827,1981.5
829,1968.0
831,2002.0
832,1963.142857142857
833,1940.0
835,1920.0
838,1961.0
840,1969.8
841,1935.0
842,1925.0
845,1972.0
846,2009.0
847,2003.5
848,1997.1666666666667
849,1939.0
851,1931.0
854,1991.0
855,1976.5
856,2003.0
858,1974.6666666666667
859,1964.0
860,1985.75
861,1961.0
864,1978.1904761904761
865,1924.0
866,2003.3333333333333
869,2003.0
872,1964.5
874,1977.6666666666667
875,1931.0
876,1955.5
877,1928.0
879,2006.0
880,1956.0
882,1978.4
884,1986.75
885,1998.0
886,1938.0
887,2006.0
888,1972.6666666666667
889,1940.0
892,1961.5
893,1985.0
894,1978.8333333333333
896,1936.0
897,1994.0
899,1967.0
900,1966.25
901,1959.6666666666667
902,1976.25
904,1946.0
905,1997.0
907,1964.0
908,1910.0
909,1996.0
910,1967.6666666666667
