1stFlrSF,GrLivArea
334,334.0
372,1092.0
438,438.0
480,480.0
483,987.0
495,1922.0
520,979.4
525,1092.0
526,988.0
536,1112.0
546,1092.0
551,1102.0
561,1229.0
572,1103.5
575,1135.0
576,1109.0
581,1111.0
596,1192.0
600,1084.0
605,605.0
612,1224.0
616,1226.2
624,1298.0
625,1250.0
626,1217.0
630,854.0
649,1317.0
658,1184.0
660,1334.0
661,1250.0
663,1352.0
664,1496.0
672,1080.7272727272727
673,1382.0
676,1131.0
679,1183.0
680,1470.0
682,1230.0
684,1374.6666666666667
686,1250.0
689,1385.0
691,1094.5
693,693.0
694,1067.3333333333333
696,1416.0
697,1435.0
698,1181.2
702,1481.0
703,1392.0
707,1401.5
708,1062.0
713,1452.0
716,1494.0
720,984.5
725,1479.0
728,1456.0
729,1211.0
734,1478.0
735,1214.5
736,1452.0
738,1476.0
741,1363.0
742,1479.6666666666667
747,747.0
750,1500.0
751,1362.0
752,752.0
753,1494.0
754,1394.0
755,1510.0
756,1417.0
757,1412.5
760,1656.0
764,1438.3333333333333
765,1365.0
767,767.0
768,987.2
769,1549.0
770,1582.0
772,1123.0
773,1262.0
774,1366.4
778,1177.0
779,1177.0
780,1234.2
783,1484.0
784,784.0
786,1383.0
788,1139.0
789,789.0
790,1182.0
792,1149.6666666666667
793,1118.0
794,1470.0
796,1090.8
798,1544.4
799,1571.0
800,1216.0
802,1491.5
803,1081.5
804,1493.8
806,1572.0
807,1509.0
808,1534.6666666666667
810,1519.5
811,1469.5
812,1482.0
813,813.0
814,1674.0
815,1690.0
816,856.0
818,1224.0
820,1345.0
822,1665.0
824,1894.0
825,1118.5
827,1244.0
829,1556.0
831,1660.0
832,1497.142857142857
833,1110.6666666666667
835,835.0
838,838.0
840,1481.1666666666667
841,1244.0
842,1472.0
845,845.0
846,1692.0
847,1892.0
848,934.0
849,1660.0
851,1502.0
854,1118.0
855,1418.75
856,1710.0
858,1029.6
859,1178.0
860,1526.0
861,861.0
864,962.28
865,1310.0
866,1545.25
869,1043.5
872,1132.5
874,1386.3333333333333
875,875.0
876,1614.0
877,1477.0
879,1863.0
880,1746.0
882,1185.6666666666667
884,1508.75
885,1718.0
886,886.0
887,2021.0
888,1654.6666666666667
889,1440.0
892,1310.75
893,893.0
894,980.5833333333334
896,1568.0
897,1336.0
899,899.0
900,1050.5
901,1501.3333333333333
902,1333.5
904,904.0
905,1786.0
907,907.0
908,1928.0
909,1716.0
910,1284.3333333333333
912,1248.0714285714287
913,913.0
914,914.0
915,1635.0
916,1722.6666666666667
918,1415.6666666666667
920,1823.5
923,923.0
924,924.0
925,1200.0
926,1460.0
927,1915.0
928,1385.0
929,2229.0
930,930.0
932,1392.0
933,1908.0
935,935.0
936,1324.7142857142858
938,1648.0
939,1655.0
941,1829.0
943,1485.6666666666667
944,1424.3333333333333
948,1292.4
949,1221.0
950,1054.0
951,951.0
952,1101.0
953,1655.5
954,1379.3333333333333
955,1293.5
956,1985.0
958,1198.2
959,1519.0
960,1214.2857142857142
961,1542.0
962,1792.0
963,1792.0
964,1426.5
965,965.0
966,1652.0
968,1104.0
969,969.0
970,1524.25
971,971.0
972,1274.5
974,974.0
975,1950.0
976,1701.0
977,1732.0
979,1670.3333333333333
980,1382.0
981,1374.5
983,1761.6666666666667
984,1604.0
985,985.0
986,986.0
988,1091.4
989,1573.0
990,1258.5
991,1947.0
992,1865.0
993,2072.0
996,996.0
997,1757.3333333333333
998,1762.0
999,999.0
1001,1818.5
1002,1229.0
1003,1003.0
1004,1381.0
1005,1759.6666666666667
1006,1609.0
1007,1800.0
1008,1179.3333333333333
1010,2267.0
1012,1401.0
1013,1526.0
1014,1721.5
1015,1015.0
1020,1954.0
1021,1601.0
1022,1727.5
1024,1964.0
1026,1541.6
1028,1416.0
1029,1029.0
1032,1365.3333333333333
1034,1034.0
1035,1406.0
1036,1268.0
1038,2098.0
1039,1039.0
1040,1147.8125
1041,1392.0
1042,1576.0
1044,1044.0
1047,1047.0
1048,1175.5
1050,1493.25
1051,1839.0
1052,1432.0
1053,1486.5
1054,1054.0
1055,2054.0
1056,1056.0
1057,1519.25
1058,1904.0
1060,1314.6666666666667
1061,1923.0
1062,1505.5
1063,1063.0
1064,1767.0
1065,1488.0
1067,1303.0
1068,1068.0
1069,1069.0
1071,2172.0
1072,1215.4
1073,1073.0
1074,1074.0
1075,2138.0
1077,1077.0
1078,1078.0
1079,1936.0
1080,1417.8
1082,1517.5
1085,1734.0
1086,1497.75
1088,1528.4
1089,1750.0
1090,1090.0
1091,1989.0
1092,1347.0
1094,1474.5
1095,1602.6666666666667
1096,1517.6666666666667
1097,1395.6666666666667
1098,1680.0
1099,1099.0
1100,1100.0
1103,1103.0
1104,1788.0
1105,2274.0
1107,2090.0
1108,1602.5
1110,1110.0
1112,1742.0
1113,1399.0
1114,1114.0
1116,1116.0
1117,1117.0
1118,1574.0
1120,1607.6
1121,1121.0
1122,1682.5
1124,1124.0
1125,1125.0
1126,1126.0
1127,1995.0
1128,1465.0
1130,1657.0
1131,1131.0
1132,1792.0
1133,2151.0
1134,1898.6666666666667
1136,1881.75
1137,1545.5
1138,1138.0
