1stFlrSF,HalfBath
334,0.0
372,0.0
438,0.0
480,0.0
483,1.0
495,0.0
520,0.6
525,1.0
526,0.0
536,1.0
546,1.0
551,1.0
561,1.0
572,0.0
575,0.0
576,0.0
581,0.0
596,0.0
600,0.5
605,0.0
612,1.0
616,0.6
624,0.5
625,1.0
626,1.0
630,0.3333333333333333
649,0.0
658,0.0
660,1.0
661,0.0
663,1.0
664,1.0
672,0.45454545454545453
673,1.0
676,1.0
679,1.0
680,1.0
682,1.0
684,0.3333333333333333
686,1.0
689,0.5
691,0.5
693,0.0
694,0.0
696,1.0
697,0.5
698,0.2
702,1.0
703,0.0
707,1.0
708,0.5
713,1.0
716,1.0
720,0.3333333333333333
725,1.0
728,1.0
729,0.6666666666666666
734,0.5
735,0.5
736,0.0
738,1.0
741,0.0
742,0.6666666666666666
747,0.0
750,1.0
751,0.0
752,0.0
753,0.0
754,1.0
755,0.0
756,0.75
757,0.5
760,1.0
764,0.6666666666666666
765,1.0
767,0.0
768,0.0
769,1.0
770,1.0
772,0.0
773,0.6666666666666666
774,0.8
778,0.5
779,0.5
780,0.4
783,1.0
784,0.0
786,0.5
788,0.5
789,0.0
790,0.5
792,0.0
793,0.0
794,0.0
796,0.4
798,1.0
799,1.0
800,0.5
802,1.0
803,0.5
804,0.8
806,1.0
807,1.0
808,0.6666666666666666
810,0.5
811,0.5
812,1.0
813,0.0
814,1.0
815,0.0
816,0.0
818,0.0
820,0.5
822,1.0
824,1.0
825,0.0
827,0.5
829,1.0
831,1.0
832,0.5714285714285714
833,0.0
835,0.0
838,0.0
840,0.3333333333333333
841,0.5
842,0.0
845,0.0
846,1.0
847,1.0
848,0.0
849,1.0
851,1.0
854,0.5
855,1.0
856,1.0
858,0.2
859,0.0
860,0.75
861,0.0
864,0.12
865,0.0
866,0.75
869,0.0
872,0.5
874,0.3333333333333333
875,0.0
876,0.5
877,0.0
879,1.0
880,1.0
882,0.3333333333333333
884,0.5
885,1.0
886,0.0
887,1.0
888,1.0
889,0.0
892,0.5
893,0.0
894,0.08333333333333333
896,1.0
897,1.0
899,0.0
900,0.25
901,0.6666666666666666
902,0.5
904,0.3333333333333333
905,1.0
907,0.0
908,0.0
909,1.0
910,0.3333333333333333
912,0.35714285714285715
913,0.0
914,0.0
915,1.0
916,1.0
918,0.3333333333333333
920,1.0
923,0.0
924,0.0
925,0.0
926,0.5
927,1.0
928,0.25
929,0.0
930,0.0
932,0.5
933,1.0
935,0.0
936,0.2857142857142857
938,0.0
939,1.0
941,1.0
943,0.6666666666666666
944,0.3333333333333333
948,0.2
949,0.0
950,0.0
951,0.0
952,0.25
953,1.0
954,0.0
955,0.5
956,1.0
958,0.0
959,0.5
960,0.14285714285714285
961,0.0
962,1.0
963,1.0
964,0.5
965,0.0
966,0.0
968,0.0
969,1.0
970,0.0
971,1.0
972,0.0
974,0.0
975,1.0
976,0.6666666666666666
977,1.0
979,0.3333333333333333
980,0.4
981,1.0
983,0.6666666666666666
984,0.0
985,0.0
986,0.0
988,0.0
989,0.0
990,0.16666666666666666
991,1.0
992,1.0
993,1.0
996,0.0
997,0.3333333333333333
998,1.0
999,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.25
1005,0.6666666666666666
1006,0.6666666666666666
1007,1.0
1008,0.0
1010,1.0
1012,1.0
1013,0.0
1014,0.5
1015,0.0
1020,1.0
1021,0.0
1022,0.5
1024,1.0
1026,0.4
1028,0.5
1029,0.0
1032,0.0
1034,0.0
1035,0.0
1036,0.0
1038,1.0
1039,1.0
1040,0.3125
1041,1.0
1042,0.0
1044,0.0
1047,0.0
1048,0.25
1050,0.25
1051,1.0
1052,0.6666666666666666
1053,1.0
1054,0.5
1055,1.0
1056,0.0
1057,0.5
1058,1.0
1060,0.0
1061,1.0
1062,0.5
1063,0.0
1064,0.0
1065,1.0
1067,0.5
1068,0.0
1069,0.0
1071,1.0
1072,0.2
1073,0.5
1074,1.0
1075,0.0
1077,0.0
1078,0.5
1079,1.0
1080,0.4
1082,0.5
1085,1.0
1086,0.5
1088,0.6
1089,0.0
1090,1.0
1091,1.0
1092,0.25
1094,0.5
1095,0.3333333333333333
1096,0.3333333333333333
1097,0.6666666666666666
1098,0.6666666666666666
1099,1.0
1100,0.0
1103,0.0
1104,0.0
1105,0.0
1107,1.0
1108,0.5
1110,0.0
1112,0.3333333333333333
1113,0.6666666666666666
1114,0.5
1116,1.0
1117,0.0
1118,0.5
1120,0.4
1121,0.0
1122,0.5
1124,0.0
1125,0.5
1126,0.0
1127,1.0
1128,0.25
1130,0.5
1131,0.0
1132,1.0
1133,0.5
1134,0.6666666666666666
1136,0.5
1137,0.5
1138,0.0
1140,0.5
1141,1.0
1142,1.0
1143,1.0
1144,0.2
1145,0.5
1146,0.0
1148,0.3333333333333333
1149,0.5
1150,0.0
1152,0.0
1153,1.0
1154,1.0
1155,0.0
1156,1.0
1158,1.0
1159,1.0
1160,1.0
1161,1.0
1163,0.0
1164,0.75
1165,1.0
1166,0.3333333333333333
1167,0.0
1168,0.5
1170,1.0
1172,1.0
1173,0.0
1175,1.0
1178,0.5
1180,0.5
1181,0.0
1182,0.5
1184,1.0
1186,1.0
1187,1.0
1188,0.0
1190,0.0
1192,0.0
1194,0.0
1195,1.0
1196,0.0
1199,0.0
1200,0.2
1203,1.0
1204,0.0
1207,0.0
1208,0.3333333333333333
1210,1.0
1211,0.0
1212,0.0
1214,0.3333333333333333
1215,0.0
1216,0.3333333333333333
1217,0.0
1218,0.0
1220,0.3333333333333333
1221,0.0
1222,0.5
1223,1.0
1224,0.6666666666666666
1225,1.0
1226,0.5
1228,0.5
1229,0.0
1232,0.0
1234,0.5
1235,0.0
1236,0.2
1238,1.0
1240,0.0
1241,1.0
1242,1.0
1244,1.0
1246,0.5
1247,1.0
1248,0.0
1249,1.0
1251,0.0
1252,0.0
1253,0.5
1256,1.0
1258,0.6666666666666666
1260,0.0
1261,0.0
1262,0.0
1264,0.5
1265,0.0
1266,0.0
1268,0.6666666666666666
1269,0.5
1272,2.0
1274,0.0
1276,0.6666666666666666
1277,0.5
1279,0.0
1281,0.0
1282,1.0
1283,0.0
1284,1.0
1285,1.0
1287,0.0
1288,1.0
1291,0.5
1294,0.0
1296,0.0
1297,0.0
1298,0.5
1299,1.0
1301,0.3333333333333333
1302,0.0
1304,0.0
1306,0.25
1307,0.0
1309,1.0
1310,0.5
1314,0.0
1316,0.0
1318,0.0
1319,0.0
1320,0.5
1324,0.0
1325,1.0
1327,0.0
1328,0.75
1332,1.0
1334,0.0
1336,0.0
1337,0.0
1338,1.0
1339,0.0
1340,0.0
1342,0.0
1344,0.0
1349,0.0
1350,0.5
1352,0.3333333333333333
1357,0.0
1358,0.0
1360,0.0
1361,2.0
1362,0.6666666666666666
1363,0.0
1364,0.0
1368,0.0
1370,0.3333333333333333
1372,0.5
1375,0.0
1377,1.0
1378,0.5
1381,1.0
1382,0.5
