1stFlrSF,MSSubClass
334,20.0
372,190.0
438,30.0
480,20.0
483,160.0
495,85.0
520,140.0
525,160.0
526,180.0
536,160.0
546,160.0
551,160.0
561,160.0
572,50.0
575,70.0
576,80.0
581,75.0
596,70.0
600,105.0
605,30.0
612,160.0
616,72.0
624,115.0
625,160.0
626,160.0
630,173.33333333333334
649,70.0
658,50.0
660,60.0
661,50.0
663,60.0
664,60.0
672,92.72727272727273
673,160.0
676,50.0
679,50.0
680,60.0
682,50.0
684,60.0
686,50.0
689,65.0
691,45.0
693,30.0
694,90.0
696,160.0
697,65.0
698,50.0
702,60.0
703,160.0
707,60.0
708,45.0
713,160.0
716,110.0
720,38.333333333333336
725,60.0
728,60.0
729,83.33333333333333
734,55.0
735,55.0
736,190.0
738,60.0
741,70.0
742,98.33333333333333
747,30.0
750,60.0
751,70.0
752,120.0
753,70.0
754,80.0
755,70.0
756,80.0
757,105.0
760,60.0
764,121.66666666666667
765,160.0
767,120.0
768,75.0
769,160.0
770,60.0
772,50.0
773,50.0
774,60.0
778,45.0
779,60.0
780,46.0
783,60.0
784,45.0
786,55.0
788,45.0
789,32.5
790,45.0
792,50.0
793,190.0
794,60.0
796,42.0
798,78.0
799,60.0
800,45.0
802,70.0
803,47.5
804,78.0
806,60.0
807,60.0
808,100.0
810,65.0
811,125.0
812,80.0
813,30.0
814,60.0
815,75.0
816,40.0
818,50.0
820,120.0
822,60.0
824,60.0
825,35.0
827,40.0
829,60.0
831,60.0
832,59.285714285714285
833,36.666666666666664
835,30.0
838,30.0
840,55.833333333333336
841,45.0
842,50.0
845,20.0
846,60.0
847,60.0
848,106.66666666666667
849,70.0
851,70.0
854,47.5
855,160.0
856,60.0
858,41.0
859,50.0
860,68.75
861,30.0
864,26.4
865,50.0
866,52.5
869,40.0
872,35.0
874,43.333333333333336
875,30.0
876,55.0
877,50.0
879,60.0
880,67.5
882,37.5
884,63.75
885,60.0
886,30.0
887,60.0
888,63.333333333333336
889,50.0
892,42.5
893,45.0
894,24.166666666666668
896,70.0
897,50.0
899,20.0
900,48.75
901,50.0
902,42.5
904,31.666666666666668
905,60.0
907,20.0
908,190.0
909,60.0
910,40.0
912,41.785714285714285
913,85.0
914,85.0
915,50.0
916,66.66666666666667
918,85.0
920,60.0
923,70.0
924,20.0
925,90.0
926,55.0
927,60.0
928,47.5
929,75.0
930,20.0
932,40.0
933,60.0
935,20.0
936,70.0
938,45.0
939,65.0
941,60.0
943,70.0
944,43.333333333333336
948,62.0
949,50.0
950,35.0
951,30.0
952,30.0
953,60.0
954,61.666666666666664
955,40.0
956,60.0
958,76.0
959,55.0
960,71.42857142857143
961,60.0
962,60.0
963,60.0
964,110.0
965,20.0
966,50.0
968,36.666666666666664
969,20.0
970,125.0
971,20.0
972,35.0
974,20.0
975,60.0
976,90.0
977,60.0
979,66.66666666666667
980,62.0
981,35.0
983,90.0
984,50.0
985,80.0
986,30.0
988,38.0
989,50.0
990,28.333333333333332
991,60.0
992,60.0
993,60.0
996,57.5
997,53.333333333333336
998,70.0
999,63.333333333333336
1001,70.0
1002,35.0
1003,80.0
1004,55.0
1005,46.666666666666664
1006,46.666666666666664
1007,60.0
1008,30.0
1010,60.0
1012,45.0
1013,50.0
1014,125.0
1015,30.0
1020,55.0
1021,80.0
1022,50.0
1024,70.0
1026,54.0
1028,45.0
1029,20.0
1032,106.66666666666667
1034,80.0
1035,50.0
1036,40.0
1038,60.0
