1stFlrSF,OverallCond
334,3.0
372,5.0
438,5.0
480,3.0
483,5.285714285714286
495,5.0
520,5.8
525,5.0
526,5.0
536,3.0
546,4.666666666666667
551,5.0
561,6.0
572,6.0
575,9.0
576,7.0
581,7.0
596,5.0
600,5.5
605,7.0
612,5.0
616,5.8
624,5.0
625,5.0
626,6.0
630,6.111111111111111
649,4.0
658,3.0
660,5.0
661,6.0
663,7.0
664,5.0
672,6.0
673,5.0
676,6.0
679,7.0
680,8.0
682,6.0
684,6.666666666666667
686,7.0
689,8.0
691,5.5
693,4.0
694,5.666666666666667
696,5.0
697,5.5
698,6.2
702,5.0
703,5.0
707,6.5
708,6.5
713,5.0
716,5.5
720,5.833333333333333
725,8.5
728,5.0
729,5.333333333333333
734,6.5
735,6.0
736,5.0
738,5.0
741,7.0
742,5.333333333333333
747,5.5
750,5.0
751,8.0
752,5.0
753,7.0
754,5.0
755,5.0
756,5.75
757,5.5
760,5.0
764,5.0
765,5.5
767,5.0
768,7.0
769,5.0
770,5.0
772,5.0
773,5.666666666666667
774,5.6
778,5.5
779,5.5
780,6.4
783,5.0
784,4.5
786,7.0
788,5.0
789,5.0
790,5.0
792,7.333333333333333
793,7.0
794,6.0
796,6.2
798,5.2
799,7.0
800,5.5
802,5.0
803,6.0
804,5.6
806,5.0
807,5.0
808,6.333333333333333
810,5.75
811,5.0
812,5.0
813,8.0
814,5.0
815,6.0
816,6.777777777777778
818,8.0
820,6.5
822,6.0
824,5.0
825,6.5
827,6.5
829,6.0
831,5.0
832,6.0
833,6.333333333333333
835,5.0
838,7.0
840,6.0
841,4.0
842,8.0
845,4.5
846,5.0
847,5.0
848,5.0
849,7.0
851,6.0
854,7.0
855,5.5
856,5.0
858,5.6
859,7.0
860,5.75
861,5.0
864,5.8
865,6.0
866,6.0
869,6.5
872,6.0
874,5.666666666666667
875,7.0
876,6.5
877,7.0
879,5.0
880,6.0
882,5.5
884,6.25
885,5.0
886,8.0
887,5.0
888,6.0
889,4.0
892,5.0
893,7.0
894,5.583333333333333
896,4.5
897,6.0
899,7.0
900,6.0
901,6.0
902,5.75
904,5.0
905,5.0
907,6.0
908,8.0
909,5.0
910,5.333333333333333
912,5.928571428571429
913,5.0
914,5.0
915,7.0
916,7.333333333333333
918,5.0
920,5.0
923,5.0
924,6.0
925,6.0
926,6.0
927,5.0
928,5.75
929,6.0
930,7.0
932,5.0
933,5.0
935,6.0
936,5.714285714285714
938,5.5
939,6.5
941,6.0
943,5.333333333333333
944,5.0
948,5.8
949,7.0
950,6.0
951,6.0
952,6.75
953,5.0
954,5.666666666666667
955,6.0
956,5.0
958,6.8
959,5.5
960,5.285714285714286
961,6.5
962,5.0
963,5.0
964,5.5
965,5.0
966,6.0
968,5.666666666666667
969,6.0
970,5.25
971,6.0
972,5.5
974,5.0
975,5.0
976,6.666666666666667
977,5.0
979,5.333333333333333
980,5.2
981,6.0
983,5.666666666666667
984,5.0
985,8.0
986,5.0
988,5.4
989,7.0
990,5.166666666666667
991,5.0
992,5.0
993,5.0
996,6.0
997,6.0
998,7.0
999,7.0
1001,7.0
1002,4.5
1003,6.0
1004,6.0
1005,5.0
1006,4.333333333333333
1007,5.0
1008,6.0
1010,5.0
1012,5.0
1013,2.0
1014,6.0
1015,7.0
1020,7.5
1021,6.0
1022,4.75
1024,6.0
1026,6.0
1028,5.5
1029,5.0
1032,6.666666666666667
1034,5.0
1035,7.0
1036,7.0
1038,5.0
1039,4.0
1040,5.3125
1041,6.0
1042,6.0
1044,5.0
1047,7.0
1048,5.5
1050,5.5
1051,5.0
1052,6.666666666666667
1053,6.5
1054,7.5
1055,5.0
1056,5.5
1057,5.5
1058,5.0
1060,7.0
1061,5.0
1062,5.0
1063,5.0
1064,7.0
1065,5.0
1067,6.5
1068,8.0
1069,5.5
1071,5.0
1072,5.2
1073,6.5
1074,6.0
1075,5.0
1077,4.0
1078,6.0
1079,5.0
1080,5.8
1082,5.0
1085,7.0
1086,5.5
1088,5.4
1089,6.0
1090,5.0
1091,5.0
1092,5.5
1094,6.0
1095,4.0
1096,6.666666666666667
1097,5.0
1098,6.0
1099,6.0
1100,5.0
1103,6.0
1104,5.0
1105,5.0
1107,6.0
1108,6.5
1110,6.0
1112,7.0
1113,6.333333333333333
1114,5.0
1116,6.0
1117,5.0
1118,6.0
1120,4.8
1121,5.5
1122,6.0
1124,5.0
1125,5.5
1126,5.333333333333333
1127,5.5
1128,5.75
1130,5.5
1131,7.0
1132,5.0
1133,5.5
1134,5.666666666666667
1136,5.75
1137,7.5
1138,8.0
1140,6.0
1141,5.0
1142,5.666666666666667
1143,5.0
1144,5.8
1145,5.0
1146,5.0
1148,5.333333333333333
1149,6.0
1150,6.0
1152,6.666666666666667
1153,6.0
1154,6.0
1155,7.0
1156,5.0
1158,5.0
1159,5.0
1160,5.5
1161,6.0
1163,7.5
1164,5.5
1165,6.0
1166,5.0
1167,5.5
1168,5.0
1170,8.0
1172,6.0
1173,6.0
1175,7.5
1178,5.0
1180,5.0
1181,5.0
1182,5.5
1184,5.0
1186,6.0
1187,5.0
1188,6.75
1190,5.5
1192,5.0
1194,6.0
1195,5.0
1196,6.0
1199,5.0
1200,5.6
1203,5.0
1204,5.0
1207,7.0
1208,5.333333333333333
1210,5.0
1211,5.0
1212,5.666666666666667
1214,5.666666666666667
1215,7.0
1216,5.0
1217,5.0
1218,5.0
1220,5.0
1221,6.0
1222,5.5
1223,5.0
1224,5.0
1225,5.0
1226,4.5
1228,5.5
1229,6.0
1232,5.5
1234,5.0
1235,3.0
1236,6.6
1238,5.0
1240,5.0
1241,5.0
