1stFlrSF,OverallQual
334,1.0
372,4.0
438,2.0
480,2.0
483,6.0
495,7.0
520,6.2
525,6.0
526,4.0
536,5.0
546,4.0
551,7.0
561,6.0
572,6.5
575,7.0
576,5.0
581,5.0
596,5.0
600,5.0
605,4.0
612,6.0
616,5.4
624,6.0
625,7.0
626,6.0
630,4.444444444444445
649,4.0
658,5.0
660,6.5
661,5.0
663,6.0
664,7.0
672,5.181818181818182
673,7.0
676,5.0
679,3.0
680,6.0
682,5.0
684,6.0
686,5.0
689,6.5
691,5.5
693,4.0
694,4.0
696,7.0
697,6.0
698,5.4
702,6.0
703,7.0
707,7.5
708,5.0
713,7.0
716,6.5
720,4.5
725,6.5
728,6.5
729,5.333333333333333
734,5.5
735,5.5
736,4.0
738,6.0
741,4.0
742,6.0
747,4.0
750,6.0
751,6.0
752,6.0
753,6.0
754,5.0
755,4.0
756,6.0
757,5.5
760,7.0
764,6.833333333333333
765,5.0
767,7.0
768,5.0
769,6.0
770,7.0
772,4.0
773,5.666666666666667
774,5.8
778,6.0
779,6.5
780,5.4
783,6.0
784,5.5
786,7.0
788,5.5
789,5.0
790,6.0
792,5.666666666666667
793,5.0
794,6.0
796,4.4
798,5.8
799,6.0
800,4.0
802,6.5
803,5.0
804,6.0
806,6.0
807,6.5
808,5.333333333333333
810,6.0
811,5.5
812,7.0
813,6.0
814,7.0
815,7.0
816,5.222222222222222
818,6.0
820,5.0
822,7.0
824,7.0
825,5.5
827,6.0
829,6.0
831,7.0
832,6.571428571428571
833,6.0
835,5.0
838,6.0
840,5.333333333333333
841,5.0
842,5.0
845,4.0
846,7.0
847,7.0
848,5.75
849,6.0
851,7.0
854,6.0
855,6.0
856,7.0
858,4.8
859,4.0
860,6.25
861,4.0
864,4.76
865,6.0
866,6.75
869,5.0
872,4.5
874,5.666666666666667
875,5.0
876,5.0
877,7.0
879,7.0
880,7.0
882,5.333333333333333
884,6.0
885,7.0
886,5.0
887,7.0
888,5.666666666666667
889,5.0
892,5.25
893,5.0
894,4.833333333333333
896,5.0
897,4.0
899,5.0
900,5.25
901,6.333333333333333
902,6.0
904,4.0
905,6.0
907,4.0
908,6.0
909,7.0
910,5.0
912,5.714285714285714
913,6.0
914,5.0
915,6.0
916,7.0
918,6.333333333333333
920,7.0
923,5.5
924,5.0
925,5.0
926,5.5
927,8.0
928,5.25
929,6.0
930,4.0
932,6.5
933,7.0
935,5.0
936,5.285714285714286
938,6.5
939,6.0
941,7.0
