2ndFlrSF,1stFlrSF
0,1276.7683956574185
110,1088.0
167,1619.0
192,1332.0
208,950.0
213,1072.0
220,1032.0
224,979.0
240,726.0
252,672.0
272,949.0
299,735.0
304,1390.0
316,936.0
319,859.0
325,793.0
332,976.0
336,912.0
348,792.0
349,869.0
351,772.0
358,796.0
368,600.0
370,1096.0
371,1035.0
378,756.0
384,783.0
390,786.0
403,1192.0
406,889.5
408,963.5
430,698.0
432,1035.0
438,1112.0
439,897.0
441,1088.0
445,996.5
448,1028.0
454,1002.0
455,676.0
456,774.0
457,1281.0
462,526.0
464,884.0
467,1002.0
468,1120.0
472,893.5
473,997.0
475,910.0
482,1454.0
495,616.0
504,570.2222222222222
510,1048.0
511,1163.0
512,684.0
514,912.0
517,988.0
518,810.0
520,845.5
521,872.0
523,820.0
524,572.0
526,658.0
527,820.0
530,884.0
533,576.0
534,941.0
539,572.0
540,876.0
545,944.0
546,670.5
547,808.0
548,682.0
550,860.5
551,942.5
556,1112.0
557,803.0
560,636.5
561,1188.0
564,703.0
566,796.0
567,641.0
568,1438.0
571,1391.0
573,1299.0
574,1504.0
576,673.5
580,1021.0
581,958.0
582,773.0
584,1153.5
586,855.0
587,825.0
589,661.0
590,1742.0
591,626.0
592,1226.0
595,780.0
596,776.0
600,677.2857142857143
601,855.0
602,900.0
605,972.0
611,751.0
612,612.0
620,971.0
622,741.0
623,520.0
625,625.0
626,1575.0
628,624.0
630,842.0
631,1518.0
634,1001.0
636,1496.0
639,1216.0
640,766.5
644,1195.0
648,1338.0
649,1085.0
650,853.0
651,1183.5
653,1328.0
656,774.0
660,799.6666666666666
661,1089.0
664,768.0
665,1026.0
668,820.6666666666666
670,806.0
672,749.625
676,841.0
677,1065.0
678,1047.0
679,1095.0
682,707.0
684,901.3333333333334
685,1027.0
686,966.0
687,1133.0
688,638.0
689,859.6
691,1221.0
694,953.0
695,943.0
698,960.0
700,1444.0
701,783.0
702,860.75
703,876.5
704,1222.6666666666667
707,707.0
708,708.0
709,737.5
711,953.0
712,959.0
713,756.0
714,672.0
716,726.0
717,729.0
720,938.2857142857143
725,792.0
727,829.0
728,779.6
729,778.3333333333334
730,1014.0
732,976.0
734,980.0
738,738.0
739,905.75
741,1028.5
742,810.6666666666666
743,2129.0
744,780.5
745,1050.0
748,1561.0
750,750.0
752,1022.0
754,725.0
755,866.0
756,871.4
761,1094.0
762,1574.0
764,1029.0
765,879.0
766,806.0
767,983.0
768,1136.0
769,1006.0
772,799.0
776,1028.0
778,1012.0
779,702.0
780,1099.6
783,828.0
784,790.0
785,872.0
787,981.0
788,1051.0
790,867.5
793,986.3333333333334
795,1158.3333333333333
796,616.0
797,1144.0
798,778.0
800,1177.0
804,882.0
806,1109.0
807,925.0
808,1031.5
809,959.0
811,849.0
812,770.0
813,890.5
817,1137.0
826,916.0
828,840.0
829,897.0
830,962.0
831,1020.0
832,765.3333333333334
833,859.0
834,827.0
836,928.0
838,1086.0
840,870.2
842,798.0
843,822.0
844,987.5
846,989.6666666666666
848,1004.0
850,1123.5
854,856.0
855,810.0
857,1236.0
858,970.0
860,837.0
862,1003.4
864,864.0
866,1058.0
868,888.0
870,1220.0
871,1049.6666666666667
872,1146.5
873,992.0
874,1079.0
875,815.0
876,1338.0
878,982.75
880,1262.0
881,905.0
882,1180.0
883,1136.0
884,1160.0
885,1028.5
