2ndFlrSF,FullBath
0,1.4234016887816647
110,1.0
167,2.0
192,0.0
208,1.0
213,1.0
220,1.0
224,1.0
240,1.0
252,1.0
272,1.0
299,1.0
304,2.0
316,1.0
319,1.0
325,1.0
332,1.0
336,1.0
348,1.0
349,1.0
351,1.0
358,1.0
368,1.0
370,2.0
371,1.0
378,1.0
384,1.0
390,1.0
403,1.0
406,1.0
408,1.0
430,1.0
432,1.5
438,2.0
439,1.0
441,2.0
445,2.0
448,1.5
454,1.0
455,1.0
456,1.0
457,2.0
462,1.0
464,1.0
467,2.0
468,2.0
472,1.0
473,2.0
475,2.0
482,2.0
495,1.0
504,1.0
510,1.0
511,2.0
512,1.0
514,1.0
517,1.0
518,1.0
520,1.5
521,1.0
523,1.0
524,1.0
526,1.0
527,1.0
530,1.5
533,1.0
534,1.0
539,1.0
540,1.0
545,2.0
546,1.0
547,2.0
548,1.0
550,1.5
551,1.5
556,1.0
557,1.0
560,1.0
561,1.0
564,1.0
566,1.0
567,1.0
568,1.5
571,2.0
573,2.0
574,1.5
576,1.5
580,1.0
581,2.0
582,1.0
584,1.5
586,2.0
587,1.0
589,2.0
590,2.0
591,1.0
592,1.0
595,1.0
596,1.6666666666666667
600,1.7142857142857142
601,2.0
602,1.0
605,1.0
611,2.0
612,2.0
620,1.5
622,1.0
623,2.0
625,2.0
626,2.0
628,2.0
630,1.0
631,1.0
634,1.0
636,1.0
639,2.0
640,2.0
644,2.0
648,1.5
649,1.0
650,1.0
651,1.5
653,2.0
656,2.0
660,1.6666666666666667
661,1.0
664,2.0
665,2.0
668,1.3333333333333333
670,2.0
672,1.75
676,2.0
677,2.0
678,2.0
679,2.0
682,1.0
684,1.3333333333333333
685,2.0
686,2.0
687,2.0
688,1.0
689,1.6
691,2.0
694,2.0
695,2.0
698,2.0
700,2.0
701,2.0
702,1.75
703,1.5
704,1.6666666666666667
707,2.0
708,2.0
709,2.0
711,2.0
712,2.0
713,1.0
714,2.0
716,2.0
717,2.0
720,1.7142857142857142
725,1.0
727,1.0
728,1.9
729,2.0
730,2.0
732,2.0
734,2.0
738,2.0
739,2.0
741,1.5
742,2.0
743,2.0
744,2.0
745,2.0
748,2.0
750,2.0
752,2.0
754,1.5
755,1.5
756,1.6
761,2.0
762,2.0
764,1.0
765,2.0
766,2.0
767,2.0
768,1.0
769,2.0
772,2.0
776,2.0
778,1.0
779,2.0
780,1.8
783,2.0
784,2.0
785,2.0
787,1.0
788,1.0
790,2.0
793,2.0
795,1.3333333333333333
796,2.0
797,2.0
798,2.0
800,2.0
804,1.75
806,1.5
807,2.0
808,2.0
809,1.5
811,1.0
812,2.0
813,1.0
817,1.0
826,1.0
828,2.0
829,2.0
830,2.0
831,2.0
832,1.6666666666666667
833,1.5
834,2.0
836,2.0
838,2.0
840,2.0
842,2.0
843,2.0
844,2.0
846,2.0
848,2.0
850,1.5
854,2.0
855,2.0
857,2.0
858,1.6666666666666667
860,2.0
862,2.0
864,2.0
866,2.0
868,2.0
870,2.0
871,2.0
872,2.0
873,2.0
874,2.0
875,1.0
876,2.5
878,2.0
880,2.0
881,2.0
882,2.0
883,1.0
884,2.0
885,2.0
886,2.3333333333333335
887,2.5
888,1.6666666666666667
892,1.0
895,1.0
896,2.1666666666666665
898,2.0
900,2.0
901,1.0
902,2.0
903,2.0
904,2.0
908,2.0
910,1.0
912,2.0
913,2.0
914,2.0
915,2.0
918,1.0
920,2.0
924,1.0
925,1.0
928,2.0
929,1.0
930,2.0
932,2.0
933,2.0
936,2.0
939,2.0
940,1.0
941,2.0
950,2.0
954,2.0
956,2.0
960,2.0
966,2.0
971,3.0
975,2.0
977,2.0
978,1.5
979,2.0
980,2.0
981,2.0
983,2.0
984,2.0
985,2.0
988,2.0
989,2.0
992,2.0
994,2.0
998,2.0
1000,2.0
1001,2.0
1015,2.0
1017,2.0
1020,2.0
1028,2.0
1031,2.0
1032,2.0
1037,1.0
1038,2.0
1039,2.0
1040,1.5
1044,2.0
1051,3.0
1053,2.0
1054,2.0
1060,2.0
1063,2.0
1066,2.0
1067,2.0
1070,2.0
1072,2.0
1080,2.0
1081,2.0
1088,3.0
1092,2.0
1093,2.0
1096,2.0
1097,2.0
1098,2.0
1100,2.0
1101,2.0
1103,2.0
1104,2.0
1106,2.0
1111,2.0
1112,2.0
1116,2.0
1120,2.0
1121,2.0
1122,2.0
1128,2.0
1129,2.0
1134,2.0
1140,2.0
1141,2.0
1142,2.5
1151,2.0
1152,2.0
1157,2.0
1160,2.0
1168,2.0
1169,2.0
1174,3.0
1175,2.0
1177,2.0
1178,2.0
1182,2.0
1185,2.0
1194,2.0
1196,2.0
1200,2.0
1203,2.0
1208,2.0
1215,2.0
1216,2.0
1218,3.0
1230,2.0
1237,2.0
1242,2.0
1243,2.0
1254,2.3333333333333335
1257,2.0
1259,2.0
1274,2.0
1276,2.0
1281,2.0
1286,2.0
1288,2.0
1296,2.0
1304,2.0
1306,2.0
1312,2.0
1320,2.0
1323,2.0
1330,2.0
1332,2.0
1336,2.0
1347,3.0
1349,2.0
1357,2.0
1360,2.0
1362,3.0
1370,2.0
1392,3.0
1414,2.0
1426,2.0
1427,3.0
1440,2.0
1479,3.0
1518,2.0
1519,3.0
1523,3.0
1538,3.0
1540,3.0
1589,3.0
1611,3.0
1796,3.0
1818,3.0
1872,3.0
2065,3.0
