2ndFlrSF,GarageCars
0,1.7334137515078407
110,0.0
167,2.0
192,2.0
208,1.0
213,1.0
220,1.0
224,1.0
240,0.0
252,1.5
272,1.0
299,1.0
304,2.0
316,2.0
319,1.0
325,2.0
332,1.0
336,1.0
348,0.0
349,2.0
351,1.0
358,1.0
368,0.0
370,2.0
371,0.0
378,1.0
384,1.5
390,2.0
403,1.0
406,1.0
408,1.0
430,2.0
432,1.5
438,2.0
439,1.0
441,1.0
445,1.5
448,1.0
454,1.0
455,1.0
456,1.0
457,1.0
462,1.0
464,1.0
467,1.5
468,2.0
472,1.0
473,1.0
475,2.0
482,2.0
495,1.0
504,1.1111111111111112
510,1.0
511,2.0
512,2.0
514,1.0
517,1.0
518,1.0
520,1.5
521,1.0
523,1.0
524,0.0
526,0.0
527,0.0
530,1.5
533,1.0
534,1.0
539,1.0
540,3.0
545,1.0
546,0.75
547,0.0
548,2.0
550,1.0
551,1.75
556,1.0
557,1.0
560,1.5
561,2.0
564,1.0
566,2.0
567,1.0
568,2.0
571,3.0
573,2.0
574,2.0
576,1.0
580,1.0
581,2.0
582,0.0
584,1.5
586,2.0
587,1.0
589,2.0
590,3.0
591,1.0
592,1.0
595,1.0
596,1.3333333333333333
600,1.5714285714285714
601,2.0
602,1.0
605,1.0
611,2.0
612,2.0
620,1.5
622,2.0
623,2.0
625,2.0
626,2.0
628,2.0
630,1.0
631,2.0
634,1.0
636,2.0
639,1.0
640,2.0
644,2.0
648,1.5
649,2.0
650,1.5
651,1.5
653,2.0
656,2.0
660,2.0
661,1.0
664,2.0
665,1.0
668,1.6666666666666667
670,2.0
672,1.25
676,2.0
677,2.3333333333333335
678,1.5
679,3.0
682,1.0
684,1.3333333333333333
685,2.0
686,1.0
687,1.0
688,1.5
689,1.6
691,2.0
694,2.0
695,2.0
698,1.5
700,2.0
701,2.0
702,2.0
703,1.5
704,1.3333333333333333
707,2.0
708,2.0
709,2.0
711,2.0
712,2.0
713,1.0
714,2.0
716,1.0
717,2.0
720,1.7142857142857142
725,2.0
727,2.0
728,1.9
729,2.0
730,2.0
732,2.0
734,2.0
738,2.0
739,2.0
741,1.75
742,1.3333333333333333
743,2.0
744,2.0
745,1.0
748,1.5
750,2.0
752,2.0
754,2.0
755,1.5
756,2.0
761,2.0
762,3.0
764,2.0
765,1.5
766,2.0
767,1.0
768,1.0
769,2.0
772,2.0
776,2.0
778,2.0
779,2.0
780,1.6
783,2.0
784,2.0
785,2.0
787,1.0
788,2.0
790,2.0
793,2.0
795,1.6666666666666667
796,2.0
797,2.0
798,2.0
800,2.0
804,1.75
806,2.0
807,2.0
808,2.0
809,2.0
811,1.0
812,2.0
813,2.0
817,2.0
826,2.0
828,2.0
829,2.0
830,2.0
831,2.0
832,2.0
833,1.5
834,2.0
836,2.0
838,2.0
840,1.8
842,2.0
843,2.0
844,2.5
846,2.0
848,3.0
850,2.5
854,2.0
855,2.0
857,2.0
858,2.0
860,2.0
862,1.8
864,2.0
866,2.0
868,2.0
870,2.0
871,2.6666666666666665
872,2.0
873,3.0
874,2.0
875,1.0
876,2.5
878,2.0
880,2.3333333333333335
881,2.0
882,2.0
883,2.0
884,1.5
885,2.0
886,2.0
887,2.0
888,2.0
892,1.0
895,2.0
896,1.5
898,2.0
900,2.5
901,1.0
902,2.0
903,2.0
904,2.0
908,2.0
910,1.0
912,1.0
913,2.0
914,2.0
915,2.0
918,2.0
920,2.0
924,2.0
925,1.0
928,0.0
929,0.0
930,2.0
932,3.0
933,2.0
936,1.0
939,2.0
940,0.0
941,2.0
950,2.0
954,2.0
956,2.0
960,1.0
966,2.0
971,0.0
975,2.0
977,2.0
978,2.0
979,2.0
980,0.0
981,3.0
983,2.0
984,3.0
985,3.0
988,2.0
989,2.0
992,2.0
994,1.0
998,2.0
1000,2.0
1001,3.0
1015,3.0
1017,3.0
1020,1.5
1028,3.0
1031,2.0
1032,1.5
1037,1.0
1038,2.0
1039,3.0
1040,2.5
1044,2.0
1051,2.0
1053,3.0
1054,3.0
1060,3.0
1063,2.0
1066,2.0
1067,3.0
1070,2.0
1072,2.0
1080,2.0
1081,2.0
1088,3.0
1092,3.0
1093,3.0
1096,3.0
1097,3.0
1098,2.0
1100,2.0
1101,2.5
1103,2.0
1104,2.0
1106,3.0
1111,2.0
1112,2.0
1116,2.0
1120,2.0
1121,3.0
1122,2.0
1128,2.0
1129,2.0
1134,2.0
1140,3.0
1141,2.0
1142,2.5
1151,2.0
1152,1.0
1157,2.0
1160,3.0
1168,3.0
1169,2.0
1174,3.0
1175,2.0
1177,2.5
1178,2.0
1182,2.0
1185,3.0
1194,3.0
1196,1.0
1200,2.0
1203,3.0
1208,2.0
1215,1.5
1216,2.0
1218,3.0
1230,2.0
1237,3.0
1242,2.0
1243,2.0
1254,2.3333333333333335
1257,2.0
1259,2.0
1274,3.0
1276,2.0
1281,2.0
1286,2.0
1288,3.0
1296,4.0
1304,3.0
1306,3.0
1312,3.0
1320,3.5
1323,3.0
1330,2.5
1332,3.0
1336,3.0
1347,3.0
1349,3.0
1357,2.0
1360,2.0
1362,3.0
1370,3.0
1392,2.0
1414,3.0
1426,2.0
1427,2.0
1440,0.0
1479,3.0
1518,3.0
1519,3.0
1523,3.0
1538,3.0
1540,2.0
1589,3.0
1611,2.0
1796,3.0
1818,3.0
1872,3.0
2065,3.0
