2ndFlrSF,LotArea
0,10414.743063932448
110,5586.0
167,164660.0
192,23595.0
208,6000.0
213,8635.0
220,9600.0
224,7015.0
240,6291.0
252,10122.0
272,9738.0
299,10134.0
304,8400.0
316,7438.0
319,8712.0
325,7800.0
332,9600.0
336,9439.0
348,8800.0
349,6000.0
351,6060.0
358,5436.0
368,5925.0
370,10800.0
371,7920.0
378,8160.0
384,6440.0
390,6000.0
403,8400.0
406,6177.5
408,7866.0
430,7500.0
432,10946.0
438,8125.0
439,11040.0
441,8405.0
445,6620.0
448,6205.5
454,7585.0
455,5720.0
456,4712.0
457,12513.0
462,1596.0
464,6000.0
467,3854.0
468,17120.0
472,8460.0
473,8172.0
475,8520.0
482,11194.0
495,9084.0
504,4400.666666666667
510,10930.0
511,21780.0
512,12354.0
514,7642.0
517,9144.0
518,9906.0
520,9455.0
521,16466.0
523,7681.0
524,9600.0
526,8410.0
527,7000.0
530,10479.0
533,10500.0
534,5820.0
539,5700.0
540,12665.0
545,9900.0
546,3809.75
547,10106.0
548,10440.0
550,7216.0
551,10488.25
556,9600.0
557,7200.0
560,8130.0
561,8820.0
564,5874.0
566,14115.0
567,3840.0
568,12443.5
571,8760.0
573,11885.0
574,9906.5
576,4296.0
580,13825.0
581,10440.0
582,6882.0
584,7525.0
586,2289.0
587,6000.0
589,5362.0
590,12474.0
591,10762.0
592,7758.0
595,9000.0
596,7422.0
600,4417.428571428572
601,2280.0
602,10592.0
605,6435.0
611,6155.0
612,3475.5
620,10244.0
622,7740.0
623,2544.0
625,4134.0
626,19690.0
628,2160.0
630,9600.0
631,12822.0
634,5310.0
636,12327.0
639,9525.0
640,8742.5
644,16770.0
648,12255.0
649,9786.0
650,10172.0
651,12371.0
653,7804.0
656,8858.5
660,8562.0
661,9000.0
664,9600.0
665,5000.0
668,7816.666666666667
670,9479.666666666666
672,6435.5
676,11134.5
677,7593.0
678,10667.5
679,9600.0
682,3378.0
684,7874.333333333333
685,11099.5
686,10800.0
687,9120.0
688,5127.5
689,8639.4
691,10800.0
694,7917.0
695,9042.0
698,9461.0
700,159000.0
701,10237.0
702,10705.0
703,8103.0
704,12090.0
707,9056.0
708,11700.0
709,6929.0
711,8121.0
712,10852.0
713,10320.0
714,11616.0
716,6125.5
717,21872.0
720,8009.714285714285
725,11435.0
727,11700.0
728,9540.0
729,4625.0
730,9453.0
732,3363.0
734,10421.0
738,8633.0
739,2825.25
741,9245.25
742,8984.0
743,10678.0
744,2294.0
745,12150.0
748,10582.0
750,8846.0
752,6120.0
754,10494.5
755,9145.0
756,5181.8
761,9600.0
762,27711.5
764,10357.5
765,8487.0
766,10364.0
767,12508.0
768,7200.0
769,9317.0
772,7837.0
776,7500.0
778,10400.0
779,8125.0
780,9798.0
783,16661.0
784,18800.0
785,9049.0
787,7200.0
788,7700.0
790,10491.5
793,9220.0
795,11972.0
796,8499.0
797,9982.0
798,8125.0
800,12337.5
804,7430.0
806,10347.5
807,11022.666666666666
808,11126.0
809,10216.0
811,11988.0
812,8320.0
813,8408.0
817,15660.0
826,17671.0
828,11317.0
829,10685.0
830,10261.0
831,9760.0
832,12124.666666666666
833,7620.5
834,10667.0
836,15426.0
838,12011.0
840,11587.2
842,7796.0
843,8125.0
844,9826.0
846,11213.333333333334
848,9066.0
850,10282.5
854,8450.0
855,8400.0
857,20544.0
858,9389.0
860,9572.5
862,5210.0
864,9052.0
866,10578.333333333334
868,9303.0
870,10000.0
871,16511.0
872,10389.0
873,10316.0
874,53107.0
875,8850.0
876,13983.5
878,9818.25
880,12858.333333333334
881,9337.0
882,14364.0
883,11414.0
884,7708.5
885,8687.5
886,11152.333333333334
887,10072.5
888,9742.666666666666
892,13132.0
895,11275.0
896,10163.833333333334
898,11367.0
900,7762.5
901,7588.0
902,10286.0
903,9473.0
904,10944.0
908,9179.0
910,2500.0
912,10723.0
913,10400.0
914,9531.0
915,15413.666666666666
918,13700.0
920,8640.0
924,9600.0
925,10120.0
928,8777.0
929,5520.0
930,11214.0
932,10625.0
933,9120.0
936,7590.0
939,9375.0
940,8525.0
941,13825.0
950,63887.0
954,14000.0
956,12552.0
960,13000.0
966,28698.0
971,18030.0
975,8074.5
977,9375.0
978,10781.0
979,7136.0
980,7082.0
981,11003.0
983,12987.5
984,14054.0
985,9452.0
988,10041.0
989,9750.0
992,11345.0
994,6600.0
998,15863.0
1000,7596.0
1001,6270.0
1015,11787.0
1017,11228.0
1020,10108.5
1028,10800.0
1031,7200.0
1032,11062.0
1037,11500.0
1038,8755.0
1039,14598.0
1040,11115.5
1044,11340.0
1051,45600.0
1053,14260.0
1054,11308.0
1060,10240.0
1063,8100.0
1066,10800.0
1067,10208.0
1070,15347.0
1072,12798.0
1080,11275.0
1081,8200.0
1088,13891.0
1092,9588.0
1093,10542.0
1096,13688.0
1097,9430.0
1098,12090.0
1100,7851.0
1101,13273.5
1103,8004.0
1104,21930.0
1106,11764.0
1111,12205.0
1112,11796.0
1116,16059.0
1120,7018.0
1121,13474.0
1122,12256.0
1128,10142.0
1129,13346.0
1134,23257.0
1140,14272.0
1141,11250.0
1142,11476.5
1151,9505.0
1152,9042.0
1157,12209.0
1160,9200.0
1168,14541.0
1169,11600.0
1174,13518.0
1175,16560.0
1177,12577.0
1178,10570.0
1182,9375.0
1185,14720.0
1194,12003.0
1196,24090.0
1200,13005.0
1203,12257.0
1208,9840.0
1215,9187.5
1216,11170.0
1218,14215.0
1230,3964.0
1237,14948.0
1242,16226.0
1243,13006.0
1254,16029.333333333334
1257,8068.0
1259,18890.0
1274,9900.0
1276,8795.0
1281,26178.0
1286,8738.0
1288,11000.0
1296,11643.0
1304,15138.0
1306,9950.0
1312,12438.0
1320,12559.0
1323,10120.0
1330,10909.0
1332,12099.0
1336,12203.0
1347,16259.0
1349,12665.0
1357,9572.0
1360,25419.0
1362,9965.0
1370,11198.0
1392,16692.0
1414,9965.0
1426,9000.0
1427,7301.0
1440,10896.0
1479,14100.0
1518,22950.0
1519,13682.0
1523,12376.0
1538,40094.0
1540,8963.0
1589,53504.0
1611,9842.0
1796,35760.0
1818,18386.0
1872,21535.0
2065,15623.0
