2ndFlrSF,MSSubClass
0,43.35946924004825
110,50.0
167,190.0
192,40.0
208,50.0
213,50.0
220,50.0
224,50.0
240,50.0
252,120.0
272,50.0
299,50.0
304,50.0
316,50.0
319,50.0
325,190.0
332,50.0
336,50.0
348,50.0
349,50.0
351,50.0
358,50.0
368,50.0
370,50.0
371,50.0
378,50.0
384,50.0
390,50.0
403,50.0
406,50.0
408,50.0
430,50.0
432,70.0
438,60.0
439,50.0
441,50.0
445,50.0
448,50.0
454,50.0
455,50.0
456,50.0
457,50.0
462,180.0
464,50.0
467,100.0
468,50.0
472,50.0
473,50.0
475,50.0
482,60.0
495,50.0
504,137.77777777777777
510,50.0
511,50.0
512,50.0
514,50.0
517,50.0
518,70.0
520,50.0
521,50.0
523,50.0
524,50.0
526,50.0
527,190.0
530,62.5
533,80.0
534,50.0
539,50.0
540,50.0
545,50.0
546,146.25
547,190.0
548,50.0
550,105.0
551,80.0
556,50.0
557,50.0
560,60.0
561,50.0
564,50.0
566,50.0
567,105.0
568,55.0
571,60.0
573,60.0
574,65.0
576,175.0
580,80.0
581,70.0
582,70.0
584,70.0
586,160.0
587,50.0
589,50.0
590,60.0
591,160.0
592,50.0
595,50.0
596,56.666666666666664
600,148.57142857142858
601,160.0
602,70.0
605,50.0
611,70.0
612,160.0
620,50.0
622,70.0
623,160.0
625,160.0
626,80.0
628,160.0
630,50.0
631,50.0
634,50.0
636,50.0
639,50.0
640,80.0
644,60.0
648,120.0
649,50.0
650,60.0
651,65.0
653,50.0
656,80.0
660,56.666666666666664
661,70.0
664,70.0
665,50.0
668,93.33333333333333
670,80.0
672,98.75
676,60.0
677,93.33333333333333
678,55.0
679,70.0
682,60.0
684,60.0
685,125.0
686,50.0
687,50.0
688,110.0
689,83.0
691,190.0
694,60.0
695,60.0
698,75.0
700,50.0
701,60.0
702,60.0
703,110.0
704,66.66666666666667
707,60.0
708,60.0
709,110.0
711,60.0
712,60.0
713,50.0
714,60.0
716,125.0
717,60.0
720,93.57142857142857
725,70.0
727,60.0
728,63.5
729,126.66666666666667
730,60.0
732,160.0
734,60.0
738,60.0
739,160.0
741,65.0
742,65.0
743,50.0
744,160.0
745,50.0
748,60.0
750,60.0
752,50.0
754,60.0
755,65.0
756,124.0
761,80.0
762,60.0
764,70.0
765,55.0
766,60.0
767,50.0
768,50.0
769,60.0
772,60.0
776,60.0
778,60.0
779,60.0
780,114.0
783,60.0
784,60.0
785,60.0
787,50.0
788,60.0
790,60.0
793,60.0
795,61.666666666666664
796,60.0
797,60.0
798,60.0
800,60.0
804,87.5
806,60.0
807,60.0
808,65.0
809,65.0
811,70.0
812,60.0
813,60.0
817,50.0
826,70.0
828,60.0
829,60.0
830,60.0
831,60.0
832,60.0
833,65.0
834,60.0
836,60.0
838,60.0
840,82.0
842,60.0
843,60.0
844,60.0
846,60.0
848,60.0
850,60.0
854,60.0
855,60.0
857,60.0
858,60.0
860,60.0
862,118.0
864,60.0
866,60.0
868,60.0
870,60.0
871,60.0
872,65.0
873,60.0
874,60.0
875,75.0
876,60.0
878,60.0
880,60.0
881,60.0
882,60.0
883,70.0
884,65.0
885,60.0
886,60.0
887,60.0
888,65.0
892,70.0
895,50.0
896,58.333333333333336
898,60.0
900,110.0
901,70.0
902,60.0
903,60.0
904,60.0
908,60.0
910,70.0
912,75.0
913,60.0
914,60.0
915,103.33333333333333
918,60.0
920,60.0
924,75.0
925,190.0
928,90.0
929,75.0
930,60.0
932,60.0
933,60.0
936,60.0
939,60.0
940,70.0
941,60.0
950,60.0
954,60.0
956,60.0
960,60.0
966,60.0
971,50.0
975,60.0
977,60.0
978,65.0
979,90.0
980,190.0
981,60.0
983,55.0
984,60.0
985,60.0
988,60.0
989,60.0
992,90.0
994,70.0
998,75.0
1000,90.0
1001,90.0
1015,60.0
1017,60.0
1020,125.0
1028,60.0
1031,190.0
1032,65.0
1037,50.0
1038,60.0
1039,60.0
1040,60.0
1044,190.0
1051,50.0
1053,60.0
1054,60.0
1060,60.0
1063,75.0
1066,60.0
1067,60.0
1070,60.0
1072,60.0
1080,80.0
1081,60.0
1088,60.0
1092,60.0
1093,60.0
1096,60.0
1097,60.0
1098,60.0
1100,60.0
1101,60.0
1103,60.0
1104,60.0
1106,60.0
1111,60.0
1112,60.0
1116,60.0
1120,90.0
1121,60.0
1122,60.0
1128,60.0
1129,60.0
1134,60.0
1140,60.0
1141,60.0
1142,60.0
1151,60.0
1152,70.0
1157,60.0
1160,60.0
1168,60.0
1169,90.0
1174,60.0
1175,70.0
1177,60.0
1178,70.0
1182,60.0
1185,50.0
1194,60.0
1196,70.0
1200,60.0
1203,60.0
1208,55.0
1215,65.0
1216,60.0
1218,60.0
1230,160.0
1237,60.0
1242,60.0
1243,60.0
1254,71.66666666666667
1257,60.0
1259,90.0
1274,60.0
1276,60.0
1281,60.0
1286,60.0
1288,60.0
1296,90.0
1304,60.0
1306,60.0
1312,60.0
1320,65.0
1323,60.0
1330,60.0
1332,60.0
1336,60.0
1347,60.0
1349,60.0
1357,60.0
1360,75.0
1362,60.0
1370,60.0
1392,60.0
1414,60.0
1426,60.0
1427,85.0
1440,190.0
1479,50.0
1518,75.0
1519,60.0
1523,60.0
1538,60.0
1540,60.0
1589,60.0
1611,70.0
1796,60.0
1818,75.0
1872,60.0
2065,60.0
