2ndFlrSF,OverallQual
0,5.887816646562123
110,6.0
167,5.0
192,7.0
208,6.0
213,5.0
220,6.0
224,5.0
240,4.5
252,4.5
272,5.0
299,5.0
304,6.0
316,5.0
319,4.0
325,5.0
332,5.0
336,5.0
348,4.0
349,6.0
351,4.0
358,4.0
368,3.0
370,5.0
371,6.0
378,5.0
384,5.5
390,6.0
403,6.0
406,5.5
408,5.5
430,4.0
432,5.0
438,7.0
439,4.0
441,4.0
445,5.5
448,5.5
454,5.0
455,5.0
456,4.0
457,4.0
462,4.0
464,5.0
467,6.0
468,4.0
472,4.5
473,4.0
475,5.0
482,8.0
495,5.0
504,5.555555555555555
510,5.0
511,6.0
512,6.0
514,7.0
517,5.0
518,4.0
520,4.0
521,5.0
523,5.0
524,6.0
526,5.0
527,5.0
530,6.0
533,5.0
534,4.5
539,7.0
540,5.0
545,6.0
546,5.0
547,5.0
548,5.0
550,4.5
551,6.25
556,6.0
557,5.0
560,6.5
561,5.0
564,5.0
566,5.0
567,5.0
568,7.5
571,7.0
573,8.0
574,7.0
576,5.0
580,5.0
581,5.0
582,6.0
584,5.0
586,6.0
587,6.0
589,5.0
590,10.0
591,6.0
592,7.0
595,6.0
596,6.0
600,6.0
601,6.0
602,6.0
605,6.0
611,6.0
612,6.0
620,5.5
622,4.0
623,7.0
625,7.0
626,6.0
628,7.0
630,5.0
631,7.0
634,6.0
636,8.0
639,6.0
640,6.5
644,7.0
648,5.0
649,6.0
650,6.0
651,7.0
653,4.0
656,7.0
660,6.333333333333333
661,5.0
664,5.0
665,5.0
668,5.0
670,7.0
672,5.625
676,6.0
677,8.0
678,6.0
679,4.0
682,7.0
684,5.333333333333333
685,5.0
686,5.0
687,7.0
688,5.5
689,6.4
691,6.0
694,6.0
695,6.0
698,6.5
700,6.0
701,6.0
702,6.5
703,6.5
704,6.666666666666667
707,8.0
708,6.0
709,6.5
711,6.0
712,6.0
713,6.0
714,6.0
716,5.5
717,7.0
720,5.571428571428571
725,8.0
727,6.0
728,6.4
729,6.0
730,7.0
732,7.0
734,7.0
738,6.0
739,6.75
741,6.0
742,6.0
743,8.0
744,6.5
745,5.0
748,6.0
750,6.0
752,7.0
754,6.5
755,5.0
756,6.4
761,6.0
762,8.5
764,6.5
765,4.5
766,6.0
767,6.0
768,5.0
769,7.0
772,6.0
776,7.0
778,6.0
779,6.0
780,6.0
783,6.5
784,6.0
785,6.0
787,5.0
788,6.0
790,6.0
793,6.333333333333333
795,5.666666666666667
796,6.0
797,7.0
798,7.0
800,6.0
804,6.75
806,6.5
807,6.666666666666667
808,7.0
809,7.0
811,6.0
812,7.0
813,6.0
817,7.0
826,8.0
828,7.0
829,7.0
830,6.0
831,6.0
832,6.666666666666667
833,7.5
834,7.0
836,6.0
838,8.0
840,6.4
842,6.5
843,7.0
844,7.5
846,7.666666666666667
848,8.0
850,7.0
854,7.0
855,8.0
857,7.0
858,6.666666666666667
860,7.0
862,6.8
864,6.5
866,7.0
868,6.0
870,8.0
871,7.666666666666667
872,6.5
873,7.0
874,6.0
875,7.0
876,7.5
878,6.75
880,7.666666666666667
881,6.0
882,7.0
883,7.0
884,6.5
885,7.0
886,7.333333333333333
887,7.0
888,7.0
892,5.0
895,6.0
896,6.0
898,8.0
900,7.5
901,7.0
902,7.5
903,8.0
904,7.0
908,7.0
910,7.0
912,6.0
913,7.0
914,6.0
915,6.333333333333333
918,7.0
920,7.0
924,6.0
925,7.0
928,5.0
929,6.0
930,7.0
932,7.0
933,6.0
936,5.0
939,8.0
940,5.0
941,7.0
950,10.0
954,7.0
956,7.0
960,6.0
966,5.0
971,5.0
975,7.0
977,7.0
978,7.0
979,6.0
980,5.0
981,10.0
983,7.0
984,7.0
985,8.0
988,8.0
989,7.0
992,5.0
994,5.0
998,7.0
1000,5.0
1001,5.0
1015,7.0
1017,7.0
1020,6.0
1028,8.0
1031,6.0
1032,6.0
1037,7.0
1038,7.0
1039,6.0
1040,6.0
1044,4.0
1051,6.0
1053,8.0
1054,9.0
1060,8.0
1063,5.0
1066,6.0
1067,7.0
1070,7.0
1072,6.0
1080,7.0
1081,7.0
1088,9.0
1092,8.0
1093,7.0
1096,9.0
1097,8.0
1098,8.0
1100,6.0
1101,7.0
1103,8.0
1104,5.0
1106,8.0
1111,6.0
1112,7.0
1116,8.0
1120,5.0
1121,7.0
1122,8.0
1128,7.0
1129,7.0
1134,7.0
1140,8.0
1141,8.0
1142,7.5
1151,7.0
1152,7.0
1157,6.0
1160,8.0
1168,8.0
1169,5.0
1174,9.0
1175,6.0
1177,8.0
1178,8.0
1182,7.0
1185,8.0
1194,8.0
1196,7.0
1200,7.0
1203,8.0
1208,7.0
1215,7.5
1216,7.0
1218,8.0
1230,6.0
1237,9.0
1242,8.0
1243,7.0
1254,8.0
1257,6.0
1259,5.0
1274,7.0
1276,7.0
1281,7.0
1286,7.0
1288,8.0
1296,5.0
1304,8.0
1306,7.0
1312,8.0
1320,7.5
1323,8.0
1330,7.0
1332,8.0
1336,8.0
1347,9.0
1349,8.0
1357,8.0
1360,8.0
1362,8.0
1370,9.0
1392,7.0
1414,7.0
1426,8.0
1427,7.0
1440,6.0
1479,8.0
1518,10.0
1519,10.0
1523,7.0
1538,10.0
1540,8.0
1589,8.0
1611,5.0
1796,10.0
1818,7.0
1872,10.0
2065,10.0
