2ndFlrSF,YearBuilt
0,1973.8214716525936
110,1920.0
167,1965.0
192,1979.0
208,1929.0
213,1948.0
220,1950.0
224,1950.0
240,1911.0
252,1945.0
272,1924.0
299,1940.0
304,1925.0
316,1908.0
319,1900.0
325,1939.0
332,1940.0
336,1930.0
348,1910.0
349,1941.0
351,1939.0
358,1922.0
368,1910.0
370,1936.0
371,1920.0
378,1940.0
384,1933.5
390,1937.0
403,1940.0
406,1913.0
408,1936.0
430,1920.0
432,1961.5
438,2006.0
439,1920.0
441,1945.0
445,1927.0
448,1930.5
454,1948.0
455,1941.0
456,1946.0
457,1920.0
462,1973.0
464,1925.0
467,1950.0
468,1959.0
472,1942.5
473,1954.0
475,1952.0
482,2000.0
495,1941.0
504,1963.6666666666667
510,1945.0
511,1918.0
512,1920.0
514,1918.0
517,1940.0
518,1925.0
520,1917.0
521,1955.0
523,1921.0
524,1924.0
526,1910.0
527,1910.0
530,1955.0
533,1971.0
534,1924.0
539,1926.0
540,1915.0
545,1940.0
546,1968.375
547,1940.0
548,1910.0
550,1943.5
551,1964.75
556,1950.0
557,1938.0
560,1937.5
561,1890.0
564,1932.5
566,1993.0
567,1953.5
568,1978.5
571,2006.0
573,2001.0
574,1963.0
576,1965.0
580,1958.0
581,1904.0
582,1914.0
584,1956.5
586,1978.0
587,1939.0
589,1910.0
590,2007.0
591,1980.0
592,1931.0
595,1937.0
596,1927.3333333333333
600,1969.0
601,1977.0
602,1923.0
605,1939.0
611,1920.0
612,2009.0
620,1941.0
622,1910.0
623,2005.0
625,2006.0
626,1966.0
628,1999.0
630,1925.0
631,2003.0
634,1910.0
636,1983.0
639,1954.0
640,2004.0
644,1998.0
648,1925.0
649,1962.0
650,1939.0
651,1952.5
653,1928.0
656,2000.0
660,1974.0
661,1880.0
664,1910.0
665,1924.0
668,1952.6666666666667
670,1992.6666666666667
672,1950.375
676,1988.5
677,1999.0
678,1973.0
679,1900.0
682,1946.0
684,1954.6666666666667
685,1939.5
686,1915.0
687,1925.0
688,1971.0
689,1953.0
691,1905.0
694,1999.0
695,1998.0
698,1941.5
700,1958.0
701,2005.0
702,1994.25
703,1982.0
704,1943.0
707,2004.0
708,1968.0
709,1998.5
711,2000.0
712,2000.0
713,1906.0
714,1978.0
716,1962.0
717,1996.0
720,1951.142857142857
725,1929.0
727,1968.0
728,1991.4
729,2000.6666666666667
730,1993.0
732,2004.0
734,1988.0
738,2005.0
739,2002.75
741,1954.25
742,1973.0
743,1992.0
744,1987.5
745,1954.0
748,1920.5
750,2005.0
752,1931.0
754,1974.0
755,1962.5
756,1971.2
761,1976.0
762,1999.0
764,1919.5
765,1946.5
766,1995.0
767,1940.0
768,1950.0
769,1993.0
772,1993.0
776,1999.0
778,1972.0
779,1994.0
780,1946.2
783,2004.0
784,1976.0
785,1993.0
787,1937.0
788,1966.0
790,1992.5
793,1989.3333333333333
795,1937.3333333333333
796,2006.0
797,1997.5
798,2006.0
800,1967.0
804,1981.75
806,1951.5
807,1993.3333333333333
808,1949.0
809,1959.5
811,1934.0
812,2004.0
813,1963.5
817,1939.0
826,1882.0
828,2003.0
829,2001.5
830,2000.0
831,1964.0
832,1982.6666666666667
833,1961.5
834,1996.0
836,1997.0
838,1998.0
840,1974.4
842,2003.5
843,2007.0
844,2002.0
846,2002.3333333333333
848,1999.0
850,1985.0
854,2003.0
855,2001.0
857,1986.0
858,1991.0
860,2002.0
862,1983.4
864,2003.5
866,1984.6666666666667
868,1996.0
870,1995.0
871,2001.6666666666667
872,1968.0
873,2000.0
874,1992.0
875,1916.0
876,2005.0
878,1996.0
880,1992.3333333333333
881,1997.0
882,1988.0
883,1910.0
884,1974.0
885,1998.5
886,2001.0
887,2000.0
888,1970.3333333333333
892,1914.0
895,1932.0
896,1980.8333333333333
898,2002.0
900,1994.5
901,1920.0
902,2006.0
903,2002.0
904,1994.0
908,1999.0
910,1915.0
912,1973.5
913,1998.0
914,1998.0
915,1955.6666666666667
918,1965.0
920,2009.0
924,1917.0
925,1910.0
928,1900.0
929,1912.0
930,1998.0
932,2005.0
933,1974.0
936,1962.0
939,2003.0
940,1911.0
941,1984.0
950,2008.0
954,1996.0
956,2004.0
960,1968.0
966,1967.0
971,1946.0
975,1995.5
977,1997.0
978,1944.5
979,1946.0
980,1916.0
981,2008.0
983,1963.0
984,2006.0
985,1997.0
988,1992.0
989,1998.0
992,1948.0
994,1892.0
998,1920.0
1000,1952.0
1001,1949.0
1015,1996.0
1017,1993.0
1020,1939.5
1028,2007.0
1031,1910.0
1032,1940.0
1037,1936.0
1038,1999.0
1039,2007.0
1040,1986.0
1044,1885.0
1051,1908.0
1053,2000.0
1054,2008.0
1060,2005.0
1063,1898.0
1066,1974.0
1067,1996.0
1070,2003.5
1072,1997.0
1080,1967.0
1081,2003.0
1088,2008.0
1092,2007.0
1093,1993.0
1096,2003.0
1097,1999.0
1098,1998.0
1100,2002.0
1101,2005.0
1103,2009.0
1104,2005.0
1106,1999.0
1111,1966.0
1112,2004.0
1116,1991.0
1120,1979.0
1121,1990.0
1122,1994.0
1128,2004.0
1129,1992.0
1134,2006.0
1140,2000.5
1141,2002.0
1142,1986.5
1151,2001.0
1152,1941.0
1157,2001.0
1160,1998.0
1168,1993.0
1169,1960.0
1174,2008.0
1175,1932.0
1177,1992.5
1178,1932.0
1182,2003.0
1185,1995.0
1194,2009.0
1196,1940.0
1200,1980.0
1203,1995.0
1208,1960.5
1215,1931.5
1216,1990.0
1218,2005.0
1230,1973.0
1237,2008.0
1242,1998.0
1243,1997.0
1254,1915.0
1257,2002.0
1259,1977.0
1274,1993.0
1276,2000.0
1281,1989.0
1286,1999.0
1288,2000.0
1296,1969.0
1304,1995.0
1306,1995.0
1312,2006.0
1320,1942.0
1323,1994.0
1330,1990.5
1332,2004.0
1336,1998.0
1347,2006.0
1349,2005.0
1357,1990.0
1360,1918.0
1362,2006.0
1370,2005.0
1392,1978.0
1414,2007.0
1426,2007.0
1427,2003.0
1440,1914.0
1479,1935.0
1518,1892.0
1519,2006.0
1523,1990.0
1538,2007.0
1540,1976.0
1589,2003.0
1611,1921.0
1796,1995.0
1818,1880.0
1872,1994.0
2065,1996.0
