GrLivArea.1,1stFlrSF
334,334.0
438,438.0
480,480.0
520,520.0
605,605.0
616,616.0
630,630.0
672,672.0
691,691.0
693,693.0
694,694.0
698,698.0
708,708.0
720,720.0
729,729.0
747,747.0
752,752.0
754,520.0
764,764.0
767,767.0
768,768.0
773,773.0
774,774.0
778,778.0
780,780.0
784,784.0
788,788.0
789,789.0
790,790.0
792,792.0
796,796.0
800,800.0
803,803.0
804,804.0
813,813.0
816,816.0
825,825.0
827,827.0
832,832.0
833,833.0
835,835.0
838,838.0
840,840.0
841,841.0
845,845.0
848,848.0
854,854.0
858,858.0
860,860.0
861,861.0
864,864.0
866,866.0
869,869.0
872,872.0
874,874.0
875,875.0
882,882.0
884,884.0
886,886.0
892,892.0
893,893.0
894,894.0
899,899.0
900,900.0
901,901.0
902,902.0
904,904.0
907,907.0
910,910.0
912,885.3333333333334
913,913.0
914,914.0
918,918.0
923,923.0
924,756.0
925,925.0
928,928.0
930,930.0
932,932.0
935,857.0
936,936.0
938,938.0
943,943.0
944,944.0
948,948.0
950,950.0
951,951.0
952,952.0
954,954.0
955,955.0
958,958.0
960,960.0
964,964.0
965,965.0
968,845.3333333333334
969,969.0
970,970.0
971,971.0
972,972.0
974,974.0
980,980.0
981,981.0
985,985.0
986,986.0
987,483.0
988,895.6
990,990.0
996,996.0
999,999.0
1002,1002.0
1003,1003.0
1004,1004.0
1005,1005.0
1006,1006.0
1008,1008.0
1012,1012.0
1015,1015.0
1020,780.0
1022,1022.0
1026,1026.0
1028,1028.0
1029,1029.0
1032,1032.0
1034,884.5
1039,1039.0
1040,1040.0
1041,1041.0
1044,1044.0
1047,1047.0
1048,1048.0
1050,1050.0
1052,1052.0
1053,1053.0
1054,1054.0
1056,1056.0
1057,1057.0
1060,1060.0
1062,1062.0
1063,1063.0
1065,1065.0
1067,1067.0
1068,1068.0
1069,1069.0
1072,1072.0
1073,1073.0
1074,1074.0
1077,1077.0
1078,1078.0
1080,1080.0
1082,1082.0
1086,1086.0
1088,1088.0
1090,1090.0
1092,726.375
1094,1094.0
1095,1095.0
1096,834.0
1097,1097.0
1098,1098.0
1099,1099.0
1100,1100.0
1102,551.0
1103,1103.0
1108,1108.0
1109,576.0
1110,1110.0
1111,589.6666666666666
1112,536.0
1113,1113.0
1114,1114.0
1116,1116.0
1117,1117.0
1118,881.6666666666666
1120,1120.0
1121,1121.0
1122,1122.0
1123,772.0
1124,1124.0
1125,1125.0
1126,1126.0
1128,984.6666666666666
1130,1130.0
1131,903.5
1132,1132.0
1134,945.0
1135,575.0
1136,1136.0
1137,1137.0
1138,1138.0
1140,966.0
1141,1141.0
1142,1142.0
1144,1144.0
1145,1145.0
1146,1146.0
1148,1148.0
1150,1150.0
1152,1152.0
1154,975.0
1155,1155.0
1158,1054.0
1159,1159.0
1163,1163.0
1164,1164.0
1165,1165.0
1166,1166.0
1167,1167.0
1173,1173.0
1176,801.0
1178,1018.5
1180,1180.0
1181,1181.0
1183,679.0
1184,658.0
1188,1188.0
1190,1190.0
1192,658.0
1194,1194.0
1196,1025.3333333333333
1198,1088.0
1199,1199.0
1200,934.2222222222222
1203,979.0
1204,1204.0
1208,1118.0
1211,1211.0
1212,1212.0
1214,1040.6666666666667
1215,1215.0
1216,1024.0
1217,921.5
1218,820.6
1220,1220.0
1221,1085.0
1223,520.0
1224,952.3333333333334
1225,1225.0
1226,1226.0
1228,1228.0
1229,895.0
1230,728.0
1232,1232.0
1234,1234.0
1235,1235.0
1236,1236.0
1240,1240.0
1241,1241.0
1242,1242.0
1244,1244.0
1246,1246.0
1247,1247.0
1248,1080.0
1250,649.25
1251,1251.0
1252,1019.2
1253,1253.0
1256,1256.0
1258,1118.0
1261,1261.0
1262,1262.0
1264,1264.0
1265,1265.0
1266,1266.0
1268,1190.6666666666667
1269,1269.0
1271,720.0
1274,1274.0
1276,1276.0
1277,1277.0
1279,1279.0
1283,1283.0
1284,720.0
1285,1178.5
1287,1287.0
1288,1288.0
1291,1291.0
1294,1094.0
1296,1296.0
1297,1297.0
1298,1298.0
1301,1301.0
1302,898.8
1304,616.0
1306,1306.0
1308,976.0
1309,1309.0
1310,1087.5
1314,1314.0
1316,1186.0
1317,649.0
1319,1319.0
1320,990.0
1322,855.0
1324,1135.0
1327,1327.0
1328,1155.3333333333333
1334,1334.0
1336,1116.5
1337,1337.0
1338,1338.0
1339,1339.0
1340,1340.0
1342,1342.0
1343,820.0
1344,1003.1428571428571
1346,796.0
1347,820.0
1348,772.0
1349,1349.0
1350,1350.0
1352,1122.3333333333333
1355,790.5
1357,1357.0
1358,1358.0
1360,1174.3333333333333
1362,1067.75
1363,1155.6666666666667
1364,1364.0
1365,765.0
1367,960.0
1368,1140.0
1369,697.0
1370,1370.0
1372,1372.0
1374,840.0
1375,1077.5
1376,874.0
1378,689.0
1381,1381.0
1382,1072.75
1383,1383.0
1385,910.0
1386,672.0
1387,811.0
1389,1048.0
1391,1391.0
1392,1113.6
1393,872.0
1394,1074.0
1395,735.0
1396,698.0
1400,672.0
1402,1402.0
1405,1405.0
1406,1035.0
1411,1411.0
1412,951.0
1414,1237.25
1416,924.0
1419,1099.0
1422,1422.0
1425,1425.0
1426,805.0
1428,1428.0
1429,1429.0
1430,992.6666666666666
1431,1431.0
1432,972.0
1434,1434.0
1436,1436.0
1437,1437.0
1440,1302.25
1441,809.5
1442,1442.0
1445,1445.0
1446,729.0
1452,724.5
1453,1453.0
1456,853.6
1458,820.5
1459,1459.0
1464,1464.0
1466,1342.6666666666667
1468,1468.0
1469,756.0
1470,823.6666666666666
1471,742.0
1472,1038.6666666666667
1473,1473.0
1474,804.0
1475,925.0
1476,738.0
1477,877.0
1478,1478.0
1479,1102.0
1481,702.0
1482,818.0
1484,1119.8333333333333
1486,1486.0
1487,798.0
1489,1307.3333333333333
1490,788.0
1493,1493.0
1494,1370.5
1496,1080.0
1498,1094.5
1500,1250.0
1501,985.0
1502,1188.75
1504,1504.0
1505,1246.5
1506,1506.0
1507,1507.0
1509,1041.0
1510,755.0
1511,802.0
1512,756.0
1513,939.0
1516,1516.0
1517,894.5
1518,1518.0
1520,1184.0
1522,1008.0
1523,1523.0
1524,1103.0
1525,1147.0
1526,1269.5
1529,1088.0
1530,1530.0
1533,1533.0
1535,1535.0
1536,1536.0
1537,1537.0
1539,1012.5
1541,1541.0
1547,764.0
1548,878.0
1550,1112.0
1552,1181.5
1553,756.0
1554,1554.0
1555,1555.0
1556,772.5
1557,1557.0
1558,979.0
1559,1559.0
1560,1122.0
1561,1561.0
1563,1563.0
1564,874.0
1566,1566.0
1567,1567.0
1569,1569.0
1571,1185.0
1572,1189.0
1573,1114.75
1574,1182.0
1575,1575.0
1576,964.0
1577,972.0
1578,1268.0
1580,1580.0
1582,1176.0
1584,1584.0
1586,1586.0
1588,1432.0
1590,786.0
1593,1088.3333333333333
1595,1192.0
1600,1372.0
1601,1407.6666666666667
1602,1602.0
1603,810.0
1604,1171.3333333333333
1605,840.0
1608,1160.0
1610,1610.0
1611,798.0
1614,1614.0
1616,1460.3333333333333
1617,1617.0
1620,1340.0
1621,1621.0
1622,1622.0
1624,1624.0
1625,1625.0
1626,764.0
1629,1629.0
1630,1630.0
1632,1254.75
1634,1634.0
1635,958.0
1636,1636.0
1638,943.0
1639,1166.0
1640,1078.6666666666667
1641,832.0
1644,1392.0
1646,1464.0
1647,1147.0
1651,1651.0
1652,1480.5
1654,1654.0
1656,1307.2
1657,1657.0
1658,773.0
1659,1659.0
1660,1113.3333333333333
1661,1383.0
1663,1663.0
1664,1113.25
1665,816.0
1666,833.0
1668,1322.0
1670,1670.0
1671,959.0
1674,988.5
1675,892.0
1679,1679.0
1680,1470.0
1682,1243.0
1683,918.0
1684,1684.0
1686,1686.0
1687,1687.0
1688,616.0
1689,1689.0
1690,881.5
1691,1026.0
1692,846.0
1694,1618.0
1696,1696.0
1698,1698.0
1699,1014.0
1700,1700.0
1701,1701.0
1702,1702.0
1704,1704.0
1707,1707.0
1708,976.0
1709,1154.75
1710,1202.0
1712,1712.0
1713,1713.0
1714,980.0
1716,962.75
1717,1288.3333333333333
1718,1440.3333333333333
1719,1719.0
1720,1140.0
1721,1328.5
1724,1302.0
1725,1040.0
1726,1726.0
1728,1481.142857142857
1732,977.0
1733,1290.0
1734,1463.75
1738,1281.0
1739,983.0
1740,960.0
1742,1329.0
1743,1041.0
1744,1014.0
1746,1746.0
1750,1036.0
1752,1416.0
1756,888.0
1761,874.0
1762,998.0
1764,928.0
1766,1766.0
1767,1064.0
1768,1040.8333333333333
1771,1771.0
1774,1058.5
1775,1006.0
1776,1496.0
1779,1322.5
1784,892.0
1786,1148.0
1787,1787.0
1788,1446.0
1790,947.0
1792,1153.25
1795,1546.6666666666667
1796,932.5
1797,939.0
1800,1601.75
1801,1351.0
1802,901.0
1803,1803.0
1804,1028.0
1811,1811.0
1812,954.0
1818,1226.0
1820,1017.5
1824,1265.3333333333333
1826,1371.0
1828,1828.0
1829,941.0
1836,1836.0
1838,1286.0
1839,1361.6666666666667
1840,944.0
1842,1842.0
1844,1844.0
1845,1055.0
1846,1168.0
1848,1053.0
1850,1414.5
1851,1020.0
1852,968.0
1855,1155.0
1856,1856.0
1861,920.0
1863,879.0
1865,992.0
1867,1867.0
1868,1114.0
1869,1528.5
1872,1585.5
1876,943.0
1886,956.0
1888,1888.0
1889,964.0
1894,824.0
1895,1086.0
1902,1610.0
1904,1097.0
1905,1905.0
1908,963.0
1911,1065.0
1912,1221.0
1913,1172.0
1915,927.0
1919,1079.0
1920,1134.0
1922,1208.5
1923,1061.0
1924,1086.0
1928,901.0
1929,1057.0
1932,1932.0
1933,894.0
1935,987.0
1936,1454.0
1939,1095.0
1940,1940.0
1944,1944.0
1947,991.0
1948,847.0
1949,1062.0
1950,975.0
1953,1080.5
1954,1137.0
1958,1002.5
1959,1298.0
1960,910.0
1961,804.0
1962,1391.0
1964,1061.0
1968,971.0
1969,1161.0
1970,1120.0
1971,1113.0
1973,1973.0
1976,1976.0
1977,1127.0
1978,1098.0
1980,1980.0
1981,1328.0
1982,1175.0
1983,1005.0
1986,1186.0
1987,1987.0
1989,1091.0
1991,1096.0
1992,1053.0
1993,1097.0
2000,2000.0
2002,1001.0
2007,1026.0
2008,1112.0
2013,1127.0
2018,2018.0
2019,1136.0
2020,1727.3333333333333
2021,887.0
2022,1156.0
2028,2028.0
2030,1118.0
2031,1140.5
2034,1057.0
2035,884.0
2036,2036.0
2042,2042.0
2046,1526.0
2054,1022.0
2057,1020.0
2058,1134.0
2060,1093.0
2062,1180.0
2069,2069.0
2073,2073.0
2076,2076.0
2078,1050.0
2080,1158.0
2082,1362.0
2084,1520.0
2087,976.0
2090,1172.3333333333333
2093,1236.0
2094,912.0
2097,1428.3333333333333
2098,1038.0
2108,1236.0
2110,1666.0
2112,1092.0
2113,2113.0
2117,2117.0
2119,1378.0
2121,2121.0
2126,1160.0
2127,1067.5
2132,1496.0
2134,1445.0
2136,2136.0
2138,1075.0
2142,1182.0
2144,1444.0
2149,1518.0
2153,1476.0
2156,2156.0
2157,1216.0
2158,2158.0
2161,1610.0
2167,1516.0
2169,1284.0
2172,1071.0
2183,1377.0
2184,1130.0
2192,1052.0
2196,2196.0
2198,1145.0
2200,1272.0
2201,1575.0
2207,2207.0
2210,1178.0
2217,2217.0
2223,2223.0
2224,1462.0
2229,929.0
2230,954.0
2234,2234.0
2236,993.0
2240,1120.0
2243,1122.0
2256,980.0
2259,2259.0
2260,1306.0
2262,1482.0
2263,1229.3333333333333
2267,1010.0
2270,1164.0
2274,1105.0
2285,997.0
2287,1304.0
2290,1197.5
2291,1132.5
2295,1166.0
2296,1728.0
2320,1491.5
2324,1182.0
2329,1532.0
2332,1742.0
2337,1422.0
2340,1188.0
2344,1277.0
2345,1170.0
2353,1153.0
2358,1122.5
2364,2364.0
2365,1268.0
