GrLivArea.1,GarageYrBlt
334,
438,1930.0
480,1958.0
520,1920.0
605,
616,1921.0
630,1970.0
672,1940.5
691,1920.0
693,
694,1990.0
698,
708,
720,1980.0
729,
747,1949.0
752,1984.0
754,
764,1965.0
767,1998.0
768,1983.0
773,1953.0
774,
778,1966.0
780,1973.0
784,1950.0
788,
789,1937.0
790,1925.0
792,1924.0
796,
800,
803,1941.0
804,1940.0
813,1932.0
816,1975.5714285714287
825,1963.0
827,1967.0
832,1962.0
833,1955.0
835,1920.0
838,1961.0
840,
841,1950.0
845,1972.0
848,2003.6
854,1991.0
858,1981.0
860,1996.0
861,1961.0
864,1973.9444444444443
866,
869,
872,1974.0
874,1968.0
875,1931.0
882,1965.0
884,1983.0
886,1938.0
892,1966.5
893,1985.0
894,1976.2727272727273
899,1967.0
900,1980.6666666666667
901,1954.0
902,1975.0
904,1946.0
907,1964.0
910,1953.0
912,1968.5
913,1990.0
914,1998.0
918,1979.0
923,1982.0
924,1975.0
925,1965.0
928,1956.5
930,1946.0
932,1950.0
935,1976.5
936,1970.0
938,1977.0
943,1979.0
944,1956.0
948,1959.3333333333333
950,1981.0
951,1936.0
952,1953.3333333333333
954,1957.0
955,1966.0
958,1971.0
960,1970.6
964,1921.0
965,1979.0
968,1931.5
969,1975.0
970,1996.0
971,1969.0
972,1948.0
974,
980,1976.5
981,1979.0
985,1977.0
986,1926.0
987,1974.142857142857
988,1961.8
990,1997.0
996,1992.0
999,1962.0
1002,1973.0
1003,1984.0
1004,1973.5
1005,1977.0
1006,
1008,1953.5
1012,1920.0
1015,1925.0
1020,
1022,1956.0
1026,1975.0
1028,1927.0
1029,1961.0
1032,1978.0
1034,1958.0
1039,1965.0
1040,1963.8461538461538
1041,1959.0
1044,1952.0
1047,1954.0
1048,1942.6666666666667
1050,1958.5
1052,1969.5
1053,1978.5
1054,1966.0
1056,1963.5
1057,1965.0
1060,1972.0
1062,1976.0
1063,1954.0
1065,1974.0
1067,1996.0
1068,1963.0
1069,1977.0
1072,2005.0
1073,1966.5
1074,1975.0
1077,1927.0
1078,1960.5
1080,1970.5
1082,1948.0
1086,1977.5
1088,1987.0
1090,2005.0
1092,1966.7142857142858
1094,1953.0
1095,1958.0
1096,1969.0
1097,1990.5
1098,1955.0
1099,1999.0
