GrLivArea,MSSubClass
334,20.0
438,30.0
480,20.0
520,30.0
605,30.0
616,30.0
630,180.0
672,30.0
691,30.0
693,30.0
694,30.0
698,20.0
708,30.0
720,26.666666666666668
729,30.0
747,30.0
752,120.0
754,190.0
764,30.0
767,120.0
768,85.0
773,20.0
774,30.0
778,30.0
780,20.0
784,45.0
788,30.0
789,32.5
790,30.0
792,30.0
796,30.0
800,30.0
803,45.0
804,30.0
813,30.0
816,38.75
825,20.0
827,20.0
832,45.0
833,20.0
835,30.0
838,30.0
840,45.0
841,20.0
845,20.0
848,120.0
854,45.0
858,36.25
860,85.0
861,30.0
864,21.818181818181817
866,30.0
869,30.0
872,20.0
874,20.0
875,30.0
882,26.25
884,85.0
886,30.0
892,20.0
893,45.0
894,20.90909090909091
899,20.0
900,41.666666666666664
901,20.0
902,20.0
904,31.666666666666668
907,20.0
910,20.0
912,30.555555555555557
913,85.0
914,85.0
918,120.0
923,70.0
924,86.66666666666667
925,20.0
928,20.0
930,20.0
932,20.0
935,30.0
936,43.333333333333336
938,20.0
943,90.0
944,20.0
948,20.0
950,20.0
951,30.0
952,23.333333333333332
954,55.0
955,20.0
958,86.66666666666667
960,68.0
964,30.0
965,20.0
968,36.666666666666664
969,20.0
970,20.0
971,20.0
972,20.0
974,20.0
980,63.333333333333336
981,20.0
985,80.0
986,30.0
987,160.0
988,64.0
990,20.0
996,57.5
999,63.333333333333336
1002,20.0
1003,80.0
1004,55.0
1005,20.0
1006,20.0
1008,20.0
1012,30.0
1015,30.0
1020,50.0
1022,30.0
1026,50.0
1028,30.0
1029,20.0
1032,80.0
1034,65.0
1039,190.0
1040,40.0
1041,20.0
1044,20.0
1047,30.0
1048,28.333333333333332
1050,20.0
1052,50.0
1053,20.0
1054,52.5
1056,60.0
1057,20.0
1060,70.0
1062,80.0
1063,20.0
1065,20.0
1067,20.0
1068,20.0
1069,120.0
1072,180.0
1073,25.0
1074,20.0
1077,83.33333333333333
1078,20.0
1080,20.0
1082,20.0
1086,50.0
1088,120.0
1090,20.0
1092,111.25
1094,20.0
1095,190.0
1096,35.0
1097,20.0
1098,20.0
1099,20.0
1100,20.0
1102,160.0
1103,30.0
1108,45.0
1109,80.0
1110,85.0
1111,58.333333333333336
1112,160.0
1113,20.0
1114,20.0
1116,20.0
1117,80.0
1118,106.66666666666667
1120,20.0
1121,20.0
1122,20.0
1123,50.0
1124,20.0
1125,50.0
1126,20.0
1128,30.0
1130,30.0
1131,40.0
1132,20.0
1134,35.0
1135,70.0
1136,20.0
1137,20.0
1138,80.0
1140,35.0
1141,20.0
1142,120.0
1144,32.0
1145,120.0
1146,80.0
1148,20.0
1150,20.0
1152,63.333333333333336
1154,35.0
1155,85.0
1158,35.0
1159,20.0
1163,20.0
1164,105.0
1165,80.0
1166,80.0
1167,25.0
1173,85.0
1176,50.0
1178,35.0
1180,30.0
1181,85.0
1183,50.0
1184,50.0
1188,20.0
1190,90.0
1192,60.0
1194,20.0
1196,33.333333333333336
1198,50.0
1199,120.0
1200,78.88888888888889
1203,50.0
1204,120.0
1208,22.5
1211,20.0
1212,40.0
1214,30.0
1215,20.0
1216,85.0
1217,120.0
1218,110.0
1220,20.0
1221,35.0
1223,160.0
1224,111.66666666666667
1225,20.0
1226,20.0
1228,70.0
1229,90.0
1230,50.0
1232,20.0
1234,20.0
1235,20.0
1236,20.0
1240,20.0
1241,120.0
1242,20.0
1244,20.0
1246,20.0
1247,120.0
1248,85.0
1250,105.0
1251,20.0
1252,60.0
1253,20.0
1256,20.0
1258,70.0
1261,20.0
1262,20.0
1264,20.0
1265,80.0
1266,20.0
1268,26.666666666666668
1269,70.0
1271,50.0
1274,20.0
1276,20.0
1277,20.0
1279,20.0
1283,20.0
1284,50.0
1285,35.0
1287,20.0
1288,120.0
1291,120.0
1294,76.66666666666667
1296,55.0
1297,20.0
1298,20.0
1301,25.0
1302,116.0
1304,160.0
1306,56.666666666666664
1308,50.0
1309,20.0
1310,35.0
1314,60.0
1316,30.0
1317,70.0
1319,20.0
1320,70.0
1322,160.0
1324,63.333333333333336
1327,20.0
1328,36.666666666666664
1334,20.0
1336,120.0
1337,95.0
1338,120.0
1339,20.0
1340,20.0
1342,20.0
1343,50.0
1344,68.57142857142857
1346,50.0
1347,190.0
1348,55.0
1349,20.0
1350,50.0
1352,86.66666666666667
1355,130.0
1357,80.0
1358,120.0
1360,83.33333333333333
1362,65.0
1363,36.666666666666664
1364,120.0
1365,160.0
1367,50.0
1368,103.33333333333333
1369,70.0
1370,70.0
1372,20.0
1374,50.0
1375,35.0
1376,50.0
1378,70.0
1381,20.0
1382,77.5
1383,20.0
1385,50.0
1386,60.0
1387,190.0
1389,40.0
1391,120.0
1392,56.0
1393,50.0
1394,50.0
1395,60.0
1396,70.0
1400,60.0
1402,120.0
1405,120.0
1406,50.0
1411,20.0
1412,43.333333333333336
1414,55.0
1416,75.0
1419,50.0
1422,20.0
1425,20.0
1426,55.0
1428,20.0
1429,20.0
1430,60.0
1431,50.0
1432,70.0
1434,20.0
1436,20.0
1437,20.0
1440,62.5
1441,160.0
1442,20.0
1445,80.0
1446,60.0
1452,175.0
1453,120.0
1456,85.0
1458,105.0
1459,20.0
1464,50.0
1466,30.0
1468,20.0
1469,50.0
1470,56.666666666666664
1471,160.0
1472,70.0
1473,20.0
1474,80.0
1475,160.0
1476,60.0
1477,50.0
1478,20.0
1479,40.0
1481,60.0
1482,73.33333333333333
1484,42.5
1486,20.0
1487,50.0
1489,30.0
1490,60.0
1493,20.0
1494,45.0
1496,40.0
1498,40.0
1500,66.66666666666667
1501,80.0
1502,70.0
1504,86.66666666666667
1505,35.0
1506,70.0
1507,80.0
1509,66.66666666666667
1510,70.0
1511,60.0
1512,160.0
1513,70.0
1516,20.0
1517,60.0
1518,120.0
1520,65.0
1522,50.0
1523,20.0
1524,45.0
1525,90.0
1526,35.0
1529,50.0
1530,20.0
1533,20.0
1535,66.66666666666667
1536,20.0
1537,20.0
1539,60.0
1541,20.0
1547,60.0
1548,105.0
1550,60.0
1552,40.0
1553,60.0
1554,120.0
1555,120.0
1556,110.0
1557,120.0
1558,50.0
1559,30.0
1560,40.0
1561,120.0
1563,20.0
1564,65.0
1566,20.0
1567,70.0
1569,120.0
1571,40.0
1572,40.0
1573,70.0
1574,40.0
1575,120.0
1576,60.0
1577,50.0
1578,35.0
1580,20.0
1582,40.0
1584,90.0
1586,20.0
1588,30.0
1590,60.0
1593,80.0
1595,50.0
1600,33.333333333333336
1601,40.0
1602,20.0
1603,60.0
1604,43.333333333333336
1605,50.0
1608,50.0
1610,20.0
1611,60.0
1614,20.0
1616,60.0
1617,120.0
1620,33.333333333333336
1621,20.0
1622,190.0
1624,20.0
1625,120.0
1626,160.0
1629,20.0
1630,20.0
1632,57.5
1634,20.0
1635,50.0
1636,20.0
1638,60.0
1639,50.0
1640,46.666666666666664
1641,70.0
1644,56.666666666666664
