GrLivArea,OverallCond
334,3.0
438,5.0
480,3.0
520,6.0
605,7.0
616,7.0
630,6.333333333333333
672,7.0
691,6.0
693,4.0
694,6.0
698,9.0
708,7.0
720,6.333333333333333
729,6.0
747,5.5
752,5.0
754,8.0
764,5.0
767,5.0
768,7.333333333333333
773,5.0
774,6.0
778,6.0
780,7.0
784,4.5
788,5.0
789,5.0
790,5.0
792,8.0
796,5.5
800,3.0
803,6.0
804,7.0
813,8.0
816,6.875
825,7.0
827,7.0
832,6.0
833,6.0
835,5.0
838,7.0
840,7.0
841,4.0
845,4.5
848,5.0
854,8.0
858,5.5
860,6.0
861,5.0
864,5.909090909090909
866,9.0
869,7.0
872,5.0
874,6.0
875,7.0
882,5.75
884,7.0
886,8.0
892,5.0
893,7.0
894,5.636363636363637
899,7.0
900,5.666666666666667
901,7.0
902,5.5
904,5.0
907,6.0
910,7.0
912,6.111111111111111
913,5.0
914,5.0
918,5.0
923,5.0
924,5.666666666666667
925,6.0
928,6.5
930,7.0
932,5.0
935,6.0
936,5.333333333333333
938,6.0
943,5.0
944,3.0
948,5.333333333333333
950,5.0
951,6.0
952,6.666666666666667
954,6.0
955,7.0
958,6.333333333333333
960,5.2
964,7.0
965,5.0
968,6.0
969,6.0
970,6.0
971,6.0
972,6.0
974,5.0
980,5.333333333333333
981,5.0
985,8.0
986,5.0
987,5.285714285714286
988,5.4
990,5.0
996,6.0
999,7.0
1002,6.0
1003,6.0
1004,6.0
1005,5.0
1006,3.0
1008,6.5
1012,5.0
1015,7.0
1020,8.0
1022,4.0
1026,7.0
1028,6.0
1029,5.0
1032,6.0
1034,5.5
1039,4.0
1040,5.285714285714286
1041,6.0
1044,5.0
1047,7.0
1048,5.333333333333333
1050,6.0
1052,6.0
1053,7.0
1054,7.5
1056,5.5
1057,6.0
1060,7.5
1062,5.0
1063,5.0
1065,5.0
1067,7.0
1068,8.0
1069,5.5
1072,5.0
1073,6.5
1074,6.0
1077,4.0
1078,6.0
1080,5.666666666666667
1082,5.0
1086,6.0
1088,5.0
1090,5.0
1092,5.125
1094,5.0
1095,5.0
1096,5.0
1097,5.0
1098,7.0
1099,6.0
1100,5.0
1102,5.0
1103,6.0
1108,7.0
1109,7.0
1110,6.0
1111,6.666666666666667
1112,3.0
1113,7.0
1114,5.0
1116,6.0
1117,5.0
1118,7.0
1120,5.0
1121,5.5
1122,7.0
1123,5.0
1124,5.0
1125,5.5
1126,5.333333333333333
1128,5.0
1130,6.0
1131,6.5
1132,5.0
1134,6.5
1135,9.0
1136,6.0
1137,6.0
1138,8.0
1140,6.0
1141,5.0
1142,5.0
1144,5.8
1145,5.0
1146,5.0
1148,6.0
1150,6.0
1152,6.666666666666667
1154,7.0
1155,7.0
1158,6.0
1159,5.0
1163,8.0
1164,5.0
1165,7.0
1166,5.0
1167,5.5
1173,6.0
1176,7.5
1178,6.5
1180,5.0
1181,5.0
1183,7.0
1184,3.0
1188,6.0
1190,6.0
1192,4.5
1194,6.0
1196,6.666666666666667
1198,7.0
1199,5.0
1200,5.444444444444445
1203,4.0
1204,5.0
1208,5.25
1211,5.0
1212,5.666666666666667
1214,5.333333333333333
1215,7.0
1216,5.0
1217,5.5
1218,5.6
1220,5.0
1221,6.0
1223,5.0
1224,5.5
1225,5.0
1226,5.0
1228,5.5
1229,6.0
1230,6.5
1232,5.5
1234,5.0
1235,3.0
1236,6.666666666666667
1240,5.0
1241,5.0
1242,6.0
1244,6.0
1246,7.0
1247,5.0
1248,5.0
1250,5.75
1251,6.0
1252,6.2
1253,5.0
1256,6.0
1258,5.25
1261,6.0
1262,6.5
1264,5.0
1265,8.0
1266,5.0
1268,6.666666666666667
1269,5.5
1271,5.0
1274,5.0
1276,3.0
1277,5.0
1279,6.0
1283,7.0
1284,7.0
1285,5.0
1287,7.0
1288,5.0
1291,5.0
1294,5.666666666666667
1296,5.0
1297,6.0
1298,5.0
1301,5.0
1302,5.8
1304,6.0
1306,4.666666666666667
1308,7.0
1309,6.0
1310,5.5
1314,5.2
1316,5.666666666666667
1317,4.0
1319,6.0
1320,5.5
1322,5.0
1324,5.333333333333333
1327,6.0
1328,5.0
1334,5.0
1336,5.5
1337,5.0
1338,5.0
1339,5.5
1340,5.5
1342,5.0
1343,6.0
1344,5.428571428571429
1346,7.0
1347,7.0
1348,6.5
1349,5.0
1350,5.0
1352,5.333333333333333
1355,7.0
1357,7.0
1358,5.0
1360,5.333333333333333
1362,5.75
1363,7.0
1364,5.0
1365,5.5
1367,7.0
1368,5.666666666666667
1369,6.0
1370,5.0
1372,5.0
1374,6.0
1375,5.5
1376,5.5
1378,9.0
1381,7.0
1382,5.25
1383,5.0
1385,4.0
1386,5.0
1387,4.0
1389,6.5
1391,5.0
1392,5.2
1393,7.0
1394,5.0
1395,6.0
1396,7.0
1400,7.0
1402,5.0
1405,5.0
1406,7.0
1411,5.0
1412,5.333333333333333
1414,5.75
1416,6.5
1419,5.5
1422,5.333333333333333
1425,5.0
1426,7.0
1428,5.0
1429,6.0
1430,5.0
1431,5.0
1432,6.333333333333333
1434,5.0
1436,5.0
1437,7.0
1440,4.5
1441,5.5
1442,5.5
1445,6.0
1446,5.0
1452,5.0
1453,5.0
1456,4.9
1458,5.0
1459,5.0
1464,5.5
1466,5.666666666666667
1468,5.0
1469,7.0
1470,6.666666666666667
1471,5.0
1472,6.0
1473,8.0
1474,5.0
1475,6.0
1476,5.0
1477,7.0
1478,4.333333333333333
1479,6.75
1481,5.0
1482,7.333333333333333
1484,5.333333333333333
1486,7.0
1487,4.0
1489,6.333333333333333
1490,5.0
1493,5.0
1494,5.333333333333333
1496,5.0
1498,5.0
1500,5.0
1501,5.0
1502,5.75
1504,5.0
1505,4.5
1506,5.0
1507,5.0
1509,5.0
1510,5.0
1511,5.0
1512,5.0
1513,8.0
1516,6.0
1517,7.0
1518,5.0
1520,5.5
1522,5.0
1523,5.0
1524,5.5
1525,5.0
1526,4.0
1529,3.0
1530,5.0
1533,5.0
1535,5.0
1536,5.0
1537,9.0
1539,7.0
1541,5.0
1547,5.0
1548,6.5
1550,5.0
1552,5.5
1553,5.0
1554,5.0
1555,5.0
1556,6.0
1557,5.0
1558,5.5
1559,6.0
1560,5.0
1561,5.0
1563,5.0
1564,6.5
1566,5.0
1567,5.0
1569,5.0
1571,6.0
1572,4.5
1573,6.0
1574,5.0
1575,5.0
1576,5.666666666666667
1577,5.0
1578,6.0
1580,5.0
1582,5.0
1584,5.0
1586,5.0
1588,4.666666666666667
1590,5.0
1593,5.0
1595,5.0
1600,5.333333333333333
1601,5.333333333333333
1602,7.0
1603,5.0
1604,5.0
1605,6.0
1608,6.0
1610,7.0
1611,6.0
1614,5.0
1616,5.666666666666667
1617,5.0
1620,4.666666666666667
1621,7.0
1622,4.0
1624,5.0
1625,5.0
1626,5.0
1629,5.0
1630,5.0
1632,5.75
1634,5.0
1635,7.5
1636,5.0
1638,5.0
1639,5.0
1640,5.666666666666667
1641,7.0
1644,5.666666666666667
1646,5.0
1647,5.0
1651,5.0
1652,5.25
1654,5.0
1656,5.4
1657,3.0
1658,5.0
1659,5.0
1660,5.666666666666667
1661,5.666666666666667
1663,6.0
1664,5.5
1665,6.0
1666,7.0
1668,5.75
1670,5.0
1671,5.0
1674,6.0
1675,5.0
1679,5.0
1680,6.75
1682,5.5
1683,5.0
1684,5.0
1686,6.0
1687,5.0
1688,5.0
1689,5.333333333333333
1690,5.5
1691,6.0
1692,5.0
1694,5.0
1696,5.0
1698,5.0
1699,5.0
1700,5.0
1701,5.0
1702,5.0
1704,5.0
1707,6.0
1708,5.0
1709,5.0
1710,5.2
1712,5.0
1713,5.0
1714,5.0
1716,5.25
1717,5.0
1718,5.0
1719,5.0
1720,5.0
1721,5.5
1724,5.0
1725,6.0
1726,5.0
1728,4.857142857142857
1732,5.0
1733,5.0
1734,5.5
1738,4.0
1739,5.0
1740,6.0
1742,7.0
1743,6.0
1744,7.0
1746,5.0
1750,6.5
1752,6.0
1756,5.0
1761,6.0
1762,7.0
1764,5.0
1766,5.0
1767,7.0
1768,5.666666666666667
1771,4.0
1774,3.5
1775,5.0
1776,5.0
1779,4.5
1784,5.0
1786,5.333333333333333
1787,5.0
1788,5.0
1790,5.0
1792,5.0
1795,5.0
1796,5.0
1797,5.0
1800,4.75
1801,6.5
1802,6.0
1803,4.0
1804,5.0
1811,7.0
1812,7.0
1818,4.0
1820,6.0
1824,5.333333333333333
1826,6.5
1828,5.0
1829,6.0
1836,5.0
1838,5.0
1839,5.666666666666667
1840,5.0
1842,5.0
1844,5.333333333333333
1845,5.0
1846,6.0
1848,7.0
1850,5.5
1851,8.0
1852,5.0
1855,5.5
1856,2.0
1861,5.0
1863,5.0
1865,5.0
1867,5.0
