GrLivArea,OverallQual
334,1.0
438,2.0
480,2.0
520,4.0
605,4.0
616,5.0
630,4.166666666666667
672,4.5
691,5.0
693,4.0
694,5.0
698,5.0
708,4.0
720,4.333333333333333
729,3.0
747,4.0
752,6.0
754,6.0
764,5.0
767,7.0
768,5.0
773,5.0
774,3.0
778,5.0
780,5.0
784,5.5
788,4.0
789,5.0
790,6.0
792,5.0
796,4.5
800,2.0
803,5.0
804,5.0
813,6.0
816,5.125
825,5.0
827,5.0
832,6.0
833,5.0
835,5.0
838,6.0
840,5.0
841,4.0
845,4.0
848,6.0
854,7.0
858,4.5
860,5.0
861,4.0
864,4.545454545454546
866,5.0
869,4.0
872,4.0
874,5.0
875,5.0
882,4.75
884,5.0
886,5.0
892,5.0
893,5.0
894,4.7272727272727275
899,5.0
900,5.0
901,4.0
902,5.0
904,4.0
907,4.0
910,5.0
912,5.111111111111111
913,6.0
914,5.0
918,6.0
923,5.5
924,4.666666666666667
925,5.0
928,5.0
930,4.0
932,6.0
935,5.0
936,4.666666666666667
938,5.0
943,5.0
944,3.0
948,4.333333333333333
950,5.0
951,4.0
952,5.0
954,5.0
955,5.0
958,6.0
960,4.0
964,5.0
965,5.0
968,4.0
969,5.0
970,5.0
971,5.0
972,6.0
974,5.0
980,5.333333333333333
981,6.0
985,5.0
986,6.0
987,6.0
988,5.0
990,4.8
996,5.5
999,5.666666666666667
1002,5.0
1003,6.0
1004,6.0
1005,4.0
1006,5.0
1008,5.0
1012,6.0
1015,5.0
1020,5.0
1022,5.0
1026,6.0
1028,5.0
1029,4.0
1032,6.0
1034,5.5
1039,5.0
1040,4.357142857142857
1041,5.0
1044,5.0
1047,4.0
1048,5.0
1050,5.0
1052,5.5
1053,5.0
1054,6.0
1056,5.0
1057,5.0
1060,5.0
1062,6.0
1063,5.0
1065,5.0
1067,4.0
1068,6.0
1069,6.0
1072,5.666666666666667
1073,5.0
1074,5.0
1077,4.333333333333333
1078,5.0
1080,6.333333333333333
1082,6.0
1086,5.0
1088,8.0
1090,5.0
1092,4.75
1094,6.0
1095,6.0
1096,5.5
1097,5.5
1098,5.0
1099,5.0
1100,4.0
