GrLivArea,YearBuilt
334,1946.0
438,1920.0
480,1949.0
520,1927.0
605,1920.0
616,1921.0
630,1970.6666666666667
672,1940.5
691,1920.0
693,1941.0
694,1913.0
698,1947.0
708,1940.0
720,1932.3333333333333
729,1935.0
747,1935.5
752,1984.0
754,1935.0
764,1925.0
767,1998.0
768,1971.3333333333333
773,1953.0
774,1931.0
778,1940.0
780,1972.0
784,1926.0
788,1941.0
789,1937.0
790,1930.0
792,1924.0
796,1916.0
800,1936.0
803,1941.0
804,1940.0
813,1930.0
816,1965.5
825,1955.0
827,1955.0
832,1954.0
833,1969.5
835,1920.0
838,1918.0
840,1930.0
841,1950.0
845,1969.5
848,2003.6
854,1929.0
858,1970.5
860,1982.0
861,1940.0
864,1957.3181818181818
866,1945.0
869,1923.0
872,1971.0
874,1968.0
875,1931.0
882,1960.75
884,1983.0
886,1938.0
892,1966.5
893,1949.0
894,1964.6363636363637
899,1967.0
900,1961.6666666666667
901,1954.0
902,1975.0
904,1938.0
907,1957.0
910,1953.0
912,1962.2222222222222
913,1966.0
914,1996.0
918,1979.0
923,1982.0
924,1955.0
925,1965.0
928,1956.5
930,1946.0
932,1950.0
935,1947.5
936,1963.0
938,1975.0
943,1979.0
944,1952.0
948,1958.6666666666667
950,1971.0
951,1936.0
952,1941.0
954,1957.0
955,1966.0
958,1970.6666666666667
960,1955.2
964,1921.0
965,1965.0
968,1920.0
969,1975.0
970,1963.0
971,1969.0
972,1948.0
974,1991.0
980,1973.0
981,1971.0
985,1977.0
986,1926.0
987,1971.7142857142858
988,1961.4
990,1994.2
996,1966.0
999,1961.6666666666667
1002,1970.0
1003,1984.0
1004,1973.5
1005,1955.0
1006,1959.0
1008,1953.5
1012,1920.0
1015,1925.0
1020,1875.0
1022,1910.0
1026,1973.5
1028,1927.0
1029,1961.0
1032,1978.0
1034,1958.0
1039,1965.0
1040,1961.5
1041,1959.0
1044,1952.0
1047,1885.0
1048,1942.6666666666667
1050,1958.5
1052,1969.5
1053,1958.5
1054,1966.0
1056,1963.5
1057,1957.5
1060,1972.0
1062,1976.0
1063,1954.0
1065,1960.0
1067,1950.0
1068,1963.0
1069,1977.0
1072,2005.0
1073,1943.0
1074,1975.0
1077,1927.0
1078,1960.5
1080,1981.6666666666667
1082,1948.0
1086,1960.0
1088,1986.0
1090,2005.0
1092,1962.125
1094,1953.0
1095,1958.0
1096,1946.5
1097,1989.0
1098,1955.0
1099,1995.0
1100,1960.0
1102,2004.0
1103,1925.0
1108,1930.0
1109,1971.0
1110,1978.0
1111,1929.0
1112,1976.0
1113,1963.0
1114,2003.5
1116,1962.0
1117,1976.0
1118,1945.3333333333333
1120,1984.0
1121,1983.0
1122,1948.0
1123,1939.0
1124,1954.0
1125,1991.0
1126,1967.6666666666667
1128,1945.6666666666667
1130,1920.0
1131,1939.0
1132,2005.0
1134,1950.0
1135,1936.0
1136,1965.0
1137,1987.0
1138,1958.0
1140,1958.0
1141,2005.0
1142,1976.0
1144,1960.0
1145,2005.0
1146,2003.0
1148,1955.5
1150,1959.0
1152,1956.3333333333333
1154,1944.0
1155,1961.0
1158,1966.5
1159,1968.0
1163,1955.0
1164,1959.5
1165,1966.0
1166,2005.0
1167,1956.0
1173,1974.0
1176,1935.5
1178,1936.5
1180,1922.0
1181,1972.0
1183,1948.0
1184,1910.0
1188,1960.5
1190,1962.0
1192,1934.5
1194,1959.0
1196,1930.6666666666667
1198,1920.0
1199,1993.0
1200,1981.4444444444443
1203,1950.0
1204,1998.0
1208,1978.75
1211,1968.0
1212,1995.6666666666667
1214,1949.0
1215,1958.0
1216,1972.5
1217,1985.0
1218,1973.2
1220,1978.5
1221,1964.0
1223,2005.0
1224,1980.6666666666667
1225,1959.0
1226,2009.0
1228,1977.0
1229,1968.0
1230,1928.0
1232,1995.5
1234,2007.0
1235,1961.0
1236,1958.3333333333333
1240,2006.0
1241,2006.0
1242,1973.0
1244,1957.0
1246,1959.0
1247,2005.0
1248,1967.5
1250,1960.0
1251,1964.0
1252,1955.2
1253,1977.5
1256,1965.0
1258,1971.25
1261,1958.0
1262,1991.0
1264,1960.0
1265,1965.0
1266,2006.0
1268,1960.0
1269,1982.0
1271,1948.0
1274,2005.0
1276,1958.0
1277,1970.0
1279,1977.0
1283,1962.0
1284,1947.0
1285,1962.5
1287,1959.0
1288,1996.0
1291,1996.0
1294,1965.6666666666667
1296,1984.0
1297,1954.0
1298,1985.0
1301,1965.0
1302,1976.8
1304,1976.0
1306,1967.3333333333333
1308,1940.0
1309,1974.0
1310,1964.5
1314,1997.2
1316,1980.3333333333333
1317,1920.0
1319,1953.0
1320,1984.5
1322,1974.0
1324,1969.0
1327,1959.0
1328,1949.0
1334,1977.0
1336,1936.5
1337,1998.0
1338,2001.0
1339,1974.0
1340,1982.0
1342,1967.0
1343,1921.0
1344,1950.7142857142858
1346,1910.0
1347,1910.0
1348,1945.5
1349,2000.0
1350,1969.0
1352,1977.6666666666667
1355,1927.0
1357,1959.0
1358,2006.5
1360,1959.0
1362,1969.75
1363,1938.3333333333333
1364,2005.0
1365,1970.5
1367,1915.5
1368,1973.3333333333333
1369,1925.0
1370,1991.0
1372,2007.0
1374,1920.0
1375,1945.5
1376,1939.0
1378,1928.0
1381,1972.0
1382,1966.5
1383,1957.0
1385,1952.0
1386,1978.0
1387,1954.0
1389,1960.0
1391,2004.0
1392,1973.2
1393,1955.0
1394,1984.5
1395,1972.0
1396,1915.0
1400,1978.0
1402,2006.0
1405,2003.0
1406,1920.0
1411,1977.0
1412,1977.6666666666667
1414,1992.5
1416,1950.0
1419,2004.5
1422,1981.6666666666667
1425,1964.0
1426,1947.5
1428,2007.5
1429,1960.0
1430,2000.3333333333333
1431,1980.5
1432,1964.0
1434,2001.0
1436,2004.0
1437,1966.0
1440,1953.25
1441,1988.5
1442,1977.0
1445,1964.0
1446,1996.0
1452,1959.5
1453,1986.0
1456,1993.9
1458,1973.5
1459,2002.0
1464,1985.0
1466,1967.3333333333333
1468,2008.0
1469,1906.0
1470,1981.3333333333333
1471,1999.0
1472,1965.3333333333333
1473,1968.0
1474,1995.0
1475,1977.0
1476,2005.0
1477,1928.0
1478,1975.3333333333333
1479,1987.5
1481,1994.0
1482,1945.6666666666667
1484,1984.1666666666667
1486,1964.0
1487,1945.0
1489,1971.3333333333333
1490,2004.0
1493,1997.0
1494,1990.0
1496,2006.5
1498,2000.5
1500,2005.0
1501,1997.0
1502,1962.0
1504,2002.0
1505,1946.5
1506,2006.5
1507,1960.0
1509,1997.6666666666667
1510,1940.0
1511,1997.0
1512,2000.0
1513,1920.0
1516,1964.0
1517,1924.0
1518,2003.0
1520,1943.5
1522,1926.0
1523,1976.0
1524,1968.5
1525,2000.0
1526,1936.0
1529,1945.0
1530,2004.5
1533,1975.0
1535,1987.3333333333333
1536,2002.0
1537,1962.0
1539,1920.0
1541,2003.0
1547,2009.0
1548,1950.5
1550,2006.0
1552,1990.0
1553,2005.0
1554,2006.0
1555,2006.0
1556,1974.0
1557,2003.0
1558,1947.5
1559,1948.0
1560,2004.0
1561,2005.0
1563,2007.0
1564,1960.5
1566,2008.0
1567,1991.5
1569,2007.0
1571,2000.0
1572,1979.0
1573,1966.75
1574,1991.0
1575,1992.0
1576,1952.3333333333333
1577,1939.0
1578,1974.5
1580,2007.0
1582,1984.0
1584,1967.0
1586,1979.0
1588,1988.0
1590,2008.0
1593,1999.0
1595,1940.0
1600,1987.0
1601,1979.0
1602,1977.0
1603,1992.0
1604,1981.3333333333333
1605,1915.0
1608,1925.0
1610,1977.0
1611,1964.0
1614,2005.0
1616,1975.3333333333333
1617,1993.0
1620,1984.0
1621,1984.0
1622,1961.0
1624,1994.0
1625,2006.0
1626,2003.0
1629,2002.5
1630,2004.0
1632,1972.25
1634,2006.0
1635,1916.5
1636,2006.0
1638,1998.0
1639,1936.0
1640,1987.0
1641,1925.0
1644,1961.3333333333333
1646,1989.5
1647,1963.6666666666667
1651,1986.0
1652,1982.25
1654,2002.0
1656,1971.6
1657,1970.0
1658,1995.0
1659,2000.0
1660,1980.6666666666667
1661,1983.0
1663,1954.0
1664,1972.0
1665,2004.0
1666,1925.0
1668,1989.5
1670,2006.0
1671,2000.0
1674,1959.0
1675,1999.0
1679,1994.0
1680,1969.25
1682,1984.0
1683,1978.0
1684,2005.0
1686,1980.0
1687,1948.0
1688,1997.0
1689,1988.3333333333333
1690,1958.0
1691,1924.0
1692,2009.0
1694,1986.0
1696,1962.0
1698,2007.0
1699,1900.0
1700,1981.0
1701,1975.0
1702,2008.0
1704,2007.0
1707,1981.0
1708,2004.0
1709,2002.75
1710,1985.6
1712,1959.0
1713,2004.0
1714,1988.0
1716,1954.75
1717,1970.3333333333333
1718,2003.6666666666667
1719,1993.0
1720,2001.3333333333333
1721,1981.0
1724,1982.5
1725,1979.0
1726,2007.0
1728,1978.7142857142858
1732,1985.0
1733,1979.0
1734,1987.75
1738,1920.0
1739,1999.0
1740,1940.0
1742,1933.5
1743,1968.0
1744,1993.0
1746,2006.0
1750,1910.0
1752,1996.5
1756,1996.0
1761,2007.0
1762,1920.0
1764,1997.0
1766,2009.0
1767,1987.0
1768,1972.3333333333333
1771,1960.0
1774,1915.5
1775,1993.0
1776,1988.6666666666667
1779,1976.5
1784,1914.0
1786,1987.6666666666667
1787,2001.0
1788,1979.0
1790,1985.5
1792,1994.5
1795,1987.3333333333333
1796,1980.5
1797,2006.0
1800,1992.5
1801,1982.0
1802,1920.0
1803,1957.0
1804,1999.0
1811,1956.0
1812,1931.0
1818,1931.0
1820,1945.0
1824,1953.6666666666667
1826,1960.0
1828,2007.0
1829,2003.0
1836,2004.0
1838,2005.5
1839,1973.6666666666667
1840,2001.0
1842,1981.0
1844,1983.6666666666667
1845,1992.0
1846,1949.0
1848,1923.0
1850,1999.0
1851,1964.0
1852,2004.0
1855,1965.0
1856,2010.0
1861,2002.0
1863,2006.0
1865,2000.0
1867,1955.0
1868,1980.0
1869,1948.5
1872,1994.5
1876,1974.0
1886,1998.0
1888,1966.0
1889,1910.0
1894,2002.0
1895,1994.0
1902,1968.5
1904,1977.5
1905,2006.0
1908,1998.0
1911,1993.0
1912,1905.0
1913,1928.0
1915,1992.0
1919,2006.0
1920,1958.0
1922,2004.0
1923,1992.0
1924,1998.0
1928,1943.0
1929,2001.0
1932,2008.0
1933,2007.0
1935,1992.5
1936,2000.0
1939,2006.0
1940,2009.0
1944,2003.0
1947,2004.0
1948,2004.0
1949,1993.0
1950,1997.0
1953,1998.5
1954,1939.0
1958,1975.5
1959,1999.3333333333333
1960,1977.0
1961,2001.0
1962,2006.0
1964,1943.5
1968,1989.0
1969,1977.0
1970,2006.0
1971,2005.0
1973,2006.0
1976,2006.0
1977,1964.0
1978,1968.0
1980,2004.0
1981,1928.0
1982,1989.0
1983,1999.0
1986,1965.0
1987,1994.0
1989,2002.0
1991,1932.0
1992,2003.0
1993,1971.0
2000,2004.0
2002,1949.0
2007,2008.0
2008,1948.0
2013,1996.0
2018,2008.0
2019,1910.0
2020,1993.6666666666667
2021,2006.0
2022,1977.0
2028,2005.0
2030,1976.0
2031,2000.0
2034,1997.0
2035,2001.0
2036,1965.0
2042,2008.0
2046,2005.5
2054,2000.0
2057,1936.0
2058,1917.0
2060,1993.5
2062,1988.0
2069,1960.0
2073,1978.0
2076,2006.0
2078,2007.0
2080,1947.5
2082,2003.0
2084,2005.5
2087,1966.0
2090,1984.0
2093,1986.0
2094,2003.0
2097,1998.6666666666667
2098,2005.0
2108,1935.0
2110,1981.0
2112,1969.0
2113,1995.0
2117,1970.0
2119,1972.0
2121,2006.0
2126,1967.0
2127,1992.5
2132,1983.0
2134,1916.0
2136,1951.0
2138,1898.0
2142,1968.0
2144,1958.0
2149,2003.0
2153,2000.0
2156,1968.0
2157,1966.0
2158,1950.0
2161,2007.0
2167,1974.0
2169,2002.0
2172,2006.0
2183,1988.0
2184,2008.0
2192,1939.0
2196,1990.0
2198,2000.0
2200,1900.0
2201,1966.0
2207,1970.0
2210,1880.0
2217,1970.0
2223,1973.0
2224,2004.0
2229,1912.0
2230,1912.0
2234,2008.0
2236,1997.0
2240,1979.0
2243,1990.0
2256,2000.0
2259,1953.0
2260,1996.0
2262,2003.0
2263,1992.0
2267,2002.0
2270,1999.0
2274,1960.0
2285,2000.0
2287,1953.0
2290,1943.5
2291,1954.5
2295,1992.0
2296,2008.0
2320,1946.5
2324,2005.0
2329,1990.0
2332,2007.0
2337,1900.0
2340,1941.0
2344,1996.0
2345,1932.0
2353,1980.0
2358,1890.0
2364,2009.0
2365,1999.0
2372,1892.0
2374,2003.0
2376,2005.0
2380,1965.0
2392,2000.0
2398,1996.0
2402,2008.0
2403,1940.0
2414,1900.0
2417,1991.0
2418,1993.0
2447,1919.0
2448,1994.0
2450,1998.0
2452,2001.0
2462,2005.0
2466,2004.0
2468,2004.0
2473,2004.0
2482,2005.0
2504,2005.0
2514,1990.0
2515,1957.0
2519,1989.0
2520,1994.0
2521,1973.0
2524,1981.0
2526,1955.0
2531,1995.0
2554,1890.0
2555,1922.0
2574,2007.0
2576,2006.0
2596,2006.0
2599,1999.0
2601,1921.0
2610,2007.0
2612,1998.0
2614,1974.0
2620,1977.0
2622,1994.0
2624,1918.0
2630,1998.0
2633,2001.0
2634,1969.0
2640,1880.0
2643,2006.0
2646,1993.0
2654,1968.0
2668,2003.0
2696,2007.0
2704,1972.0
2713,2008.0
2715,1976.0
2727,1932.0
2728,2005.0
2730,1986.0
2775,1893.0
2784,1978.0
2792,1920.0
2794,1995.0
2810,1990.0
2822,2008.0
2828,2006.0
2868,2005.0
2872,1984.5
2898,1976.0
2945,2006.0
2978,1967.0
3082,1920.0
3086,1946.0
3112,1918.0
3140,2008.0
3194,1934.0
3222,1990.0
3228,1992.0
3238,1995.0
3279,2003.0
3395,1914.0
3447,1935.0
3493,1880.0
3608,1892.0
3627,1995.0
4316,1994.0
4476,1996.0
4676,2007.0
5642,2008.0
