Id,1stFlrSF
1,856
2,1262
3,920
4,961
5,1145
6,796
7,1694
8,1107
9,1022
10,1077
11,1040
12,1182
13,912
14,1494
15,1253
16,854
17,1004
18,1296
19,1114
20,1339
21,1158
22,1108
23,1795
24,1060
25,1060
26,1600
27,900
28,1704
29,1600
30,520
31,649
32,1228
33,1234
34,1700
35,1561
36,1132
37,1097
38,1297
39,1057
40,1152
41,1324
42,1328
43,884
44,938
45,1150
46,1752
47,1518
48,1656
49,736
50,955
51,794
52,816
53,816
54,1842
55,1360
56,1425
57,983
58,860
59,1426
60,780
61,1158
62,581
63,1370
64,902
65,1057
66,1143
67,2207
68,1479
69,747
70,1304
71,2223
72,845
73,885
74,1086
75,840
76,526
77,952
78,1072
79,1768
80,682
81,1182
82,1337
83,1563
84,1065
85,804
86,1301
87,684
88,612
89,1013
90,990
91,1040
92,1235
93,964
94,1260
95,905
96,680
97,1588
98,960
99,835
100,1225
101,1610
102,977
103,1535
104,1226
105,1226
106,1053
107,1047
108,789
109,997
110,1844
111,1216
112,774
113,1282
114,2259
115,1436
116,729
117,1092
118,1125
119,1699
120,728
121,988
122,772
123,1080
124,1199
125,1586
126,520
127,958
128,840
129,660
130,1053
131,1216
132,1022
133,1327
134,1296
135,1721
136,1682
137,1214
138,1959
139,1004
140,928
141,864
142,1734
143,910
144,1501
145,1728
146,970
147,875
148,884
149,1080
150,896
151,969
152,1710
153,1097
154,1252
155,1200
156,572
157,1040
158,774
159,991
160,1392
161,1232
162,1572
163,1541
164,882
165,1149
166,808
167,1867
168,1610
169,840
170,1707
171,854
172,1656
173,1064
174,1362
175,1651
176,2158
177,1164
178,1252
179,2234
180,968
181,769
182,901
183,1340
184,1362
185,936
186,1518
187,1217
188,808
189,1224
190,1593
191,1549
192,725
193,1431
194,970
195,864
196,855
197,1726
198,1360
199,929
200,1713
201,1121
202,1279
203,865
204,848
205,720
206,1442
207,1696
208,1100
209,1180
210,1092
211,864
212,1212
213,932
214,990
215,689
216,1236
217,1436
218,810
219,1137
220,1248
221,1498
222,1010
223,811
224,864
225,2392
226,630
227,1214
228,483
229,912
230,1555
231,1194
232,1490
233,483
234,894
235,860
236,483
237,1414
238,1014
239,1694
240,798
241,1566
242,866
243,889
244,626
245,1222
246,1872
247,908
248,1375
249,840
250,1444
251,1306
252,1625
253,798
254,1302
255,1314
256,1005
257,864
258,1604
259,963
260,882
261,1382
262,1482
263,1212
264,926
265,764
266,1422
267,802
268,1052
269,778
270,1113
271,1095
272,1363
273,1164
274,1632
275,816
276,952
277,1560
278,864
279,2121
280,1156
281,1175
282,1262
283,1314
284,1468
285,1575
286,625
287,1085
288,858
289,900
290,698
291,1079
292,936
293,1148
294,1468
295,1644
296,1003
297,910
298,975
299,1041
300,1152
301,1336
302,1210
303,1541
304,894
305,1675
306,2000
307,1122
308,1035
309,861
310,1944
311,697
312,972
313,793
314,2036
315,832
316,716
317,1153
318,1088
319,1372
320,1472
321,1249
322,1136
323,1553
324,1163
325,1898
326,803
327,1719
328,1383
329,1445
330,596
331,1728
332,1056
333,1629
334,1358
