Id,2ndFlrSF
1,854
2,0
3,866
4,756
5,1053
6,566
7,0
8,983
9,752
10,0
11,0
12,1142
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1218
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,668
32,0
33,0
34,0
35,0
36,1320
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,631
48,0
49,716
50,0
51,676
52,0
53,0
54,0
55,0
56,0
57,756
58,860
59,1519
60,0
61,0
62,530
63,0
64,808
65,977
66,1330
67,0
68,0
69,0
70,983
71,0
72,0
73,833
74,0
75,765
76,462
77,0
78,213
79,0
80,548
81,960
82,0
83,0
84,0
85,670
86,1116
87,876
88,612
89,0
90,0
91,0
92,0
93,0
94,1031
95,881
96,790
97,0
98,0
99,0
100,0
101,0
102,755
103,0
104,0
105,592
106,939
107,0
108,0
109,520
110,0
111,639
112,656
113,1414
114,0
115,884
116,729
117,0
118,0
119,1523
120,728
121,0
122,351
123,0
124,0
125,0
126,0
127,0
128,0
129,688
130,0
131,941
132,1032
133,0
134,0
135,0
136,0
137,0
138,0
139,848
140,836
141,0
142,0
143,475
144,0
145,0
146,739
147,0
148,1151
149,0
150,448
151,0
152,0
153,896
154,0
155,0
156,524
157,0
158,1194
159,956
160,1070
161,0
162,1096
163,0
164,0
165,467
166,547
167,0
168,551
169,880
170,0
171,0
172,0
173,703
174,0
175,0
176,0
177,896
178,668
179,0
180,0
181,756
182,901
183,0
184,720
185,316
186,1518
187,0
188,704
189,0
190,0
191,1178
192,754
193,0
194,739
195,0
196,601
197,0
198,1360
199,929
200,0
201,0
202,0
203,445
204,0
205,564
206,0
207,0
208,0
209,882
210,0
211,0
212,0
213,920
214,0
215,703
216,0
217,0
218,518
219,817
220,0
221,0
222,1257
223,741
224,0
225,0
226,672
227,1306
228,504
229,0
230,0
231,0
232,1304
233,504
234,0
235,1100
236,504
237,0
238,730
239,0
240,689
241,0
242,0
243,551
244,591
245,888
246,0
247,1020
248,0
249,828
250,700
251,0
252,0
253,842
254,0
255,0
256,1286
257,864
258,0
259,829
260,0
261,0
262,1092
263,0
264,0
265,0
266,0
267,709
268,720
269,0
270,0
271,844
272,0
273,1106
274,0
275,0
276,596
277,0
278,0
279,0
280,866
281,807
282,0
283,0
284,0
285,0
286,625
287,649
288,0
289,0
290,698
291,840
292,780
293,568
294,795
295,0
296,0
297,648
298,975
299,702
300,0
301,0
302,1242
303,0
304,0
305,1818
306,0
307,1121
308,371
309,0
310,0
311,804
312,0
313,325
314,0
315,809
316,716
317,1200
318,871
319,1274
320,0
321,1347
322,1332
323,1177
324,0
325,1080
326,0
327,0
328,0
329,689
330,596
331,0
332,0
333,0
334,0
335,695
336,167
337,0
338,0
339,0
340,0
341,915
342,0
343,0
344,0
345,576
346,605
347,0
348,0
349,862
350,880
351,0
352,0
353,495
354,0
355,403
356,0
357,0
358,0
359,0
360,838
361,0
362,517
363,1427
364,504
365,784
366,672
367,0
368,0
369,0
370,0
371,711
372,468
373,0
374,0
375,1081
376,0
377,0
378,886
379,0
380,793
381,665
382,0
383,858
384,0
385,874
386,0
387,526
388,0
389,0
390,590
391,406
392,1157
393,0
394,0
395,299
396,0
397,0
398,936
399,0
400,438
401,0
402,0
403,0
404,1098
405,766
406,0
407,0
408,840
409,1101
410,1028
411,0
412,0
413,0
414,0
415,1017
416,0
417,728
418,1254
419,378
420,0
421,0
422,0
423,0
424,1160
425,0
426,682
427,0
428,0
429,0
430,0
431,504
432,110
433,600
434,678
435,0
436,834
437,384
438,0
439,0
440,512
441,0
442,0
443,445
444,0
445,975
446,0
447,0
