Id,FullBath
1,2
2,2
3,2
4,1
5,2
6,1
7,2
8,2
9,2
10,1
11,1
12,3
13,1
14,2
15,1
16,1
17,1
18,2
19,1
20,1
21,3
22,1
23,2
24,1
25,1
26,2
27,1
28,2
29,1
30,1
31,1
32,1
33,2
34,1
35,2
36,3
37,1
38,1
39,1
40,2
41,2
42,1
43,1
44,1
45,1
46,2
47,1
48,2
49,2
50,1
51,2
52,1
53,1
54,0
55,1
56,2
57,2
58,2
59,3
60,1
61,1
62,1
63,2
64,2
65,2
66,2
67,2
68,2
69,1
70,2
71,2
72,1
73,2
74,1
75,2
76,1
77,1
78,1
79,2
80,1
81,2
82,2
83,2
84,1
85,2
86,2
87,2
88,2
89,1
90,1
91,1
92,1
93,1
94,2
95,2
96,2
97,2
98,1
99,1
100,1
101,2
102,2
103,2
104,2
105,1
106,2
107,1
108,1
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,1
118,1
119,3
120,2
121,1
122,1
123,1
124,2
125,2
126,1
127,2
128,1
129,1
130,1
131,2
132,2
133,1
134,2
135,2
136,2
137,2
138,3
139,2
140,2
141,1
142,2
143,2
144,2
145,2
146,2
147,1
148,2
149,1
150,1
151,1
152,2
153,2
154,1
155,1
156,1
157,1
158,2
159,2
160,2
161,2
162,2
163,2
164,1
165,2
166,2
167,1
168,1
169,2
170,2
171,1
172,1
173,2
174,1
175,2
176,2
177,2
178,2
179,2
180,1
181,2
182,1
183,1
184,2
185,1
186,2
187,2
188,2
189,0
190,1
191,2
192,1
193,2
194,2
195,1
196,2
197,2
198,2
199,1
200,2
201,2
202,2
203,2
204,1
205,1
206,2
207,1
208,1
209,2
210,1
211,1
212,2
213,2
214,1
215,1
216,1
217,2
218,1
219,1
220,2
221,2
222,2
223,2
224,1
225,2
226,2
227,2
228,1
229,1
230,2
231,1
232,2
233,1
234,1
235,2
236,1
237,2
238,2
239,2
240,1
241,2
242,1
243,1
244,1
245,2
246,2
247,2
248,1
249,2
250,2
251,1
252,2
253,2
254,2
255,1
256,2
257,2
258,2
259,2
260,1
261,1
262,2
263,1
264,1
265,1
266,2
267,2
