Id,HalfBath
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,2
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,0
296,0
297,1
298,1
299,2
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,0
422,0
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,1
503,0
504,0
505,1
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,1
543,0
544,0
545,1
546,1
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,2
599,0
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,0
608,0
609,1
610,0
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,1
621,0
622,1
623,0
624,1
625,2
626,1
627,0
628,0
629,2
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,0
649,1
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,0
660,0
661,1
662,1
663,0
664,0
665,1
666,1
667,1
668,0
669,1
670,0
671,1
672,0
673,1
674,0
675,0
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,1
748,1
749,0
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,0
767,1
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,0
787,0
788,1
789,0
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,1
802,0
803,1
804,1
805,0
806,0
807,0
808,1
809,0
810,0
811,1
812,0
813,0
814,1
815,1
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,0
843,1
