Id,MSSubClass
1,60
2,20
3,60
4,70
5,60
6,50
7,20
8,60
9,50
10,190
11,20
12,60
13,20
14,20
15,20
16,45
17,20
18,90
19,20
20,20
21,60
22,45
23,20
24,120
25,20
26,20
27,20
28,20
29,20
30,30
31,70
32,20
33,20
34,20
35,120
36,60
37,20
38,20
39,20
40,90
41,20
42,20
43,85
44,20
45,20
46,120
47,50
48,20
49,190
50,20
51,60
52,50
53,90
54,20
55,80
56,20
57,160
58,60
59,60
60,20
61,20
62,75
63,120
64,70
65,60
66,60
67,20
68,20
69,30
70,50
71,20
72,20
73,60
74,20
75,50
76,180
77,20
78,50
79,90
80,50
81,60
82,120
83,20
84,20
85,80
86,60
87,60
88,160
89,50
90,20
91,20
92,20
93,30
94,190
95,60
96,60
97,20
98,20
99,30
100,20
101,20
102,60
103,90
104,20
105,50
106,60
107,30
108,20
109,50
110,20
111,50
112,80
113,60
114,20
115,70
116,160
117,20
118,20
119,60
120,60
121,80
122,50
123,20
124,120
125,20
126,190
127,120
128,45
129,60
130,20
131,60
132,60
133,20
134,20
135,20
136,20
137,20
138,90
139,60
140,60
141,20
142,20
143,50
144,20
145,90
146,160
147,30
148,60
149,20
150,50
151,20
152,20
153,60
154,20
155,30
156,50
157,20
158,60
159,60
160,60
161,20
162,60
163,20
164,45
165,40
166,190
167,20
168,60
169,60
170,20
171,50
172,20
173,160
174,20
175,20
176,20
177,60
178,50
179,20
180,30
181,160
182,70
183,20
184,50
185,50
186,75
187,80
188,50
189,90
190,120
191,70
192,60
193,20
194,160
195,20
196,160
197,20
198,75
199,75
200,20
201,20
202,20
203,50
204,120
205,50
206,20
207,20
208,20
209,60
210,20
211,30
212,20
213,60
214,20
215,60
216,20
217,20
218,70
219,50
220,120
221,20
222,60
223,60
224,20
225,20
226,160
227,60
228,160
229,20
230,120
231,20
232,60
233,160
234,20
235,60
236,160
237,20
238,60
239,20
240,50
241,20
242,30
243,50
244,160
245,60
246,20
247,190
248,20
249,60
250,50
251,30
252,120
253,60
254,80
255,20
256,60
257,60
258,20
259,60
260,20
261,80
262,60
263,80
264,50
265,30
266,20
267,60
268,75
269,30
270,20
271,60
272,20
273,60
274,20
275,20
276,50
277,20
278,20
279,20
280,60
281,60
282,20
283,120
284,20
285,120
286,160
287,50
288,20
289,20
290,70
291,60
292,190
293,50
294,60
295,20
296,80
297,50
298,60
299,60
300,20
301,190
302,60
303,20
304,20
305,75
306,20
307,60
308,50
309,30
310,20
311,60
312,20
313,190
314,20
315,70
316,60
317,60
318,60
319,60
320,80
321,60
322,60
323,60
324,20
325,80
326,45
327,120
328,20
329,75
330,70
331,90
332,20
333,20
334,120
335,60
336,190
337,20
338,20
339,20
340,20
341,60
342,20
343,90
344,120
345,160
346,50
347,20
348,20
349,160
350,60
351,120
352,120
353,50
354,30
355,50
356,20
357,20
358,120
359,80
360,60
361,85
362,50
363,85
364,160
365,60
366,70
367,20
368,80
369,20
370,20
371,60
372,50
373,120
374,20
375,60
376,30
377,85
378,60
379,20
380,60
381,50
382,20
383,60
384,45
385,60
386,120
387,50
388,80
389,20
390,60
391,50
392,60
393,20
394,30
395,50
396,20
397,20
398,60
399,30
400,60
401,120
402,20
403,30
404,60
405,60
406,20
407,50
408,70
409,60
410,60
411,20
412,190
413,20
414,30
415,60
416,20
417,60
418,70
419,50
420,20
421,90
422,20
423,20
424,60
425,20
426,60
427,80
428,20
429,20
430,20
431,160
432,50
433,160
434,60
435,180
436,60
437,50
438,45
439,30
440,50
441,20
442,90
443,50
444,120
445,60
446,20
447,20
448,60
449,50
450,50
451,30
452,20
453,60
454,60
455,90
456,20
457,70
458,20
459,70
460,50
461,60
462,70
463,20
464,70
465,20
466,120
467,20
468,70
469,20
470,60
471,120
472,60
473,180
474,20
475,120
476,20
477,20
478,60
479,20
480,30
481,20
482,20
483,70
484,120
485,20
486,20
487,20
488,20
489,190
490,180
491,160
492,50
493,60
494,20
495,30
496,30
497,20
498,50
499,20
500,20
501,160
502,60
503,20
504,20
505,160
506,90
507,60
508,20
509,70
510,20
511,20
512,120
513,20
514,20
515,45
516,20
517,80
518,60
519,60
520,70
521,190
522,20
523,50
524,60
525,60
526,20
527,20
528,60
529,30
530,20
531,80
532,70
533,20
534,20
535,60
536,190
537,60
538,20
539,20
540,20
541,20
542,60
543,20
544,120
545,60
546,50
547,50
548,85
549,20
550,60
551,120
552,20
553,20
554,20
555,60
556,45
557,20
558,50
559,60
560,120
561,20
562,20
563,30
564,50
565,60
566,70
567,60
568,20
569,50
570,90
571,90
572,20
573,60
574,80
575,80
576,50
577,50
578,80
579,160
580,50
581,20
582,20
583,90
584,75
585,50
586,20
587,30
588,85
589,20
590,40
591,60
592,60
593,20
594,120
595,20
596,20
597,70
598,120
599,20
600,160
601,60
602,50
603,60
604,160
605,20
606,60
607,20
608,20
609,70
610,20
611,60
612,80
613,60
614,20
615,180
616,85
617,60
618,45
619,20
620,60
621,30
622,60
623,20
624,160
625,60
626,20
627,20
