Id,OverallCond
1,5
2,8
3,5
4,5
5,5
6,5
7,5
8,6
9,5
10,6
11,5
12,5
13,6
14,5
15,5
16,8
17,7
18,5
19,5
20,6
21,5
22,7
23,5
24,7
25,8
26,5
27,7
28,5
29,6
30,6
31,4
32,6
33,5
34,5
35,5
36,5
37,5
38,6
39,7
40,5
41,5
42,6
43,7
44,6
45,6
46,5
47,5
48,5
49,5
50,7
51,6
52,6
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,7
61,5
62,7
63,5
64,6
65,5
66,5
67,5
68,5
69,6
70,4
71,6
72,6
73,5
74,7
75,6
76,5
77,7
78,5
79,5
80,6
81,6
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,2
90,5
91,5
92,3
93,7
94,6
95,5
96,8
97,5
98,5
99,5
100,5
101,7
102,5
103,5
104,5
105,4
106,5
107,7
108,5
109,7
110,6
111,4
112,5
113,5
114,5
115,8
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,7
124,5
125,5
126,8
127,5
128,7
129,5
130,7
131,6
132,5
133,6
134,5
135,6
136,6
137,5
138,5
139,5
140,5
141,5
142,5
143,4
144,5
145,5
146,5
147,7
148,5
149,5
150,4
151,6
152,5
153,5
154,7
155,5
156,5
157,7
158,5
159,5
160,5
161,6
162,5
163,5
164,6
165,7
166,7
167,5
168,5
169,5
170,6
171,6
172,5
173,7
174,5
175,5
176,7
177,5
178,5
179,5
180,6
181,5
182,6
183,6
184,5
185,8
186,9
187,5
188,7
189,5
190,5
191,8
192,9
193,5
194,5
195,7
196,6
197,5
198,4
199,6
200,5
201,5
202,6
203,6
204,5
205,7
206,5
207,5
208,5
209,5
210,7
211,6
212,5
213,5
214,5
215,7
216,6
217,5
218,4
219,9
220,5
221,5
222,5
223,6
224,6
225,5
226,5
227,5
228,6
229,5
230,5
231,6
232,5
233,5
234,6
235,5
236,3
237,5
238,7
239,5
240,4
241,5
242,9
243,4
244,6
245,5
246,5
247,8
248,5
249,5
250,7
251,2
252,5
253,5
254,7
255,6
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,7
264,7
265,5
266,6
267,5
268,8
269,6
270,7
271,5
272,7
273,7
274,6
275,7
276,7
277,5
278,5
279,5
280,5
281,6
282,5
283,5
284,5
285,5
286,5
287,7
288,4
289,5
290,7
291,5
292,6
293,4
294,7
295,5
296,6
297,5
298,5
299,6
300,8
301,5
302,5
303,5
304,7
305,9
306,5
307,5
308,7
309,5
310,5
311,5
312,6
313,7
314,5
315,7
316,5
317,7
318,5
319,5
320,5
321,5
322,5
323,5
324,8
325,7
326,6
327,5
328,5
329,6
330,5
331,4
332,6
333,5
334,5
335,5
336,6
337,5
338,5
339,7
340,7
341,5
342,4
343,4
344,5
345,3
346,5
347,8
348,5
349,5
350,5
351,5
352,5
353,6
354,8
355,5
356,5
357,6
358,5
359,4
360,5
361,6
362,5
363,5
364,8
365,5
366,7
367,5
368,5
369,6
370,7
371,5
372,4
373,5
374,6
375,5
376,1
377,5
378,5
379,2
380,5
381,6
382,5
383,5
384,3
385,5
386,5
387,3
388,6
389,5
390,5
391,8
392,5
393,7
394,5
395,6
396,6
397,5
398,5
399,2
400,5
401,5
402,5
403,8
404,5
405,5
406,4
407,5
408,7
409,5
410,5
411,3
412,5
413,5
414,6
415,5
416,5
417,7
418,6
419,6
420,6
421,5
422,7
423,5
424,5
425,5
426,8
427,5
428,6
429,5
430,5
431,5
432,7
433,5
434,5
435,7
436,6
437,8
438,7
439,6
440,8
441,5
442,4
443,7
444,5
445,5
446,5
447,6
448,5
449,6
450,7
451,8
452,5
453,5
454,5
455,5
456,6
457,5
458,6
459,7
460,4
461,5
462,9
463,5
464,7
465,5
466,5
467,5
468,7
469,5
470,5
471,5
472,6
473,5
474,5
475,5
476,6
477,5
478,5
479,5
480,7
481,5
482,5
483,8
484,5
485,7
486,7
487,7
488,6
489,4
490,8
491,6
492,7
493,5
494,6
495,8
496,5
497,5
498,6
499,7
500,7
501,5
502,5
503,7
504,8
505,5
506,5
507,5
508,5
509,9
510,6
511,7
512,5
513,5
514,5
515,5
516,5
517,6
518,5
519,5
520,9
521,7
522,6
523,7
524,5
525,5
526,5
527,7
528,5
529,7
530,3
531,5
532,8
533,7
534,3
535,5
536,7
537,5
538,5
539,5
540,5
541,5
542,5
543,5
544,5
545,5
546,5
547,7
548,7
549,7
550,5
551,6
552,6
553,5
554,5
555,5
556,6
557,5
558,6
559,5
560,5
561,6
562,5
563,6
564,7
565,5
566,4
567,5
568,5
569,8
570,5
571,5
572,6
573,5
574,5
575,7
576,5
577,7
578,6
579,5
580,5
581,6
582,5
583,5
584,9
585,7
586,5
587,7
588,6
589,8
590,6
591,5
592,5
593,8
594,5
595,6
596,5
597,7
598,5
599,6
600,6
601,5
602,6
603,5
604,5
605,5
606,6
607,5
608,8
609,6
610,5
611,5
612,6
613,5
614,5
615,6
616,7
617,5
618,6
619,5
620,5
621,3
622,7
623,6
624,5
625,5
626,6
627,5
628,6
629,5
630,5
631,6
632,5
633,5
634,7
635,5
636,7
637,3
638,4
639,7
640,5
641,5
642,5
643,7
644,5
645,5
646,5
647,5
648,5
649,5
650,6
651,6
652,5
653,5
654,7
655,6
656,5
657,7
658,6
659,5
660,7
661,7
662,7
663,3
664,5
665,5
666,5
667,5
668,5
669,6
670,5
671,5
672,6
673,6
674,7
675,6
676,6
677,2
678,8
679,5
680,5
681,5
682,5
683,5
684,5
685,5
686,5
687,6
688,5
689,6
690,5
691,5
692,6
693,5
694,6
695,6
696,6
697,7
698,7
699,8
700,5
701,5
702,5
703,5
704,9
705,5
706,5
707,5
708,5
709,5
710,7
711,6
712,7
713,5
714,5
715,8
716,5
717,8
718,6
719,5
720,6
721,5
722,5
723,7
724,6
725,5
726,6
727,9
728,5
729,5
730,5
731,5
732,5
733,5
734,6
735,5
736,7
737,4
738,5
739,5
740,5
741,7
742,8
743,5
744,6
745,5
746,9
747,5
748,7
749,5
750,3
751,7
752,5
753,5
754,5
755,8
756,5
757,5
758,5
759,5
760,5
761,6
762,5
763,5
764,5
765,5
766,5
767,5
768,7
769,5
770,5
771,5
772,5
773,5
774,5
775,5
776,5
777,5
778,5
779,5
780,5
781,5
782,5
783,5
784,6
785,6
786,5
787,6
788,5
789,7
790,8
791,5
792,5
793,5
794,5
795,5
796,6
797,5
798,5
799,5
800,7
801,5
802,7
803,5
804,5
805,5
806,5
807,5
808,6
809,5
810,5
811,6
812,5
813,5
814,6
815,7
816,5
817,6
818,5
819,7
820,5
821,5
822,4
823,5
824,7
825,5
826,5
827,6
828,5
829,5
830,5
831,5
832,5
833,6
834,6
835,6
836,7
837,6
838,5
839,6
840,6
841,8
842,8
843,7
844,4
845,8
846,5
847,5
848,6
849,8
850,7
851,5
852,5
853,5
854,6
855,4
856,8
857,6
858,5
859,5
860,7
861,8
862,4
863,5
864,5
865,5
866,6
867,5
868,5
869,6
870,5
871,5
872,5
873,7
874,7
875,6
876,5
877,5
878,5
879,7
880,8
881,5
882,5
883,5
884,5
885,5
886,5
887,5
888,7
889,6
890,4
891,7
892,5
893,8
894,5
895,5
896,5
897,6
898,5
899,5
900,7
901,6
902,7
903,5
904,5
905,6
906,5
907,5
908,7
909,5
910,5
911,5
912,7
913,7
914,6
915,5
916,5
917,3
918,6
919,5
920,8
921,5
922,7
923,5
924,5
925,6
926,6
927,5
928,5
929,5
930,5
931,5
932,6
933,5
934,5
935,7
936,5
937,5
938,5
939,5
940,7
941,5
942,5
943,3
944,4
945,6
946,6
947,6
948,5
949,5
950,7
951,8
952,5
953,8
954,4
955,5
956,6
957,6
958,5
959,5
960,5
961,7
962,7
963,6
964,5
965,5
966,5
967,7
968,7
969,6
970,5
971,4
972,5
973,5
974,5
975,8
976,5
977,7
978,5
979,5
980,6
981,9
982,5
983,5
984,5
985,5
986,5
987,8
988,5
989,6
990,5
991,5
992,9
993,8
994,5
995,5
996,7
997,6
998,6
999,4
1000,5
1001,3
1002,6
1003,5
1004,6
1005,5
1006,8
1007,3
1008,4
1009,5
1010,5
1011,5
1012,5
1013,7
1014,4
1015,5
1016,6
1017,5
1018,5
1019,5
1020,5
1021,5
1022,5
1023,5
1024,5
1025,6
1026,5
1027,5
1028,5
1029,5
1030,7
1031,8
1032,3
1033,7
1034,5
1035,7
1036,3
1037,5
1038,5
1039,6
1040,4
1041,4
1042,8
1043,5
1044,5
1045,5
1046,5
1047,5
1048,5
1049,4
1050,7
1051,5
1052,5
1053,6
1054,6
1055,5
1056,5
1057,5
1058,6
1059,5
1060,7
1061,5
1062,4
1063,5
1064,6
1065,6
1066,5
1067,7
1068,6
1069,4
1070,7
1071,5
1072,6
1073,3
1074,6
1075,5
1076,6
1077,8
1078,5
1079,5
1080,5
1081,7
1082,5
1083,5
1084,6
1085,5
1086,6
1087,5
1088,5
1089,5
1090,5
1091,4
1092,5
1093,5
1094,8
1095,7
1096,5
1097,7
1098,5
1099,6
1100,5
1101,5
1102,5
1103,7
1104,6
1105,5
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1112,6
1113,7
1114,7
1115,7
1116,5
1117,5
1118,7
1119,6
1120,5
1121,5
1122,5
1123,3
1124,9
1125,5
1126,5
1127,5
1128,5
1129,5
1130,5
1131,3
1132,5
1133,4
1134,5
1135,5
1136,5
1137,5
1138,8
1139,5
1140,5
1141,7
1142,7
1143,5
1144,3
1145,4
1146,6
1147,5
1148,7
1149,7
1150,9
1151,5
1152,4
1153,7
1154,8
1155,6
1156,8
1157,8
1158,5
1159,5
1160,6
1161,5
1162,7
1163,5
1164,4
1165,7
1166,5
1167,5
1168,5
1169,7
1170,5
1171,6
1172,6
1173,5
1174,6
1175,8
1176,5
1177,5
1178,8
1179,6
1180,5
1181,5
1182,5
1183,5
1184,6
1185,4
1186,7
1187,5
1188,5
1189,5
1190,5
1191,4
1192,5
1193,8
1194,5
1195,7
1196,5
1197,5
1198,6
1199,5
1200,5
1201,5
1202,5
1203,8
1204,5
1205,6
1206,7
1207,4
