Id,OverallQual
1,7
2,6
3,7
4,7
5,8
6,5
7,8
8,7
9,7
10,5
11,5
12,9
13,5
14,7
15,6
16,7
17,6
18,4
19,5
20,5
21,8
22,7
23,8
24,5
25,5
26,8
27,5
28,8
29,5
30,4
31,4
32,5
33,8
34,5
35,9
36,8
37,5
38,5
39,5
40,4
41,6
42,5
43,5
44,5
45,5
46,9
47,7
48,8
49,4
50,5
51,6
52,6
53,5
54,9
55,5
56,6
57,8
58,7
59,10
60,5
61,6
62,5
63,8
64,7
65,7
66,8
67,7
68,7
69,4
70,7
71,7
72,4
73,7
74,5
75,3
76,4
77,4
78,5
79,4
80,5
81,6
82,6
83,8
84,5
85,7
86,8
87,6
88,6
89,3
90,4
91,4
92,5
93,5
94,6
95,6
96,6
97,7
98,4
99,5
100,4
101,6
102,6
103,5
104,7
105,7
106,8
107,4
108,5
109,5
110,6
111,6
112,7
113,7
114,6
115,6
116,6
117,5
118,5
119,7
120,6
121,6
122,4
123,6
124,6
125,6
126,6
127,6
128,5
129,6
130,5
131,7
132,6
133,5
134,8
135,5
136,7
137,5
138,7
139,8
140,6
141,4
142,7
143,5
144,7
145,5
146,6
147,5
148,7
149,7
150,5
151,5
152,8
153,6
154,6
155,6
156,6
157,5
158,8
159,7
160,7
161,6
162,9
163,7
164,4
165,6
166,5
167,5
168,8
169,7
170,8
171,5
172,6
173,7
174,6
175,6
176,6
177,6
178,5
179,9
180,5
181,6
182,7
183,5
184,7
185,5
186,10
187,7
188,5
189,5
190,8
191,8
192,7
193,7
194,7
195,5
196,6
197,7
198,8
199,6
200,8
201,4
202,6
203,6
204,6
205,5
206,7
207,5
208,4
209,7
210,6
211,5
212,6
213,7
214,5
215,6
216,5
217,7
218,4
219,7
220,7
221,7
222,6
223,6
224,4
225,10
226,5
227,7
228,6
229,5
230,7
231,6
232,8
233,6
234,5
235,6
236,6
237,7
238,7
239,8
240,6
241,8
242,5
243,5
244,6
245,7
246,7
247,6
248,6
249,7
250,6
251,3
252,8
253,6
254,6
255,5
256,7
257,6
258,7
259,7
260,5
261,6
262,8
263,6
264,5
265,5
266,6
267,6
268,5
269,5
270,6
271,8
272,7
273,8
274,6
275,5
276,7
277,7
278,4
279,9
280,7
281,7
282,6
283,7
284,8
285,6
286,7
287,6
288,4
289,5
290,6
291,8
292,5
293,5
294,7
295,6
296,6
297,5
298,7
299,6
300,6
301,5
302,8
303,7
304,5
305,7
306,8
307,7
308,6
309,4
310,9
311,6
312,6
313,5
314,7
315,7
316,7
317,7
318,8
319,7
320,7
321,9
322,8
323,7
324,3
