Id,YearBuilt
1,2003
2,1976
3,2001
4,1915
5,2000
6,1993
7,2004
8,1973
9,1931
10,1939
11,1965
12,2005
13,1962
14,2006
15,1960
16,1929
17,1970
18,1967
19,2004
20,1958
21,2005
22,1930
23,2002
24,1976
25,1968
26,2007
27,1951
28,2007
29,1957
30,1927
31,1920
32,1966
33,2007
34,1959
35,2005
36,2004
37,1994
38,1954
39,1953
40,1955
41,1965
42,1959
43,1983
44,1975
45,1959
46,2005
47,2003
48,2006
49,1920
50,1966
51,1997
52,1934
53,1963
54,1981
55,1955
56,1964
57,1999
58,2004
59,2006
60,1972
61,2004
62,1920
63,2006
64,1921
65,1997
66,2004
67,1970
68,2003
69,1945
70,1953
71,1973
72,1982
73,1998
74,1954
75,1915
76,1973
77,1956
78,1948
79,1968
80,1910
81,1968
82,1998
83,2007
84,1960
85,1995
86,1991
87,2005
88,2009
89,1915
90,1994
91,1950
92,1961
93,1921
94,1910
95,1997
96,1993
97,1999
98,1965
99,1920
100,1959
101,1977
102,1985
103,1979
104,2009
105,1931
106,2003
107,1885
108,1948
109,1919
110,1977
111,1954
112,2000
113,2007
114,1953
115,1945
116,1999
117,1962
118,2006
119,1990
120,2005
121,1969
122,1939
123,1958
124,1993
125,1979
126,1935
127,1976
128,1930
129,1966
130,1958
131,1966
132,2000
133,1959
134,2001
135,1968
136,1970
137,1967
138,1988
139,1999
140,1997
141,1971
142,2005
143,1952
144,1999
145,1963
146,2004
147,1931
148,2001
149,2004
150,1936
151,1975
152,2007
153,1971
154,1960
155,1923
156,1924
157,1950
158,2009
159,2004
160,2005
161,1984
162,2003
163,2005
164,1956
165,1926
166,1940
167,1955
168,2007
169,2004
170,1981
171,1941
172,1960
173,1987
174,1961
175,1986
176,1950
177,1988
178,1958
179,2008
180,1923
181,2000
182,1920
183,1957
184,2003
185,1908
186,1892
187,1990
188,1916
189,1979
190,2001
191,1932
192,1972
193,1999
194,2004
195,1972
196,1976
197,2007
198,1918
199,1912
200,2004
201,2003
202,1977
203,1924
204,2004
205,1947
206,1990
207,1962
208,1960
209,1988
210,1964
211,1925
212,2009
213,2009
214,1995
215,1977
216,1957
217,2004
218,1925
219,1939
220,2005
221,2006
222,2002
223,1975
224,1971
225,2003
226,1971
227,1995
228,1970
229,1967
230,2005
231,1959
232,1995
233,1972
234,1976
235,2002
236,1971
237,2004
238,1993
239,2007
240,1945
241,2008
242,1945
243,1900
244,1980
245,1994
246,1988
247,1910
248,1954
249,2003
250,1958
251,1940
252,2006
253,2004
254,1964
255,1957
256,1999
257,2003
258,2006
259,2001
260,1956
261,1962
262,2007
263,1977
264,1929
265,1925
266,1981
267,1997
268,1939
269,1940
270,1976
271,2006
272,1954
273,1999
274,1958
275,1982
276,1925
277,2003
278,1951
279,2006
280,1977
281,1989
282,2006
283,2007
284,2008
285,1992
286,2006
287,1962
288,1971
289,1967
290,1915
291,2006
292,1912
293,1949
294,1977
295,1953
296,1984
297,1950
298,1997
299,1968
300,1950
301,1953
302,1998
303,2001
304,1972
305,1880
306,2004
307,1990
308,1920
309,1940
310,2003
311,1993
312,1948
313,1939
314,1965
315,1925
316,2004
317,1980
318,2006
319,1993
320,1980
321,2006
322,2004
323,1986
324,1955
325,1967
326,1941
327,1993
328,1960
329,1916
330,1920
331,1964
332,1958
333,2003
334,2004
335,1998
336,1965
337,2005
338,2002
339,1984
340,1958
341,2002
342,1950
343,1949
344,2005
345,1976
346,1939
347,1960
348,1960
349,2003
350,2005
351,2007
352,1986
353,1941
354,1928
355,1940
356,1995
357,1992
358,1976
359,1958
360,1998
361,1978
362,1940
363,2003
364,1972
365,1976
366,1920
367,1963
368,1962
369,1954
370,1959
371,2000
372,1959
373,1984
374,1953
375,2003
376,1922
377,1996
378,2004
379,2010
380,2000
381,1924
382,2006
383,2006
384,1928
385,1992
386,2004
387,1910
388,1976
389,1999
390,2007
391,1900
392,2001
393,1959
394,1941
395,1940
396,1956
397,1972
398,1962
399,1920
400,2006
401,1996
402,2005
403,1940
404,1998
405,1995
406,1976
407,1936
408,1915
409,2006
410,2007
411,1958
412,1955
413,2009
414,1927
415,1993
416,2007
417,1978
418,1918
419,1940
420,1968
421,1997
422,1977
423,1954
424,1998
425,1956
426,1946
427,1989
428,1957
429,2007
430,1988
431,1971
432,1920
433,1971
434,1997
435,1972
436,1996
437,1920
438,1926
439,1913
440,1920
441,2008
442,1955
443,1930
444,2006
445,1994
446,1956
447,1966
448,1998
449,1937
450,1948
451,1930
452,1975
453,1996
454,2008
455,1976
456,1973
457,1916
458,1954
459,1925
460,1950
461,2009
462,1936
463,1965
464,1934
465,1978
466,2004
467,1970
468,1942
469,2006
470,1993
471,1985
472,1977
473,2005
474,2006
475,2000
476,1963
477,1997
478,2006
479,2007
480,1937
481,2004
482,2003
483,1915
484,1998
485,1962
486,1950
487,1965
488,1971
489,1900
490,1970
491,1976
492,1941
493,2006
494,1960
495,1938
496,1920
497,1992
498,1925
499,1967
500,1958
501,1973
502,2005
503,1965
504,1959
505,1974
506,1952
507,1993
508,2009
509,1928
510,1959
511,1951
512,2005
513,1958
514,1983
515,1926
516,2009
517,1972
518,1996
519,1998
520,1926
521,1900
522,1957
523,1947
524,2007
525,1996
526,2005
527,1956
528,2008
529,1920
530,1957
531,1988
532,1920
533,1955
534,1946
535,2004
536,1910
537,1998
538,1972
539,1968
540,2001
541,2006
542,2000
543,1998
544,1998
545,2006
546,1988
547,1923
548,1970
549,1955
550,2003
551,1977
552,1957
553,2006
554,1949
555,2003
556,1922
557,1957
558,1920
559,1996
560,2003
561,1957
562,1974
563,1940
564,1918
565,1992
566,1915
567,2005
568,2004
569,1983
570,1979
571,1965
572,1959
573,2009
574,2000
575,1971
576,1947
577,1928
578,1966
579,2007
580,1954
581,1960
582,2008
583,1990
584,1893
585,1935
586,2005
587,1918
588,1982
589,1968
590,1930
591,2004
592,2008
593,1982
594,2003
595,1975
596,2005
597,1910
598,2006
599,1977
600,1980
601,2005
602,1937
603,1992
604,2004
605,2002
606,1965
607,1996
608,1948
609,1934
610,1961
611,2000
612,1978
613,2001
614,2007
615,1972
616,1963
617,2002
618,1954
619,2007
620,2003
621,1914
622,1974
623,1977
624,2000
625,1972
626,1962
627,1960
628,1955
629,1969
630,1964
631,1880
632,2006
633,1977
634,1954
635,1980
636,1914
637,1936
638,1954
639,1910
640,2006
641,2003
642,2001
643,1972
644,1969
645,2009
646,1971
647,1950
648,1953
649,1966
650,1970
651,2007
652,1940
653,1996
654,1906
655,1995
656,1971
657,1959
658,1931
659,1948
660,1964
661,1976
662,1994
663,1968
664,1972
665,2005
666,2000
667,1965
668,1994
669,1956
670,1922
671,2005
672,1925
673,1977
674,1957
675,1965
676,1978
677,1900
678,1924
679,2008
680,1961
681,1980
682,1932
683,1996
684,2002
685,1998
686,1984
687,2007
688,2004
689,2007
690,2005
691,2004
692,1994
693,1989
694,1921
695,1936
696,1987
697,1921
698,1952
699,1965
700,2004
701,2002
702,1969
703,2006
704,1900
705,2004
706,1930
707,1971
708,2006
709,2007
710,1966
711,1935
712,1900
713,1988
714,1970
715,1976
716,1974
717,1890
718,1973
719,1993
720,1969
721,1985
722,2004
723,1970
724,1954
725,2007
726,1970
727,1988
728,2007
729,1958
730,1925
731,1995
732,2003
733,1998
734,1961
735,1968
736,1914
737,1950
738,2005
739,1987
740,2004
741,1910
742,1961
743,2000
744,1963
745,1993
746,1976
747,2000
748,1880
749,1996
750,1945
751,1910
752,2003
753,1997
754,2005
755,1969
756,1999
757,2007
758,1978
759,1999
760,1995
761,1959
762,1924
763,2009
764,1999
765,1995
766,2008
767,1988
768,1940
769,2004
770,2003
771,1982
772,1951
773,1976
774,1958
775,2006
776,1998
777,2005
778,1974
779,1977
780,1977
781,1995
782,1992
783,2001
784,1978
785,1914
786,1967
787,1915
788,2004
789,1954
790,1966
791,2005
792,1976
793,1996
794,2007
795,1994
796,1980
797,1977
798,1953
799,2008
800,1937
801,1997
802,1916
803,2005
804,2008
805,1954
806,2008
807,1967
808,1923
809,1966
810,1898
811,1974
812,2004
813,1952
814,1958
815,1918
816,1998
817,1954
818,2002
819,1971
820,2009
821,2003
822,1953
823,2003
824,1940
825,2006
826,2007
827,1924
828,2001
829,1967
830,2005
831,1957
832,2005
833,2003
834,1964
835,1961
836,1950
837,1948
838,1973
839,1995
840,1946
841,1925
842,1904
843,1966
844,1961
845,1915
846,1975
847,1993
848,1972
849,1908
850,1976
851,2003
852,2003
853,1941
854,1964
855,1955
856,1962
857,1978
858,1994
859,1976
860,1968
861,1918
862,1965
863,1984
864,1959
865,2007
866,1970
867,2006
868,1961
869,1948
870,1993
871,1962
872,1998
873,1953
874,1949
875,1941
876,2007
877,1963
878,2004
879,1961
880,1978
881,2005
882,1990
883,1992
884,1912
885,1967
886,1999
887,1959
888,1955
889,1970
890,1953
891,1949
892,1978
893,1963
894,1954
895,1979
896,1963
897,1936
898,1979
899,2009
900,1961
901,1971
902,1957
903,2003
904,2006
905,1967
906,1954
907,2006
908,1936
909,1983
910,2005
911,1960
912,1977
913,1925
914,1949
915,2009
916,1970
917,1949
918,1956
919,1991
920,1958
921,1994
922,1900
923,2005
924,1993
925,1980
926,1977
927,2003
928,1968
929,2001
930,1997
931,2007
932,1965
933,2006
934,2004
935,1960
936,1926
937,2003
938,2005
939,2006
940,1940
941,1976
942,1999
943,1977
944,1967
945,1958
946,1890
947,1959
948,2002
949,2002
950,1972
951,1950
952,1965
953,1972
954,1969
955,1975
956,1946
957,1980
958,1962
959,2003
960,1999
961,1958
962,1977
963,1976
964,2007
965,2002
966,2005
967,1940
968,1955
969,1910
970,1958
971,1949
972,2003
973,1979
974,2007
975,1910
976,2000
977,1923
978,2006
979,1954
980,1963
981,1961
982,1998
983,2007
984,2002
985,1977
986,1950
987,1910
988,2009
989,1976
990,2006
991,1997
992,1882
993,1964
994,2005
995,2006
996,1946
997,1961
998,1970
999,1922
1000,2006
1001,1952
1002,1920
1003,2006
1004,1976
1005,2005
1006,1977
1007,1970
1008,1970
1009,2004
1010,1926
1011,1948
1012,1965
1013,1923
1014,1910
1015,1948
1016,2001
1017,1996
1018,1984
1019,1991
1020,2005
1021,2005
1022,2006
1023,1930
1024,2005
1025,1976
1026,1972
1027,1960
1028,2007
1029,1941
1030,1972
1031,1916
1032,1920
1033,1993
1034,2002
1035,1938
1036,1957
1037,2007
1038,2001
1039,1970
1040,1970
1041,1957
1042,1966
1043,2005
1044,1990
1045,1981
1046,1955
1047,2005
1048,1994
1049,1960
