LotArea,2ndFlrSF
1300,668.0
1477,0.0
1491,0.0
1526,0.0
1533,273.0
1596,462.0
1680,552.3
1869,504.0
1890,273.0
1920,600.0
1936,0.0
1950,840.0
1953,504.0
1974,546.0
2001,546.0
2016,672.0
2117,772.0
2160,628.0
2217,546.0
2268,862.0
2280,648.6666666666666
2289,586.0
2308,605.5
2368,600.0
2448,862.0
2500,910.0
2522,739.0
2544,623.0
2572,720.0
2592,576.0
2628,862.0
2645,716.5
2651,709.0
2665,619.0
2887,0.0
3000,612.0
3010,0.0
3013,0.0
3072,0.0
3136,0.0
3180,600.0
3182,85.71428571428571
3196,0.0
3230,729.0
3316,0.0
3363,732.0
3378,682.0
3500,564.0
3600,684.0
3604,689.0
3635,0.0
3636,0.0
3675,0.0
3684,0.0
3696,0.0
3735,739.0
3842,0.0
3880,0.0
3922,0.0
3950,406.0
3951,612.0
3964,1230.0
3982,0.0
4017,625.0
4043,0.0
4045,0.0
4058,0.0
4060,0.0
4118,0.0
4130,0.0
4224,0.0
4230,0.0
4251,625.0
4270,0.0
4274,0.0
4280,0.0
4282,0.0
4388,0.0
4400,384.0
4403,0.0
4426,0.0
4435,0.0
4438,0.0
4456,716.0
4500,134.4
4571,720.0
4590,0.0
4608,0.0
4671,0.0
4712,456.0
4750,0.0
4800,0.0
4920,0.0
4923,0.0
4928,0.0
5000,375.2
5001,0.0
5062,900.0
5063,0.0
5100,833.0
5105,551.0
5119,0.0
5232,0.0
5250,1215.0
5271,0.0
5306,703.0
5310,634.0
5330,0.0
5350,0.0
5362,589.0
5381,0.0
5389,0.0
5395,0.0
5400,200.2
5436,358.0
5500,0.0
5520,929.0
5586,110.0
5587,0.0
5600,720.0
5604,0.0
5664,0.0
5684,0.0
5687,780.0
5700,539.0
5720,455.0
5784,0.0
5790,765.0
5814,0.0
5820,0.0
5825,0.0
5868,0.0
5890,0.0
5900,0.0
5925,184.0
6000,214.41176470588235
6040,0.0
6060,351.0
6120,297.75
6130,0.0
6155,611.0
6171,448.0
6173,0.0
6180,0.0
6204,795.0
6240,259.375
6270,1001.0
6292,300.0
6300,742.0
6305,0.0
6324,0.0
6342,240.0
6371,0.0
6380,0.0
6402,596.0
6420,0.0
6435,605.0
6442,0.0
6563,0.0
6600,248.5
6627,0.0
6629,672.0
6762,0.0
6768,0.0
6780,0.0
6792,0.0
6820,0.0
6853,0.0
6858,806.0
6882,582.0
6897,0.0
6900,0.0
6911,0.0
6930,0.0
6931,896.0
6951,0.0
6955,0.0
6960,0.0
6970,0.0
6979,0.0
6993,0.0
7000,243.0
7015,224.0
7018,280.0
7024,0.0
7032,0.0
7050,872.0
7052,0.0
7056,813.0
7060,0.0
7064,0.0
7082,980.0
7094,0.0
7100,0.0
7128,728.0
7134,0.0
7136,979.0
7150,0.0
7153,396.5
7162,0.0
7175,0.0
7180,0.0
7200,225.92
7207,0.0
7226,842.0
7227,0.0
7244,0.0
7252,0.0
7259,884.0
7264,596.0
7301,1427.0
7313,0.0
7314,0.0
7332,0.0
7340,0.0
7350,0.0
7388,0.0
7390,0.0
7399,975.0
7406,0.0
7407,0.0
7415,729.0
7420,0.0
7438,316.0
7446,0.0
7449,0.0
7472,754.0
7500,311.8888888888889
7535,0.0
7540,0.0
7558,741.0
7560,0.0
7577,0.0
7585,454.0
7588,901.0
7590,812.0
7596,1000.0
7599,0.0
7630,780.0
7642,514.0
7658,0.0
7677,0.0
7681,523.0
7685,804.0
7700,394.0
7711,0.0
7728,0.0
7740,622.0
7742,0.0
7750,652.0
7758,296.0
7763,0.0
7795,716.0
7800,203.5
7804,653.0
7819,0.0
7820,0.0
7837,772.0
7838,0.0
7844,728.0
7851,1100.0
7861,702.0
7862,0.0
7875,234.0
7879,0.0
7892,0.0
7910,0.0
7917,347.0
7920,371.0
7922,0.0
7930,0.0
7931,0.0
7937,0.0
7943,0.0
7945,0.0
7950,728.0
7990,0.0
8000,295.0
8004,1103.0
8012,0.0
8029,728.0
8049,0.0
8063,742.0
8064,252.0
8068,1257.0
8070,0.0
8072,0.0
8089,0.0
8100,531.5
8120,0.0
8121,711.0
8123,793.0
8125,456.875
8158,884.0
8160,378.0
8163,0.0
8172,236.5
8176,0.0
8190,0.0
8197,0.0
8198,0.0
8199,728.0
8200,1081.0
8212,0.0
8235,0.0
8244,880.0
8246,0.0
8248,282.0
8250,0.0
8263,0.0
8280,0.0
8281,0.0
8294,0.0
8314,0.0
8320,812.0
8335,0.0
8339,0.0
8366,842.0
8385,0.0
8393,0.0
8400,211.28571428571428
8402,0.0
8405,423.5
8410,526.0
8414,0.0
8430,0.0
8445,0.0
8450,142.33333333333334
8461,728.0
8462,785.0
8470,0.0
8471,0.0
8472,0.0
8475,0.0
8480,192.0
8487,0.0
8499,796.0
8500,297.0
8520,334.25
8521,0.0
8525,940.0
8529,0.0
8530,670.0
8532,0.0
8536,0.0
8544,0.0
8546,0.0
8556,0.0
8562,0.0
8593,0.0
8600,596.0
8633,738.0
8635,213.0
8640,425.75
8658,0.0
8688,0.0
8700,0.0
8712,106.33333333333333
8724,0.0
8730,698.0
8731,0.0
8737,720.0
8738,1286.0
8740,0.0
8741,689.0
8749,0.0
8750,665.0
8755,1038.0
8760,285.5
8765,0.0
8767,0.0
8769,0.0
8773,342.0
8775,0.0
8777,309.3333333333333
8780,0.0
8791,864.0
8795,1276.0
8800,87.0
8814,0.0
8816,0.0
8820,561.0
8834,762.0
8846,375.0
8849,0.0
8850,875.0
8854,0.0
8872,0.0
8877,0.0
8880,888.0
8885,0.0
8892,0.0
8899,0.0
8900,0.0
8910,0.0
8923,0.0
8924,844.0
8925,0.0
8926,0.0
8930,584.0
8935,829.0
8944,0.0
8960,0.0
8963,1540.0
8967,0.0
8973,0.0
8978,0.0
8990,0.0
8993,0.0
9000,421.64285714285717
9017,0.0
9018,728.0
9020,0.0
9022,0.0
9037,0.0
9042,923.5
9056,707.0
9060,280.0
9066,848.0
9069,0.0
9084,642.3333333333334
9098,0.0
9100,0.0
9101,0.0
9120,540.0
9125,670.0
9130,832.0
9135,0.0
9142,1020.0
9144,517.0
9150,0.0
9156,0.0
9158,0.0
9170,0.0
9179,908.0
9180,0.0
9187,0.0
9196,0.0
9200,386.6666666666667
9204,0.0
9206,755.0
9230,0.0
9236,0.0
9240,1208.0
9245,429.0
9246,0.0
9247,858.0
9248,0.0
9250,0.0
9262,0.0
9286,0.0
9291,878.0
9297,0.0
9300,0.0
9303,868.0
9313,864.0
9317,384.5
9320,0.0
9337,881.0
9340,0.0
9350,0.0
9353,0.0
9360,0.0
9364,689.0
9375,995.75
9382,0.0
9400,456.0
9405,0.0
9416,0.0
9430,1097.0
9439,336.0
9450,0.0
9452,985.0
9453,730.0
9464,0.0
9473,903.0
9477,0.0
9480,756.0
9490,620.0
9492,408.0
9500,425.0
9503,0.0
9505,1151.0
9520,0.0
9525,319.5
9531,914.0
9541,0.0
9548,888.0
9549,0.0
9550,756.0
9554,846.0
9560,0.0
9571,0.0
9572,1357.0
9587,0.0
9588,1092.0
9590,0.0
9591,665.0
9600,282.8333333333333
9612,0.0
9636,785.0
9638,748.0
9650,0.0
9672,0.0
9675,858.0
9717,0.0
9735,640.0
9738,272.0
9742,0.0
9750,197.8
9758,0.0
9760,822.0
9764,0.0
9765,790.0
9786,324.5
9790,0.0
9800,0.0
9803,902.0
9808,0.0
9819,0.0
9825,0.0
9828,878.0
9830,0.0
9842,805.5
9849,0.0
9855,0.0
9858,0.0
9873,0.0
9880,0.0
9900,932.75
9906,518.0
9920,295.3333333333333
9937,0.0
9938,887.0
9945,0.0
9947,0.0
9950,1306.0
9965,1388.0
9967,656.0
9986,0.0
9991,0.0
10000,174.0
10004,0.0
10005,866.0
10007,0.0
10010,0.0
10011,0.0
10012,0.0
10020,0.0
10029,896.0
10041,988.0
10083,0.0
10084,0.0
10106,547.0
10120,1124.0
10125,216.0
10134,299.0
10140,166.4
10141,833.0
10142,1128.0
10150,0.0
10152,0.0
10159,0.0
10171,0.0
10175,0.0
10182,0.0
10186,862.0
10192,698.0
10197,0.0
10200,0.0
10205,0.0
10206,0.0
10207,887.0
10208,1067.0
10215,0.0
10226,0.0
10237,350.5
10240,530.0
10246,0.0
10261,830.0
10264,0.0
10267,0.0
10289,0.0
10300,808.0
10304,780.0
10316,873.0
10320,713.0
10335,0.0
10355,0.0
10356,0.0
10357,0.0
10364,766.0
10380,1177.0
10382,491.5
10386,0.0
10395,0.0
10400,338.2
10402,0.0
10410,612.0
10420,0.0
10421,734.0
10434,0.0
10437,0.0
10440,779.0
10448,741.0
10452,0.0
10463,900.0
10475,0.0
10480,433.0
10482,0.0
10496,678.0
10500,177.66666666666666
10530,0.0
10542,1093.0
10552,0.0
10562,551.0
10570,1178.0
10574,871.0
10592,602.0
10593,0.0
10594,0.0
10603,0.0
10615,685.0
10624,0.0
10625,493.0
10628,0.0
10634,0.0
10635,0.0
10637,0.0
10650,0.0
10652,0.0
10655,0.0
10656,0.0
10659,0.0
10665,0.0
10667,834.0
10678,743.0
10680,0.0
10690,672.0
10708,0.0
10712,0.0
10721,0.0
10728,844.0
10762,784.5
10768,0.0
10769,902.0
10778,0.0
10780,0.0
10784,670.0
10791,0.0
10793,840.0
10800,530.5
10832,809.0
10839,678.0
10846,0.0
10852,712.0
10859,0.0
10880,0.0
10896,1440.0
10900,703.0
10918,804.0
10920,0.0
10921,0.0
10927,846.0
10930,510.0
10944,904.0
10970,0.0
10991,0.0
10994,0.0
10998,620.0
11000,644.0
11003,981.0
11029,571.0
11040,219.5
11049,0.0
11050,677.0
11065,850.0
11070,0.0
11075,910.0
11096,0.0
11100,0.0
11103,728.0
11120,0.0
11143,886.0
11146,0.0
11160,0.0
11170,1216.0
11175,0.0
11184,765.0
11194,482.0
11198,1370.0
11200,0.0
11207,709.0
11210,0.0
11214,930.0
11216,0.0
11218,790.0
11228,1017.0
11235,0.0
11241,0.0
11248,0.0
11249,0.0
11250,672.75
11275,987.5
11287,807.0
11302,0.0
11308,1054.0
11310,0.0
11316,1070.0
11317,828.0
11333,0.0
11340,522.0
11341,0.0
11344,650.0
11345,992.0
11361,0.0
11362,0.0
11367,898.0
11394,0.0
11400,0.0
11404,878.0
11409,568.0
11414,883.0
11423,0.0
11425,0.0
11426,720.0
11428,0.0
11435,725.0
11443,0.0
11457,0.0
11475,370.5
11478,0.0
11500,345.6666666666667
11512,0.0
11526,748.0
11553,0.0
11584,685.0
11600,389.6666666666667
11606,1040.0
11616,357.0
11625,0.0
11639,0.0
11643,1296.0
11645,430.0
11664,0.0
11670,0.0
11694,0.0
11700,864.25
11717,0.0
11751,0.0
11764,1106.0
11767,491.0
11777,0.0
11782,0.0
11787,1015.0
11796,1112.0
11838,0.0
11839,797.0
11841,0.0
11844,0.0
11846,0.0
11851,0.0
11880,0.0
11883,0.0
11885,573.0
11888,689.0
11900,0.0
11911,876.0
11923,0.0
11924,1142.0
11932,0.0
11952,808.0
11957,0.0
11988,405.5
11999,1140.0
12000,352.0
12003,1194.0
12011,838.0
12030,0.0
12046,912.0
12085,0.0
12090,608.6666666666666
12095,0.0
12099,1332.0
12108,0.0
12118,0.0
12122,0.0
12134,672.0
12137,0.0
12144,0.0
12150,745.0
12155,336.0
12160,0.0
12168,1254.0
12180,252.0
12182,0.0
12203,1336.0
12205,1111.0
12209,1157.0
12220,0.0
12224,1032.0
12227,1330.0
12243,0.0
12244,780.0
12256,1122.0
12257,1203.0
12274,0.0
12327,636.0
12328,0.0
12342,0.0
12354,512.0
12358,0.0
12376,1523.0
12378,0.0
12384,793.0
12393,1101.0
12394,886.0
12400,0.0
12416,0.0
12420,896.0
12435,829.0
12438,1312.0
12444,0.0
12456,0.0
12461,0.0
12464,0.0
12474,590.0
12493,0.0
12508,767.0
12513,457.0
12537,0.0
12546,0.0
12552,956.0
12589,742.0
12615,0.0
12640,0.0
12665,944.5
12677,0.0
12692,0.0
12702,0.0
12704,0.0
12735,0.0
12772,0.0
12798,1072.0
12800,0.0
12803,0.0
12822,631.0
12886,0.0
12898,0.0
12900,0.0
12919,0.0
12925,0.0
12936,660.0
12968,0.0
12984,0.0
13000,960.0
13005,1200.0
13006,1243.0
13031,807.0
13053,795.0
13072,0.0
13101,0.0
13125,498.75
13132,892.0
13159,846.0
13173,0.0
