LotArea,FullBath
1300,1.0
1477,1.0
1491,1.0
1526,1.0
1533,1.0
1596,1.0
1680,1.2
1869,1.0
1890,1.0
1920,1.0
1936,1.0
1950,2.0
1953,1.0
1974,1.0
2001,1.0
2016,2.0
2117,2.0
2160,2.0
2217,1.0
2268,2.0
2280,2.0
2289,2.0
2308,2.0
2368,1.0
2448,2.0
2500,1.0
2522,2.0
2544,2.0
2572,2.0
2592,1.0
2628,2.0
2645,2.0
2651,2.0
2665,1.5
2887,1.0
3000,2.0
3010,2.0
3013,2.0
3072,2.0
3136,2.0
3180,2.0
3182,2.0
3196,2.0
3230,2.0
3316,1.0
3363,2.0
3378,1.0
3500,1.0
3600,1.0
3604,2.0
3635,2.0
3636,1.0
3675,1.3333333333333333
3684,2.0
3696,1.0
3735,2.0
3842,2.0
3880,1.0
3922,1.0
3950,1.0
3951,2.0
3964,2.0
3982,2.0
4017,2.0
4043,2.0
4045,2.0
4058,1.0
4060,1.5
4118,1.0
4130,1.0
4224,1.0
4230,2.0
4251,2.0
4270,1.0
4274,1.0
4280,1.0
4282,2.0
4388,1.0
4400,1.0
4403,2.0
4426,1.0
4435,1.0
4438,1.0
4456,2.0
4500,1.8
4571,1.0
4590,2.0
4608,1.0
4671,2.0
4712,1.0
4750,2.0
4800,1.0
4920,2.0
4923,1.0
4928,2.0
5000,1.4
5001,2.0
5062,2.0
5063,2.0
5100,1.0
5105,2.0
5119,2.0
5232,1.0
5250,2.0
5271,1.0
5306,2.0
5310,1.0
5330,1.5
5350,1.0
5362,2.0
5381,2.0
5389,2.0
5395,2.0
5400,1.2
5436,1.0
5500,1.0
5520,1.0
5586,1.0
5587,2.0
5600,2.0
5604,1.0
5664,2.0
5684,1.0
5687,2.0
5700,1.0
5720,1.0
5784,1.0
5790,2.0
5814,1.0
5820,1.0
5825,1.0
5868,1.0
5890,1.0
5900,1.0
5925,1.0
6000,1.1176470588235294
6040,2.0
6060,1.0
6120,1.125
6130,1.0
6155,2.0
6171,2.0
6173,1.0
6180,1.0
6204,1.0
6240,1.25
6270,2.0
6292,1.5
6300,2.0
6305,1.0
6324,1.0
6342,1.0
6371,2.0
6380,1.0
6402,1.0
6420,1.0
6435,1.0
6442,2.0
6563,2.0
6600,1.25
6627,1.0
6629,2.0
6762,2.0
6768,1.0
6780,1.0
6792,2.0
6820,1.0
6853,2.0
6858,1.0
6882,1.0
6897,1.0
6900,1.0
6911,1.0
6930,1.0
6931,2.0
6951,1.0
6955,2.0
6960,1.0
6970,1.0
6979,0.0
6993,1.0
7000,1.25
7015,1.0
7018,1.5
7024,1.0
7032,1.0
7050,2.0
7052,2.0
7056,1.0
7060,2.0
7064,1.0
7082,2.0
7094,1.0
7100,1.0
7128,2.0
7134,1.0
7136,2.0
7150,1.0
7153,2.0
7162,1.0
7175,1.0
7180,1.0
7200,1.16
7207,1.0
7226,2.0
7227,1.0
7244,1.0
7252,1.0
7259,2.0
7264,2.0
7301,3.0
7313,2.0
7314,2.0
7332,1.0
7340,1.0
7350,1.0
7388,1.0
7390,1.0
7399,2.0
7406,2.0
7407,1.0
7415,2.0
7420,1.0
7438,1.0
7446,1.0
7449,1.0
7472,1.0
7500,1.4444444444444444
7535,1.0
7540,1.0
7558,1.0
7560,1.0
7577,2.0
7585,1.0
7588,1.0
7590,1.5
7596,2.0
7599,1.0
7630,2.0
7642,1.0
7658,2.0
7677,1.0
7681,1.0
7685,2.0
7700,1.0
7711,2.0
7728,1.0
7740,1.0
7742,1.0
7750,2.0
7758,1.0
7763,1.0
7795,2.0
7800,1.3333333333333333
7804,2.0
7819,1.0
7820,2.0
7837,2.0
7838,1.0
7844,1.0
7851,2.0
7861,2.0
7862,2.0
7875,1.6666666666666667
7879,1.0
7892,2.0
7910,2.0
7917,1.5
7920,1.0
7922,1.0
7930,1.0
7931,1.0
7937,1.0
7943,1.0
7945,1.0
7950,1.0
7990,1.0
8000,1.6666666666666667
8004,2.0
8012,2.0
8029,2.0
8049,2.0
8063,2.0
8064,1.0
8068,2.0
8070,1.0
8072,1.0
8089,2.0
8100,1.5
8120,1.0
8121,2.0
8123,2.0
8125,1.875
8158,2.0
8160,1.0
8163,1.0
8172,1.5
8176,1.0
8190,1.0
8197,1.0
8198,2.0
8199,2.0
8200,2.0
8212,1.0
8235,1.0
8244,2.0
8246,1.0
8248,1.0
8250,1.0
8263,1.0
8280,1.0
8281,1.0
8294,1.0
8314,1.0
8320,2.0
8335,1.0
8339,1.0
8366,2.0
8385,2.0
8393,2.0
8400,1.4285714285714286
8402,1.0
8405,1.5
8410,1.0
8414,1.0
8430,2.0
8445,1.0
8450,1.6666666666666667
8461,2.0
8462,2.0
8470,1.0
8471,1.0
8472,1.0
8475,1.0
8480,1.0
8487,2.0
8499,2.0
8500,1.5
8520,1.5
8521,1.0
8525,1.0
8529,2.0
8530,2.0
8532,1.0
8536,1.0
8544,1.75
8546,2.0
8556,2.0
8562,1.0
8593,1.0
8600,2.0
8633,2.0
8635,1.0
8640,2.0
8658,2.0
8688,2.0
8700,2.0
8712,1.0
8724,1.0
8730,1.0
8731,1.0
8737,1.0
8738,2.0
8740,1.0
8741,1.0
8749,2.0
8750,1.75
8755,2.0
8760,1.5
8765,1.0
8767,2.0
8769,1.0
8773,2.0
8775,1.0
8777,1.6666666666666667
8780,1.0
8791,2.0
8795,2.0
8800,1.25
8814,2.0
8816,1.0
8820,1.0
8834,2.0
8846,1.5
8849,2.0
8850,1.0
8854,1.0
8872,1.0
8877,1.0
8880,2.0
8885,1.0
8892,1.0
8899,2.0
