LotArea,GarageCars
1300,2.0
1477,1.0
1491,0.0
1526,1.0
1533,0.0
1596,1.0
1680,0.9
1869,1.0
1890,0.5
1920,2.0
1936,0.0
1950,2.0
1953,1.0
1974,1.0
2001,1.0
2016,2.0
2117,2.0
2160,2.0
2217,1.0
2268,2.0
2280,2.0
2289,2.0
2308,2.0
2368,2.0
2448,2.0
2500,1.0
2522,2.0
2544,2.0
2572,2.0
2592,1.0
2628,2.0
2645,2.0
2651,2.0
2665,1.0
2887,2.0
3000,2.0
3010,2.0
3013,2.0
3072,2.0
3136,2.0
3180,2.0
3182,2.0
3196,2.0
3230,2.0
3316,2.0
3363,2.0
3378,1.0
3500,1.0
3600,1.0
3604,2.0
3635,3.0
3636,0.0
3675,2.0
3684,3.0
3696,2.0
3735,2.0
3842,2.0
3880,0.0
3922,3.0
3950,1.0
3951,2.0
3964,2.0
3982,3.0
4017,2.0
4043,2.0
4045,3.0
4058,1.0
4060,1.0
4118,0.0
4130,0.0
4224,2.0
4230,2.0
4251,2.0
4270,0.0
4274,2.0
4280,1.0
4282,2.0
4388,0.0
4400,2.0
4403,2.0
4426,2.0
4435,2.0
4438,2.0
4456,0.0
4500,1.8
4571,3.0
4590,2.0
4608,1.0
4671,2.0
4712,1.0
4750,2.0
4800,2.0
4920,2.0
4923,2.0
4928,2.0
5000,1.2
5001,2.0
5062,2.0
5063,2.0
5100,1.0
5105,2.0
5119,2.0
5232,2.0
5250,0.0
5271,2.0
5306,2.0
5310,1.0
5330,1.0
5350,0.0
5362,2.0
5381,2.0
5389,2.0
5395,2.0
5400,1.0
5436,1.0
5500,1.0
5520,0.0
5586,0.0
5587,2.0
5600,0.0
5604,0.0
5664,2.0
5684,1.0
5687,0.0
5700,1.0
5720,1.0
5784,1.0
5790,1.0
5814,2.0
5820,1.0
5825,2.0
5868,1.0
5890,1.0
5900,0.0
5925,1.0
6000,1.1764705882352942
6040,0.0
6060,1.0
6120,1.25
6130,0.0
6155,2.0
6171,1.0
6173,1.0
6180,1.0
6204,1.0
6240,1.375
6270,3.0
6292,1.0
6300,0.0
6305,1.0
6324,1.0
6342,0.0
6371,2.0
6380,1.0
6402,1.0
6420,1.0
6435,1.0
6442,2.0
6563,2.0
6600,1.25
6627,1.0
6629,1.0
6762,2.0
6768,1.0
6780,0.0
6792,2.0
6820,2.0
6853,2.0
6858,1.0
6882,0.0
6897,1.0
6900,1.0
6911,2.0
6930,1.0
6931,2.0
6951,1.0
6955,2.0
6960,2.0
6970,2.0
6979,2.0
6993,1.0
7000,0.75
7015,1.0
7018,2.0
7024,2.0
7032,2.0
7050,2.0
7052,2.0
7056,2.0
7060,4.0
7064,2.0
7082,0.0
7094,1.0
7100,1.0
7128,1.0
7134,2.0
7136,2.0
7150,1.0
7153,2.0
7162,1.0
7175,1.0
7180,1.0
7200,1.52
7207,0.0
7226,2.0
7227,2.0
7244,2.0
7252,2.0
7259,1.0
7264,2.0
7301,2.0
7313,2.0
7314,2.0
7332,1.0
7340,1.0
7350,2.0
7388,2.0
7390,1.0
7399,2.0
7406,2.0
7407,2.0
7415,2.0
7420,1.5
7438,2.0
7446,0.0
7449,1.0
7472,2.0
7500,1.4444444444444444
7535,1.0
7540,2.0
7558,2.0
7560,1.0
7577,2.0
7585,1.0
7588,1.0
7590,1.5
7596,2.0
7599,2.0
7630,2.0
7642,1.0
7658,2.0
7677,1.0
7681,1.0
7685,2.0
7700,2.0
7711,0.0
7728,2.0
7740,2.0
7742,1.0
7750,2.0
7758,1.0
7763,2.0
7795,2.0
7800,1.1666666666666667
7804,2.0
7819,2.0
7820,2.0
7837,2.0
7838,1.0
7844,2.0
7851,2.0
7861,2.0
7862,2.0
7875,2.0
7879,0.0
7892,1.5
7910,1.0
7917,1.5
7920,0.0
7922,1.0
7930,2.0
7931,1.0
7937,2.0
7943,1.0
7945,1.0
7950,2.0
7990,1.0
8000,1.0
8004,2.0
8012,1.6666666666666667
8029,2.0
8049,2.0
8063,2.0
8064,2.0
8068,2.0
8070,0.0
8072,2.0
8089,2.0
8100,2.0
8120,2.0
8121,2.0
8123,2.0
8125,1.875
8158,2.0
8160,1.0
8163,1.0
8172,1.5
8176,1.0
8190,1.0
8197,2.0
8198,2.0
8199,2.0
8200,2.0
8212,1.0
8235,2.0
8244,2.0
8246,1.0
8248,0.5
8250,1.5
8263,1.0
8280,1.0
8281,1.0
8294,4.0
8314,1.0
8320,2.0
8335,0.0
8339,1.0
8366,2.0
8385,1.0
8393,2.0
8400,1.5
8402,0.0
8405,1.0
8410,0.0
8414,1.0
8430,0.0
8445,2.0
8450,1.6666666666666667
8461,2.0
8462,2.0
8470,0.0
8471,2.0
8472,2.0
8475,1.0
8480,1.5
8487,2.0
8499,2.0
8500,1.25
8520,1.75
8521,1.0
8525,0.0
8529,2.0
8530,2.0
8532,2.0
8536,2.0
8544,1.75
8546,2.0
8556,3.0
8562,1.0
8593,1.0
8600,1.0
8633,2.0
8635,1.0
8640,2.0
8658,2.0
8688,3.0
8700,2.0
8712,1.3333333333333333
8724,2.0
8730,1.0
8731,2.0
8737,2.0
8738,2.0
8740,2.0
8741,1.0
8749,2.0
8750,2.0
8755,2.0
8760,2.0
8765,1.0
8767,2.0
8769,3.0
8773,2.0
8775,1.0
8777,0.6666666666666666
8780,0.0
8791,2.0
8795,2.0
8800,1.25
8814,2.0
8816,2.0
8820,2.0
8834,3.0
8846,2.0
8849,2.0
8850,1.0
8854,1.0
8872,2.0
8877,1.5
8880,2.0
8885,2.0
8892,2.0
8899,2.0
8900,1.0
8910,2.0
8923,1.0
8924,2.0
8925,3.0
8926,1.0
8930,2.0
8935,2.0
