LotArea,GarageYrBlt
1300,1980.0
1477,1970.0
1491,
1526,1970.0
1533,
1596,1973.0
1680,1973.888888888889
1869,1987.0
1890,1973.0
1920,1971.0
1936,
1950,1980.0
1953,1973.0
1974,1973.0
2001,1970.0
2016,1970.0
2117,2000.0
2160,1999.0
2217,1970.0
2268,2003.0
2280,1984.3333333333333
2289,1978.0
2308,1975.0
2368,1970.0
2448,2003.0
2500,1915.0
2522,2004.0
2544,2005.0
2572,1999.0
2592,1976.0
2628,2003.0
2645,1999.0
2651,2000.0
2665,1976.5
2887,1996.0
3000,2009.0
3010,2005.0
3013,2005.0
3072,2004.0
3136,2003.0
3180,2005.0
3182,2005.0
3196,2003.0
3230,1999.0
3316,2005.0
3363,2004.0
3378,1947.0
3500,1948.0
3600,1930.0
3604,2007.0
3635,2007.0
3636,
3675,2005.0
3684,2007.0
3696,1987.0
3735,1999.0
3842,2004.0
3880,
3922,2006.5
3950,1926.0
3951,2009.0
3964,1973.0
3982,2006.0
4017,2006.0
4043,1977.0
4045,2006.0
4058,1998.0
4060,1998.0
4118,
4130,
4224,1976.0
4230,2006.0
4251,2006.0
4270,
4274,2007.0
4280,1990.0
4282,2004.0
4388,
4400,1990.0
4403,2009.0
4426,2004.0
4435,2003.2
4438,2004.0
4456,
4500,1992.2
4571,1916.0
4590,2006.0
4608,1945.0
4671,1988.0
4712,1946.0
4750,2006.0
4800,1957.0
4920,2001.0
4923,2001.0
4928,1976.5
5000,1938.75
5001,2008.0
5062,1984.0
5063,2008.0
5100,1925.0
5105,2004.0
5119,1999.0
5232,1965.0
5250,
5271,1986.0
5306,1987.0
5310,1950.0
5330,2000.0
5350,
5362,1985.0
5381,2005.0
5389,1995.0
5395,1993.0
5400,1947.2
5436,1922.0
5500,1974.0
5520,
5586,
5587,2008.0
5600,
5604,
5664,2000.0
5684,1932.0
5687,
5700,1982.0
5720,1941.0
5784,1938.0
5790,1915.0
5814,1984.0
5820,1955.0
5825,1953.0
5868,1956.0
5890,2002.0
5900,
5925,1995.0
6000,1959.625
6040,
6060,1979.0
6120,1948.7142857142858
6130,
6155,1920.0
6171,1925.0
6173,1967.0
6180,1926.0
6204,1997.0
6240,1960.7142857142858
6270,1949.0
6292,1926.5
6300,
6305,1938.0
6324,1920.0
6342,
6371,2010.0
6380,1922.0
6402,1920.0
6420,1952.0
6435,1939.0
6442,2006.0
6563,1985.0
6600,1978.5
6627,1955.0
6629,1930.0
6762,2006.3333333333333
6768,1962.0
6780,
6792,2005.0
6820,1985.0
6853,2001.0
6858,1920.0
6882,
6897,1962.0
6900,1966.0
6911,1965.0
6930,1958.0
6931,2003.0
6951,1984.0
6955,2005.0
6960,1989.0
6970,1961.0
6979,1980.0
6993,1961.0
7000,1954.0
7015,1950.0
7018,1979.0
7024,2005.0
7032,1979.0
7050,2001.0
7052,2005.0
7056,1963.0
7060,1997.0
7064,1986.0
7082,
7094,1966.0
7100,1957.0
7128,1941.0
7134,1962.0
7136,1946.0
7150,1967.0
7153,1991.5
7162,1966.0
7175,1984.0
7180,1989.0
7200,1962.84
7207,
7226,2003.0
7227,1962.0
7244,1987.0
7252,1983.0
7259,1945.0
7264,1978.0
7301,2003.0
7313,2005.0
7314,2007.0
7332,1959.0
7340,1979.0
7350,1988.0
7388,1974.0
7390,1955.0
7399,1997.0
7406,2006.0
7407,1957.0
7415,2004.0
7420,1958.0
7438,1986.0
7446,
7449,1930.0
7472,1972.0
7500,1981.5
7535,1958.0
7540,1978.0
7558,1929.0
7560,1958.5
7577,2005.0
7585,1954.0
7588,1920.0
7590,1964.0
7596,1952.0
7599,1987.0
7630,1999.0
7642,1925.0
7658,2005.0
7677,1953.0
7681,1921.0
7685,1993.0
7700,1973.0
7711,
7728,1962.0
7740,1966.0
7742,1966.0
7750,2001.6666666666667
7758,1957.0
7763,1980.0
7795,2004.0
7800,1958.5
7804,1981.0
7819,1976.0
7820,2007.0
7837,1993.0
7838,1967.0
7844,1978.0
7851,2002.0
7861,2002.0
7862,2009.0
7875,1986.3333333333333
7879,
7892,1986.0
7910,1960.0
7917,1993.0
7920,
7922,1953.0
7930,1969.0
7931,1961.5
7937,1984.0
7943,1961.0
7945,1959.0
7950,1977.0
7990,1981.0
8000,1971.5
8004,2009.0
8012,1988.3333333333333
8029,2005.0
8049,1990.0
8063,2000.0
8064,2003.0
8068,2002.0
8070,
8072,2000.0
8089,2007.0
8100,1929.0
8120,1994.0
8121,2000.0
8123,2000.0
8125,2002.142857142857
8158,2003.0
8160,1940.0
8163,1959.0
8172,1957.5
8176,1958.0
8190,1956.0
8197,1977.0
8198,2004.0
8199,2005.0
8200,2003.0
8212,1938.0
8235,1963.0
8244,2004.0
8246,1968.0
8248,1955.0
8250,1966.0
8263,1920.0
8280,1950.0
8281,1965.0
8294,1974.0
8314,1982.0
8320,2004.0
8335,
8339,1959.0
8366,2004.0
8385,1977.0
8393,2005.0
8400,1962.857142857143
8402,
8405,1961.5
8410,
8414,1963.0
8430,
8445,1988.0
8450,1991.8333333333333
8461,2005.0
8462,1994.0
8470,
8471,1978.0
8472,1963.0
8475,1956.0
8480,1971.5
8487,2004.0
8499,2007.0
8500,1961.6666666666667
8520,1964.0
8521,1974.0
8525,
8529,2001.0
8530,1995.0
8532,1954.0
8536,2007.0
8544,1962.75
8546,2003.0
8556,2006.0
8562,1957.0
8593,1964.0
8600,1937.0
8633,2005.0
8635,1948.0
8640,2008.75
8658,1965.0
8688,2005.0
8700,1963.0
8712,1961.3333333333333
8724,1968.0
8730,2003.0
8731,1972.0
8737,1950.0
8738,1999.0
8740,1996.0
8741,1949.0
8749,2002.0
8750,1990.25
8755,1999.0
8760,1982.5
8765,1936.0
8767,2005.0
8769,2008.0
8773,2000.5
8775,1996.0
8777,2002.0
8780,
8791,2003.0
8795,2000.0
8800,1968.0
8814,2005.5
8816,1967.0
8820,1963.0
8834,2004.0
8846,2001.5
8849,2005.0
8850,1916.0
8854,1916.0
8872,1992.0
8877,1954.5
8880,1994.0
8885,1983.0
8892,1963.5
8899,2007.0
8900,1966.0
8910,1954.0
8923,1953.0
8924,1998.0
8925,2007.0
8926,1956.0
8930,1978.0
8935,2002.0
8944,1967.0
8960,1927.0
8963,1994.0
8967,1920.0
8973,1998.0
8978,1968.0
8990,2006.0
8993,2007.0
9000,1972.25
9017,1999.0
9018,2007.0
9020,1965.0
9022,1924.0
9037,2006.0
9042,1969.5
9056,2004.0
9060,1948.0
9066,1999.0
9069,1992.0
9084,1959.6666666666667
9098,
9100,1986.625
9101,1978.0
9120,1952.3333333333333
9125,1992.0
9130,1966.0
9135,2002.5
9142,1910.0
9144,1940.0
9150,1962.0
9156,1968.0
9158,2007.0
9170,1965.0
9179,1999.0
9180,1983.0
9187,1996.0
9196,2003.0
9200,1980.0
9204,1962.0
9206,1985.0
9230,1977.0
9236,1997.0
9240,2001.0
9245,2001.0
9246,1973.0
9247,1962.0
9248,1992.0
9250,1954.0
9262,2008.0
9286,1978.0
9291,1993.0
9297,1976.0
9300,1960.0
9303,1996.0
9313,2004.0
9317,1999.5
9320,
9337,1997.0
9340,1941.0
9350,1964.5
9353,1972.0
9360,1972.0
9364,1969.0
9375,2001.5
9382,1999.0
9400,
9405,
9416,2007.0
9430,1999.0
9439,1957.0
9450,1999.0
9452,1997.0
9453,1993.0
