LotArea,HalfBath
1300,1.0
1477,0.0
1491,0.0
1526,0.0
1533,0.5
1596,0.0
1680,1.0
1869,1.0
1890,0.5
1920,1.0
1936,0.0
1950,1.0
1953,1.0
1974,1.0
2001,1.0
2016,1.0
2117,1.0
2160,1.0
2217,1.0
2268,0.0
2280,1.0
2289,1.0
2308,1.0
2368,1.0
2448,1.0
2500,1.0
2522,0.0
2544,1.0
2572,1.0
2592,1.0
2628,1.0
2645,1.0
2651,1.0
2665,0.5
2887,0.0
3000,1.0
3010,0.0
3013,0.0
3072,0.0
3136,0.0
3180,1.0
3182,0.14285714285714285
3196,0.0
3230,1.0
3316,1.0
3363,0.0
3378,1.0
3500,1.0
3600,0.0
3604,0.0
3635,0.0
3636,0.0
3675,0.0
3684,0.0
3696,1.0
3735,1.0
3842,0.0
3880,0.0
3922,1.0
3950,0.0
3951,1.0
3964,1.0
3982,0.0
4017,1.0
4043,0.0
4045,0.0
4058,0.0
4060,0.0
4118,0.0
4130,0.0
4224,0.5
4230,0.0
4251,1.0
4270,0.0
4274,1.0
4280,0.0
4282,0.0
4388,0.0
4400,0.0
4403,1.0
4426,0.0
4435,0.0
4438,0.0
4456,0.0
4500,0.0
4571,0.0
4590,0.0
4608,0.0
4671,0.0
4712,1.0
4750,0.0
4800,0.0
4920,0.0
4923,1.0
4928,0.0
5000,0.0
5001,0.0
5062,0.0
5063,0.0
5100,0.0
5105,1.0
5119,0.0
5232,0.0
5250,0.0
5271,1.0
5306,0.0
5310,0.0
5330,0.0
5350,0.0
5362,0.0
5381,0.0
5389,0.0
5395,0.0
5400,0.0
5436,0.0
5500,0.0
5520,0.0
5586,0.0
5587,0.0
5600,0.0
5604,0.0
5664,0.0
5684,0.0
5687,0.0
5700,0.0
5720,1.0
5784,0.0
5790,0.0
5814,0.0
5820,0.0
5825,0.0
5868,0.0
5890,0.0
5900,0.0
5925,0.0
6000,0.058823529411764705
6040,0.0
6060,0.0
6120,0.25
6130,0.0
6155,0.0
6171,1.0
6173,0.0
6180,0.0
6204,0.0
6240,0.0
6270,0.0
6292,0.0
6300,0.0
6305,0.0
6324,0.0
6342,0.0
6371,0.0
6380,0.0
6402,0.0
6420,0.0
6435,0.0
6442,0.0
6563,0.0
6600,0.0
6627,0.0
6629,0.0
6762,0.0
6768,0.0
6780,0.0
6792,0.0
6820,1.0
6853,0.0
6858,1.0
6882,1.0
6897,1.0
6900,0.0
6911,0.0
6930,0.0
6931,1.0
6951,0.0
6955,0.0
6960,0.0
6970,1.0
6979,0.0
6993,0.0
7000,0.0
7015,0.0
7018,0.5
7024,1.0
7032,0.0
7050,1.0
7052,0.0
7056,1.0
7060,0.0
7064,0.0
7082,0.0
7094,0.0
7100,0.0
7128,0.0
7134,0.0
7136,0.0
7150,0.0
7153,0.5
7162,0.0
7175,0.0
7180,0.0
7200,0.2
7207,0.0
7226,1.0
7227,0.0
7244,0.0
7252,0.0
7259,1.0
7264,1.0
7301,0.0
7313,0.0
7314,0.0
7332,0.0
7340,0.0
7350,0.0
7388,0.0
7390,0.0
7399,1.0
7406,0.0
7407,0.0
7415,1.0
7420,0.0
7438,0.0
7446,0.0
7449,0.0
7472,1.0
7500,0.4444444444444444
7535,0.0
7540,0.0
7558,1.0
7560,0.0
7577,0.0
7585,0.0
7588,1.0
7590,0.5
7596,0.0
7599,0.0
7630,0.0
7642,1.0
7658,0.0
7677,0.0
7681,1.0
7685,1.0
7700,0.5
7711,0.0
7728,0.0
7740,0.0
7742,0.0
7750,1.0
7758,0.5
7763,0.0
7795,1.0
7800,0.0
7804,0.0
7819,0.0
7820,0.0
7837,1.0
7838,0.0
7844,1.0
7851,1.0
7861,1.0
7862,0.0
7875,0.3333333333333333
7879,0.0
7892,0.0
7910,0.0
7917,1.0
7920,0.0
