LotArea,MSSubClass
1300,160.0
1477,180.0
1491,180.0
1526,180.0
1533,170.0
1596,180.0
1680,160.0
1869,160.0
1890,170.0
1920,160.0
1936,180.0
1950,160.0
1953,160.0
1974,160.0
2001,160.0
2016,160.0
2117,160.0
2160,160.0
2217,160.0
2268,160.0
2280,160.0
2289,160.0
2308,160.0
2368,160.0
2448,160.0
2500,70.0
2522,160.0
2544,160.0
2572,160.0
2592,160.0
2628,160.0
2645,160.0
2651,160.0
2665,160.0
2887,120.0
3000,160.0
3010,120.0
3013,120.0
3072,120.0
3136,120.0
3180,160.0
3182,111.42857142857143
3196,120.0
3230,160.0
3316,120.0
3363,160.0
3378,60.0
3500,50.0
3600,70.0
3604,160.0
3635,120.0
3636,30.0
3675,180.0
3684,120.0
3696,120.0
3735,160.0
3842,120.0
3880,30.0
3922,120.0
3950,50.0
3951,160.0
3964,160.0
3982,120.0
4017,160.0
4043,120.0
4045,120.0
4058,120.0
4060,75.0
4118,30.0
4130,30.0
4224,120.0
4230,120.0
4251,160.0
4270,30.0
4274,120.0
4280,30.0
4282,120.0
4388,45.0
4400,50.0
4403,20.0
4426,120.0
4435,120.0
4438,120.0
4456,190.0
4500,106.0
4571,70.0
4590,120.0
4608,30.0
4671,120.0
4712,50.0
4750,120.0
4800,30.0
4920,120.0
4923,120.0
4928,120.0
5000,43.0
5001,120.0
5062,160.0
5063,120.0
5100,70.0
5105,160.0
5119,120.0
5232,30.0
5250,70.0
5271,120.0
5306,160.0
5310,50.0
5330,75.0
5350,30.0
5362,50.0
5381,120.0
5389,120.0
5395,120.0
5400,34.0
5436,50.0
5500,47.5
5520,75.0
5586,50.0
5587,120.0
5600,190.0
5604,30.0
5664,120.0
5684,30.0
5687,190.0
5700,50.0
5720,50.0
5784,30.0
5790,50.0
5814,120.0
5820,20.0
5825,30.0
5868,20.0
5890,30.0
5900,30.0
5925,40.0
6000,47.35294117647059
6040,90.0
6060,50.0
6120,44.375
6130,45.0
6155,70.0
6171,50.0
6173,20.0
6180,30.0
6204,75.0
6240,56.25
6270,90.0
6292,40.0
6300,75.0
6305,30.0
6324,30.0
6342,50.0
6371,120.0
6380,45.0
6402,70.0
6420,20.0
6435,50.0
6442,120.0
6563,120.0
6600,32.5
6627,20.0
6629,70.0
6762,20.0
6768,20.0
6780,190.0
6792,120.0
6820,120.0
6853,20.0
6858,70.0
6882,70.0
6897,20.0
6900,30.0
6911,30.0
6930,80.0
6931,60.0
6951,20.0
6955,120.0
6960,20.0
6970,20.0
6979,90.0
6993,20.0
7000,70.0
7015,50.0
7018,90.0
7024,20.0
7032,90.0
7050,60.0
7052,120.0
7056,60.0
7060,90.0
7064,20.0
7082,190.0
7094,20.0
7100,20.0
7128,75.0
7134,80.0
7136,90.0
7150,20.0
7153,40.0
7162,20.0
7175,120.0
7180,20.0
7200,50.0
7207,20.0
7226,60.0
7227,45.0
7244,85.0
7252,85.0
7259,70.0
7264,50.0
7301,85.0
7313,120.0
7314,20.0
7332,20.0
7340,20.0
7350,20.0
7388,20.0
7390,20.0
7399,60.0
7406,20.0
7407,20.0
7415,60.0
7420,105.0
7438,50.0
7446,30.0
7449,45.0
7472,60.0
7500,37.77777777777778
7535,20.0
7540,85.0
7558,50.0
7560,20.0
7577,120.0
7585,50.0
7588,70.0
7590,60.0
7596,90.0
7599,20.0
7630,190.0
7642,50.0
7658,120.0
7677,20.0
7681,50.0
7685,60.0
7700,40.0
7711,90.0
7728,90.0
7740,70.0
7742,20.0
7750,73.33333333333333
7758,35.0
7763,20.0
7795,60.0
7800,48.333333333333336
7804,50.0
7819,80.0
7820,120.0
7837,60.0
7838,85.0
7844,60.0
7851,60.0
7861,60.0
7862,20.0
7875,33.333333333333336
7879,30.0
7892,120.0
7910,80.0
7917,40.0
7920,50.0
7922,20.0
7930,20.0
7931,20.0
7937,80.0
7943,20.0
7945,20.0
7950,60.0
7990,20.0
8000,56.666666666666664
8004,60.0
8012,120.0
8029,60.0
8049,20.0
8063,60.0
8064,50.0
8068,60.0
8070,20.0
8072,20.0
8089,20.0
8100,52.5
8120,20.0
8121,60.0
8123,60.0
8125,45.0
8158,60.0
8160,50.0
8163,80.0
8172,35.0
8176,20.0
8190,20.0
8197,20.0
8198,120.0
8199,60.0
8200,60.0
8212,30.0
8235,20.0
8244,60.0
8246,20.0
8248,40.0
8250,20.0
8263,30.0
8280,20.0
8281,20.0
8294,20.0
8314,20.0
8320,60.0
8335,20.0
8339,20.0
8366,60.0
8385,80.0
8393,90.0
8400,44.285714285714285
8402,20.0
8405,50.0
8410,50.0
8414,20.0
8430,20.0
8445,85.0
8450,26.666666666666668
8461,60.0
8462,60.0
8470,50.0
8471,80.0
8472,90.0
8475,20.0
8480,35.0
8487,20.0
8499,60.0
8500,40.0
8520,40.0
8521,20.0
8525,70.0
8529,20.0
8530,80.0
8532,20.0
8536,20.0
8544,72.5
8546,20.0
8556,20.0
8562,20.0
8593,20.0
8600,50.0
8633,60.0
8635,50.0
8640,40.0
8658,20.0
8688,20.0
8700,20.0
8712,30.0
8724,20.0
8730,70.0
8731,30.0
8737,50.0
8738,60.0
8740,85.0
8741,50.0
8749,20.0
8750,50.0
8755,60.0
8760,40.0
8765,30.0
8767,20.0
8769,120.0
8773,40.0
8775,20.0
8777,46.666666666666664
8780,20.0
8791,60.0
8795,60.0
8800,43.75
8814,20.0
8816,50.0
8820,50.0
8834,60.0
8846,72.5
8849,120.0
8850,75.0
8854,30.0
8872,20.0
8877,20.0
8880,60.0
8885,20.0
8892,20.0
8899,20.0
8900,20.0
8910,20.0
8923,20.0
8924,60.0
8925,20.0
8926,20.0
8930,90.0
8935,60.0
8944,90.0
8960,30.0
8963,60.0
8967,30.0
8973,20.0
8978,20.0
8990,20.0
8993,20.0
9000,44.642857142857146
9017,20.0
9018,60.0
9020,80.0
9022,30.0
9037,20.0
9042,65.0
9056,60.0
9060,35.0
9066,60.0
9069,85.0
9084,60.0
9098,30.0
9100,31.25
9101,85.0
9120,43.333333333333336
9125,80.0
9130,60.0
9135,20.0
9142,190.0
9144,50.0
9150,80.0
9156,20.0
9158,20.0
9170,20.0
9179,60.0
9180,85.0
9187,20.0
9196,20.0
9200,33.333333333333336
9204,20.0
9206,60.0
9230,20.0
9236,20.0
9240,60.0
9245,40.0
9246,90.0
9247,60.0
9248,20.0
9250,20.0
9262,20.0
9286,20.0
9291,60.0
9297,90.0
9300,20.0
9303,60.0
9313,60.0
9317,40.0
9320,20.0
9337,60.0
9340,30.0
9350,80.0
9353,20.0
9360,20.0
9364,60.0
9375,60.0
9382,20.0
9400,90.0
9405,20.0
9416,20.0
9430,60.0
9439,50.0
9450,20.0
9452,60.0
9453,60.0
9464,20.0
9473,60.0
9477,20.0
9480,70.0
9490,50.0
9492,50.0
9500,40.0
9503,20.0
9505,60.0
9520,20.0
9525,35.0
9531,60.0
9541,20.0
9548,60.0
9549,120.0
9550,70.0
9554,60.0
9560,20.0
9571,20.0
9572,60.0
9587,80.0
9588,60.0
9590,80.0
9591,40.0
9600,45.416666666666664
9612,20.0
9636,60.0
9638,50.0
9650,20.0
9672,20.0
9675,60.0
9717,20.0
9735,80.0
9738,50.0
9742,20.0
9750,40.0
9758,20.0
9760,60.0
9764,20.0
9765,60.0
9786,40.0
9790,20.0
9800,20.0
9803,60.0
9808,20.0
9819,20.0
9825,90.0
