LotArea,OverallCond
1300,6.0
1477,4.0
1491,6.0
1526,8.0
1533,6.5
1596,5.0
1680,5.5
1869,6.0
1890,6.0
1920,5.0
1936,6.0
1950,6.0
1953,5.0
1974,5.0
2001,5.0
2016,5.0
2117,5.0
2160,5.0
2217,4.0
2268,5.0
2280,5.333333333333333
2289,6.0
2308,5.5
2368,6.0
2448,5.0
2500,8.0
2522,5.0
2544,5.0
2572,5.0
2592,3.0
2628,5.0
2645,5.0
2651,5.0
2665,6.0
2887,5.0
3000,5.0
3010,5.0
3013,5.0
3072,5.0
3136,5.0
3180,5.0
3182,5.0
3196,5.0
3230,5.0
3316,5.0
3363,5.0
3378,8.0
3500,7.0
3600,7.0
3604,5.0
3635,5.0
3636,4.0
3675,5.0
3684,5.0
3696,5.0
3735,5.0
3842,5.0
3880,9.0
3922,5.0
3950,8.0
3951,5.0
3964,4.0
3982,5.0
4017,5.0
4043,5.5
4045,5.0
4058,5.0
4060,6.5
4118,4.0
4130,6.0
4224,6.0
4230,5.0
4251,5.0
4270,6.0
4274,5.0
4280,6.0
4282,5.0
4388,7.0
4400,8.0
4403,5.0
4426,5.0
4435,5.0
4438,5.0
4456,5.0
4500,5.0
4571,5.0
4590,5.0
4608,6.0
4671,5.0
4712,7.0
4750,5.0
4800,7.0
4920,5.0
4923,5.0
4928,5.5
5000,5.2
5001,5.0
5062,5.0
5063,5.0
5100,7.0
5105,5.0
5119,5.0
5232,5.0
5250,5.0
5271,5.0
5306,7.0
5310,8.0
5330,6.0
5350,2.0
5362,6.0
5381,5.0
5389,5.0
5395,5.0
5400,6.4
5436,8.0
5500,6.5
5520,6.0
5586,7.0
5587,5.0
5600,5.0
5604,6.0
5664,5.0
5684,8.0
5687,6.0
5700,7.0
5720,6.0
5784,8.0
5790,6.0
5814,5.0
5820,8.0
5825,5.0
5868,7.0
5890,8.0
5900,7.0
5925,6.5
6000,6.117647058823529
6040,5.0
6060,5.0
6120,6.375
6130,6.0
6155,8.0
6171,6.0
6173,6.0
6180,5.0
6204,5.0
6240,5.5
6270,6.0
6292,6.0
6300,6.0
6305,7.0
6324,6.0
6342,8.0
6371,5.0
6380,6.0
6402,5.0
6420,7.0
6435,5.0
6442,5.0
6563,5.0
6600,6.5
6627,6.0
6629,6.0
6762,5.0
6768,8.0
6780,8.0
6792,5.0
6820,5.0
6853,5.0
6858,4.0
6882,7.0
6897,8.0
6900,6.0
6911,5.0
6930,4.0
6931,5.0
6951,5.0
6955,5.0
6960,6.0
6970,5.0
6979,5.0
6993,7.0
7000,7.0
7015,4.0
7018,5.0
7024,5.0
7032,5.0
7050,5.0
7052,5.0
7056,5.0
7060,5.0
7064,6.0
7082,8.0
7094,5.0
7100,7.0
7128,5.0
7134,5.0
7136,6.0
7150,5.0
7153,5.0
7162,7.0
7175,5.0
7180,7.0
7200,6.2
7207,7.0
7226,5.0
7227,6.0
7244,7.0
7252,5.0
7259,8.0
7264,7.0
7301,5.0
7313,5.0
7314,5.0
7332,6.0
7340,6.0
7350,7.0
7388,6.0
7390,7.0
7399,5.0
7406,5.0
7407,7.0
7415,5.0
7420,5.5
7438,8.0
7446,5.0
7449,7.0
7472,9.0
7500,5.333333333333333
7535,7.0
7540,6.0
7558,6.0
7560,5.5
7577,5.0
7585,3.0
7588,6.0
7590,5.0
7596,5.0
7599,6.0
7630,9.0
7642,8.0
7658,5.0
7677,5.0
7681,6.0
7685,5.0
7700,5.0
7711,3.0
7728,6.0
7740,7.0
7742,7.0
7750,5.0
7758,5.5
7763,7.0
7795,5.0
7800,6.333333333333333
7804,3.0
7819,5.0
7820,5.0
7837,7.0
7838,5.0
7844,7.0
7851,5.0
7861,5.0
7862,5.0
7875,5.333333333333333
7879,5.0
7892,5.0
7910,5.0
7917,6.0
7920,7.0
7922,7.0
7930,8.0
7931,5.5
7937,6.0
7943,5.0
7945,6.0
7950,6.0
7990,6.0
8000,5.0
8004,5.0
8012,5.0
8029,5.0
8049,5.0
8063,5.0
8064,7.0
8068,5.0
8070,5.0
8072,5.0
8089,6.0
8100,5.5
8120,7.0
8121,5.0
8123,5.0
8125,5.0
8158,5.0
8160,6.0
8163,6.0
8172,6.5
8176,6.0
8190,6.0
8197,5.0
8198,5.0
8199,5.0
8200,5.0
8212,3.0
8235,7.0
8244,5.0
8246,8.0
8248,5.0
8250,6.0
8263,5.0
8280,5.0
8281,5.0
8294,5.0
8314,7.0
8320,5.0
8335,5.0
8339,7.0
8366,5.0
8385,8.0
8393,5.0
8400,5.5
8402,5.0
8405,5.5
8410,3.0
8414,8.0
8430,5.0
8445,7.0
8450,5.666666666666667
8461,5.0
8462,5.0
8470,2.0
8471,7.0
8472,5.0
8475,7.0
8480,5.5
8487,5.0
8499,5.0
8500,4.75
8520,6.25
8521,5.0
8525,6.0
8529,5.0
8530,5.0
8532,6.0
8536,5.0
8544,4.5
8546,5.0
8556,5.0
8562,6.0
8593,6.0
8600,6.0
8633,5.0
8635,5.0
8640,5.0
8658,5.0
8688,5.0
8700,6.0
8712,6.333333333333333
8724,5.0
8730,7.0
8731,5.0
8737,7.0
8738,5.0
8740,6.0
8741,4.0
8749,5.0
8750,5.25
8755,5.0
8760,5.5
8765,6.0
8767,5.0
8769,5.0
8773,5.0
8775,5.0
8777,6.333333333333333
8780,5.0
8791,5.0
8795,5.0
8800,6.75
8814,5.0
8816,6.5
8820,6.0
8834,5.0
8846,5.0
8849,5.0
8850,6.0
8854,6.0
8872,8.0
8877,5.5
8880,5.0
8885,5.0
8892,6.0
8899,5.0
8900,4.0
8910,6.0
8923,7.0
8924,5.0
8925,5.0
8926,3.0
8930,5.0
8935,5.0
8944,5.0
8960,6.0
8963,9.0
8967,2.0
8973,7.0
8978,5.0
8990,5.0
8993,5.0
9000,5.071428571428571
9017,5.0
9018,5.0
9020,6.0
9022,8.0
9037,5.0
9042,7.0
9056,5.0
9060,5.5
9066,5.0
9069,6.0
9084,5.333333333333333
9098,7.0
9100,5.375
9101,6.0
9120,6.0
9125,5.0
9130,8.0
9135,5.0
9142,8.0
9144,5.0
9150,5.0
9156,7.0
9158,5.0
9170,7.0
9179,5.0
9180,7.0
9187,5.0
9196,5.0
9200,5.666666666666667
9204,5.0
9206,5.0
9230,8.0
9236,5.0
9240,5.0
9245,5.0
9246,5.0
9247,6.0
9248,6.0
9250,7.0
9262,5.0
9286,7.0
9291,5.0
9297,5.0
9300,5.0
9303,5.0
9313,5.0
9317,5.0
9320,5.0
9337,5.0
9340,6.0
9350,7.5
9353,5.0
9360,7.0
9364,7.0
9375,5.0
9382,5.0
9400,5.0
9405,9.0
9416,5.0
9430,5.0
9439,5.0
9450,5.0
9452,5.0
9453,7.0
9464,7.0
9473,5.0
9477,5.0
9480,7.0
9490,7.0
9492,5.0
9500,5.5
9503,5.0
9505,5.0
9520,5.0
9525,5.0
9531,5.0
9541,5.0
9548,6.0
9549,5.0
9550,5.0
9554,5.0
9560,7.0
9571,4.5
9572,5.0
9587,5.0
9588,5.0
9590,5.0
9591,5.0
9600,6.25
9612,5.0
9636,5.0
9638,7.0
9650,5.0
9672,5.0
9675,5.0
9717,6.0
9735,5.0
9738,7.0
9742,5.0
9750,6.0
9758,5.0
9760,7.0
9764,7.0
9765,8.0
9786,5.5
9790,5.0
9800,7.0
9803,5.0
9808,5.0
9819,5.0
9825,5.0
9828,5.0
9830,7.0
9842,5.5
9849,6.0
9855,5.0
9858,6.0
9873,5.0
9880,6.0
9900,5.25
9906,4.0
9920,5.333333333333333
9937,6.5
9938,5.0
9945,5.0
9947,5.0
9950,5.0
9965,5.0
9967,5.0
9986,5.0
9991,4.0
10000,5.6
10004,6.0
10005,5.0
10007,7.0
10010,5.0
10011,6.0
10012,5.0
10020,1.0
10029,5.0
10041,5.0
10083,5.0
10084,5.0
10106,7.0
10120,4.5
10125,5.5
10134,6.0
10140,5.4
10141,5.0
10142,5.0
10150,5.0
10152,5.0
10159,5.0
10171,5.0
10175,5.0
10182,5.0
10186,5.0
10192,6.0
10197,5.0
10200,6.666666666666667
10205,5.0
10206,4.0
10207,6.0
10208,5.0
10215,5.0
10226,5.0
10237,5.0
10240,5.5
10246,9.0
10261,5.0
10264,5.0
10267,7.0
10289,7.0
10300,6.0
10304,7.0
10316,5.0
10320,7.0
10335,5.5
10355,5.0
10356,6.0
10357,5.0
10364,5.0
10380,5.0
10382,5.5
10386,5.0
10395,6.0
10400,5.2
10402,5.0
10410,5.5
10420,5.0
10421,5.0
10434,5.0
10437,6.0
10440,7.0
10448,6.0
10452,5.0
10463,5.0
10475,5.0
