LotArea,OverallQual
1300,6.0
1477,4.0
1491,4.0
1526,4.0
1533,4.5
1596,4.0
1680,5.8
1869,6.0
1890,5.0
1920,5.0
1936,4.0
1950,6.0
1953,6.0
1974,4.0
2001,4.0
2016,5.0
2117,6.0
2160,7.0
2217,4.0
2268,7.0
2280,6.333333333333333
2289,6.0
2308,6.0
2368,5.0
2448,7.0
2500,7.0
2522,6.666666666666667
2544,7.0
2572,7.0
2592,5.0
2628,7.0
2645,8.0
2651,7.0
2665,5.0
2887,6.0
3000,6.0
3010,7.0
3013,7.0
3072,7.0
3136,7.0
3180,7.0
3182,7.142857142857143
3196,7.5
3230,6.0
3316,8.0
3363,7.0
3378,7.0
3500,5.0
3600,6.0
3604,7.0
3635,7.0
3636,4.0
3675,5.666666666666667
3684,7.0
3696,8.0
3735,7.0
3842,8.0
3880,5.0
3922,7.0
3950,6.0
3951,6.0
3964,6.0
3982,8.0
4017,7.0
4043,6.0
4045,7.0
4058,7.0
4060,5.5
4118,4.0
4130,3.0
4224,5.0
4230,7.0
4251,7.0
4270,3.0
4274,7.0
4280,5.0
4282,7.0
4388,5.0
4400,6.0
4403,7.0
4426,6.0
4435,6.0
4438,6.0
4456,4.0
4500,5.8
4571,5.0
4590,8.0
4608,4.0
4671,8.0
4712,4.0
4750,8.0
4800,4.0
4920,8.0
4923,8.0
4928,6.0
5000,4.4
5001,7.0
5062,7.0
5063,7.0
5100,8.0
5105,7.0
5119,9.0
5232,5.0
5250,8.0
5271,7.0
5306,7.0
5310,6.0
5330,6.0
5350,3.0
5362,5.0
5381,6.0
5389,8.0
5395,8.0
5400,5.0
5436,4.0
5500,4.5
5520,6.0
5586,6.0
5587,8.0
5600,4.0
5604,5.0
5664,8.0
5684,6.0
5687,5.0
5700,7.0
5720,5.0
5784,5.0
5790,3.0
5814,8.0
5820,3.0
5825,4.0
5868,5.0
5890,6.0
5900,4.0
5925,3.5
6000,5.0
6040,4.0
6060,4.0
6120,5.0
6130,5.0
6155,6.0
6171,6.0
6173,5.0
6180,6.0
6204,4.0
6240,5.375
6270,5.0
6292,6.5
6300,6.0
6305,5.0
6324,4.0
6342,5.0
6371,7.0
6380,5.0
6402,5.0
6420,5.0
6435,6.0
6442,8.0
6563,8.0
6600,5.0
6627,3.0
6629,6.0
6762,7.0
6768,6.0
6780,6.0
6792,7.0
6820,8.0
6853,8.0
6858,6.0
6882,6.0
6897,5.0
6900,5.0
6911,5.0
6930,5.0
6931,7.0
6951,5.0
6955,7.0
6960,4.0
6970,4.0
6979,6.0
6993,5.0
7000,5.25
7015,5.0
7018,5.0
7024,4.5
7032,5.0
7050,7.0
7052,7.0
7056,6.0
7060,7.0
7064,5.0
7082,5.0
7094,5.0
7100,5.0
7128,7.0
7134,5.0
7136,6.0
7150,5.0
7153,6.0
7162,5.0
7175,6.0
7180,5.0
7200,5.36
7207,5.0
7226,7.0
7227,6.0
7244,5.0
7252,5.0
7259,6.0
7264,7.0
7301,7.0
7313,9.0
7314,7.0
7332,6.0
7340,4.0
7350,5.0
7388,5.0
7390,5.0
7399,7.0
7406,7.0
7407,6.0
7415,6.0
7420,5.0
7438,5.0
7446,4.0
7449,7.0
7472,7.0
7500,6.111111111111111
7535,5.0
7540,6.0
7558,6.0
7560,5.0
7577,6.0
7585,5.0
7588,7.0
7590,5.5
7596,5.0
7599,4.0
7630,5.0
7642,7.0
7658,9.0
7677,5.0
7681,5.0
7685,6.0
7700,5.5
7711,4.0
7728,5.0
7740,4.0
7742,5.0
7750,7.333333333333333
7758,6.0
7763,5.0
7795,7.0
7800,5.0
7804,4.0
7819,6.0
7820,9.0
7837,6.0
7838,5.0
7844,6.0
7851,6.0
7861,6.0
7862,6.0
7875,6.333333333333333
7879,4.0
7892,6.0
7910,5.0
7917,6.0
7920,6.0
7922,5.0
7930,6.0
7931,5.0
7937,6.0
7943,4.0
7945,5.0
7950,6.0
7990,5.0
8000,5.666666666666667
8004,8.0
8012,6.0
8029,6.0
8049,7.0
8063,6.0
8064,5.0
8068,6.0
8070,4.0
8072,5.0
8089,8.0
8100,5.0
8120,4.0
8121,6.0
8123,6.0
8125,6.375
8158,7.0
8160,5.0
8163,5.0
8172,4.5
8176,5.0
8190,4.0
8197,6.0
8198,7.0
8199,7.0
8200,7.0
8212,3.0
8235,5.0
8244,7.0
8246,5.0
8248,4.0
8250,5.5
8263,6.0
8280,6.0
8281,5.0
8294,4.0
8314,5.0
8320,7.0
8335,5.0
8339,5.0
8366,6.0
8385,5.0
8393,5.0
8400,5.5
8402,5.0
8405,4.5
8410,5.0
8414,6.0
8430,5.0
8445,5.0
8450,6.333333333333333
8461,6.0
8462,6.0
8470,3.0
8471,6.0
8472,5.0
8475,4.0
8480,5.0
8487,7.0
8499,6.0
8500,5.25
8520,5.5
8521,5.0
8525,5.0
8529,7.0
8530,7.0
8532,5.0
8536,5.0
8544,3.5
8546,4.0
8556,7.0
8562,5.0
8593,4.0
8600,6.0
8633,6.0
8635,5.0
8640,7.25
8658,6.0
8688,7.0
8700,5.0
8712,4.666666666666667
8724,5.0
8730,6.0
8731,5.0
8737,6.0
8738,7.0
8740,5.0
8741,6.0
8749,7.0
8750,6.25
8755,7.0
8760,6.5
8765,4.0
8767,7.0
8769,9.0
8773,6.5
8775,5.0
8777,4.666666666666667
8780,5.0
8791,6.0
8795,7.0
8800,5.25
8814,7.0
8816,5.5
8820,5.0
8834,9.0
8846,5.5
8849,9.0
8850,7.0
8854,6.0
8872,5.0
8877,4.0
8880,7.0
8885,5.0
8892,5.0
8899,7.0
8900,4.0
8910,6.0
8923,5.0
8924,7.0
8925,8.0
8926,4.0
8930,6.0
8935,7.0
8944,5.0
8960,5.0
8963,8.0
8967,5.0
8973,5.0
8978,5.0
8990,7.0
8993,7.0
9000,5.928571428571429
9017,7.0
9018,7.0
9020,6.0
9022,5.0
9037,8.0
9042,6.5
9056,8.0
9060,5.5
9066,8.0
9069,6.0
9084,5.333333333333333
9098,4.0
9100,5.875
9101,5.0
9120,6.333333333333333
9125,7.0
9130,6.0
9135,6.5
9142,6.0
9144,5.0
9150,6.0
9156,6.0
9158,8.0
9170,5.0
9179,7.0
9180,5.0
9187,7.5
9196,7.0
9200,6.333333333333333
9204,5.0
9206,6.0
9230,5.0
9236,6.0
9240,8.0
9245,6.0
9246,5.0
9247,6.0
9248,6.0
9250,5.0
9262,8.0
9286,5.0
9291,6.0
9297,5.0
9300,5.0
9303,6.0
9313,7.0
9317,6.5
9320,4.0
9337,6.0
9340,4.0
9350,5.5
9353,4.0
9360,6.0
9364,6.0
9375,7.5
9382,7.0
9400,6.0
9405,5.0
9416,7.0
9430,8.0
9439,5.0
9450,4.0
9452,8.0
9453,7.0
9464,6.0
9473,8.0
9477,5.0
9480,5.0
9490,6.0
9492,5.0
9500,6.0
9503,5.0
9505,7.0
9520,8.0
9525,5.5
9531,6.0
9541,7.0
9548,7.0
9549,8.0
9550,7.0
9554,8.0
9560,5.0
9571,5.0
9572,8.0
9587,7.0
9588,8.0
9590,7.0
9591,8.0
9600,5.791666666666667
9612,8.0
9636,6.0
9638,6.0
9650,6.0
9672,6.0
9675,7.0
9717,5.0
9735,5.0
9738,5.0
9742,8.0
9750,6.2
9758,5.0
9760,6.0
9764,5.0
9765,6.0
9786,4.5
9790,6.0
9800,5.0
9803,7.0
9808,7.0
9819,5.5
9825,5.0
9828,8.0
9830,5.0
9842,4.5
9849,7.0
9855,6.0
9858,5.0
9873,4.0
9880,6.0
9900,6.5
9906,4.0
9920,5.666666666666667
9937,5.0
9938,7.0
9945,5.0
9947,7.0
9950,7.0
9965,7.5
9967,7.0
9986,8.0
9991,4.0
10000,6.4
10004,6.0
10005,7.0
10007,5.0
10010,5.0
10011,5.0
10012,4.0
10020,1.0
10029,6.0
10041,8.0
10083,7.0
10084,7.5
10106,5.0
10120,7.5
10125,5.5
10134,5.0
10140,6.2
10141,7.0
10142,7.0
10150,5.0
10152,5.0
10159,9.0
10171,7.0
10175,6.0
10182,8.0
10186,7.0
10192,7.0
10197,6.0
10200,5.333333333333333
10205,5.0
10206,5.5
10207,7.0
10208,7.0
10215,4.0
10226,8.0
10237,6.0
10240,7.0
10246,4.0
10261,6.0
10264,7.0
10267,6.0
10289,5.0
10300,7.0
10304,5.0
10316,7.0
10320,6.0
10335,6.0
10355,5.0
10356,5.0
10357,7.0
10364,6.0
10380,7.0
10382,6.5
10386,8.0
10395,6.0
10400,6.8
10402,7.0
10410,4.0
10420,6.0
10421,7.0
10434,4.0
10437,8.0
10440,5.333333333333333
10448,6.0
