Neighborhood,2ndFlrSF
Blmngtn,0.0
Blueste,754.0
BrDale,559.3125
BrkSide,279.44827586206895
ClearCr,463.7142857142857
CollgCr,315.87333333333333
Crawfor,519.3529411764706
Edwards,246.98
Gilbert,698.1392405063291
IDOTRR,277.2162162162162
MeadowV,334.70588235294116
Mitchel,107.44897959183673
NAmes,134.91555555555556
NPkVill,333.22222222222223
NWAmes,411.28767123287673
NoRidge,984.0243902439024
NridgHt,336.1818181818182
OldTown,488.1504424778761
SWISU,645.08
Sawyer,101.78378378378379
SawyerW,398.6271186440678
Somerst,459.80232558139534
StoneBr,330.76
Timber,285.6842105263158
Veenker,128.36363636363637
