Neighborhood,FullBath
Blmngtn,1.8823529411764706
Blueste,1.5
BrDale,1.1875
BrkSide,1.103448275862069
ClearCr,1.6071428571428572
CollgCr,1.7533333333333334
Crawfor,1.5098039215686274
Edwards,1.36
Gilbert,1.9746835443037976
IDOTRR,1.054054054054054
MeadowV,1.1176470588235294
Mitchel,1.4489795918367347
NAmes,1.2133333333333334
NPkVill,2.0
NWAmes,1.8767123287671232
NoRidge,2.097560975609756
NridgHt,2.038961038961039
OldTown,1.336283185840708
SWISU,1.64
Sawyer,1.2027027027027026
SawyerW,1.7457627118644068
Somerst,1.9883720930232558
StoneBr,1.92
Timber,1.894736842105263
Veenker,1.3636363636363635
