Neighborhood,GarageCars
Blmngtn,2.3529411764705883
Blueste,2.0
BrDale,1.125
BrkSide,1.1724137931034482
ClearCr,1.75
CollgCr,2.006666666666667
Crawfor,1.6274509803921569
Edwards,1.18
Gilbert,2.0632911392405062
IDOTRR,1.0
MeadowV,0.8823529411764706
Mitchel,1.7959183673469388
NAmes,1.5155555555555555
NPkVill,2.0
NWAmes,2.0136986301369864
NoRidge,2.6341463414634148
NridgHt,2.6623376623376624
OldTown,1.4336283185840708
SWISU,1.0
Sawyer,1.4594594594594594
SawyerW,1.9322033898305084
Somerst,2.2674418604651163
StoneBr,2.4
Timber,2.3684210526315788
Veenker,2.090909090909091
