Neighborhood,GarageYrBlt
Blmngtn,2005.2941176470588
Blueste,1980.0
BrDale,1973.9333333333334
BrkSide,1950.2916666666667
ClearCr,1968.5185185185185
CollgCr,1998.6891891891892
Crawfor,1951.6470588235295
Edwards,1967.7820512820513
Gilbert,1998.6835443037974
IDOTRR,1950.8620689655172
MeadowV,1973.3333333333333
Mitchel,1982.7045454545455
NAmes,1964.1187214611873
NPkVill,1976.5555555555557
NWAmes,1975.9178082191781
NoRidge,1995.4878048780488
NridgHt,2005.8181818181818
OldTown,1951.5940594059407
SWISU,1947.95
Sawyer,1970.3521126760563
SawyerW,1989.0172413793102
Somerst,2005.0581395348838
StoneBr,1998.56
Timber,1993.4473684210527
Veenker,1982.3636363636363
