Neighborhood,GrLivArea
Blmngtn,1427.9411764705883
Blueste,1392.5
BrDale,1143.1875
BrkSide,1203.0689655172414
ClearCr,1788.107142857143
CollgCr,1480.5
Crawfor,1791.6078431372548
Edwards,1340.04
Gilbert,1641.3164556962026
IDOTRR,1142.2972972972973
MeadowV,1058.9411764705883
Mitchel,1294.204081632653
NAmes,1310.3111111111111
NPkVill,1253.0
NWAmes,1727.7808219178082
NoRidge,2508.8536585365855
NridgHt,1915.948051948052
OldTown,1479.725663716814
SWISU,1801.24
Sawyer,1215.1351351351352
SawyerW,1595.0169491525423
Somerst,1596.6511627906978
StoneBr,1879.08
Timber,1749.3684210526317
Veenker,1539.6363636363637
