Neighborhood,Id
Blmngtn,773.9411764705883
Blueste,778.5
BrDale,719.1875
BrkSide,734.7241379310345
ClearCr,604.9285714285714
CollgCr,726.84
Crawfor,801.0784313725491
Edwards,762.93
Gilbert,749.1518987341772
IDOTRR,597.5405405405405
MeadowV,733.0
Mitchel,759.1020408163265
NAmes,737.9955555555556
NPkVill,781.4444444444445
NWAmes,822.4520547945206
NoRidge,815.2682926829268
NridgHt,609.7142857142857
OldTown,694.1946902654868
SWISU,841.24
Sawyer,715.8513513513514
SawyerW,665.1525423728814
Somerst,755.7441860465116
StoneBr,669.52
Timber,787.0263157894736
Veenker,618.9090909090909
