Neighborhood,LotArea
Blmngtn,3398.176470588235
Blueste,1625.0
BrDale,1801.0
BrkSide,7360.413793103448
ClearCr,30875.75
CollgCr,9619.146666666667
Crawfor,11809.686274509804
Edwards,10218.65
Gilbert,11379.151898734177
IDOTRR,8109.1621621621625
MeadowV,2324.0
Mitchel,11624.285714285714
NAmes,10139.915555555555
NPkVill,3267.4444444444443
NWAmes,11833.630136986301
NoRidge,14218.90243902439
NridgHt,10887.948051948051
OldTown,8207.061946902655
SWISU,8127.56
Sawyer,10459.283783783783
SawyerW,9923.796610169491
Somerst,7840.872093023256
StoneBr,10671.92
Timber,23664.236842105263
Veenker,15606.0
