Neighborhood,MSSubClass
Blmngtn,114.11764705882354
Blueste,160.0
BrDale,160.0
BrkSide,49.741379310344826
ClearCr,52.5
CollgCr,43.3
Crawfor,58.23529411764706
Edwards,56.8
Gilbert,58.22784810126582
IDOTRR,53.648648648648646
MeadowV,163.52941176470588
Mitchel,56.63265306122449
NAmes,38.77777777777778
NPkVill,142.22222222222223
NWAmes,44.58904109589041
NoRidge,53.65853658536585
NridgHt,62.077922077922075
OldTown,66.23893805309734
SWISU,72.2
Sawyer,40.608108108108105
SawyerW,58.220338983050844
Somerst,74.18604651162791
StoneBr,83.2
Timber,39.473684210526315
Veenker,61.81818181818182
