Neighborhood,OverallCond
Blmngtn,5.0
Blueste,6.0
BrDale,5.4375
BrkSide,6.137931034482759
ClearCr,5.678571428571429
CollgCr,5.24
Crawfor,6.588235294117647
Edwards,5.44
Gilbert,5.1265822784810124
IDOTRR,5.54054054054054
MeadowV,5.529411764705882
Mitchel,5.36734693877551
NAmes,5.791111111111111
NPkVill,5.555555555555555
NWAmes,5.945205479452055
NoRidge,5.219512195121951
NridgHt,5.0
OldTown,6.353982300884955
SWISU,5.92
Sawyer,5.8108108108108105
SawyerW,5.1525423728813555
Somerst,5.034883720930233
StoneBr,5.0
Timber,5.131578947368421
Veenker,6.2727272727272725
