Neighborhood,OverallQual
Blmngtn,7.176470588235294
Blueste,6.0
BrDale,5.6875
BrkSide,5.051724137931035
ClearCr,5.892857142857143
CollgCr,6.64
Crawfor,6.2745098039215685
Edwards,5.08
Gilbert,6.556962025316456
IDOTRR,4.756756756756757
MeadowV,4.470588235294118
Mitchel,5.591836734693878
NAmes,5.36
NPkVill,6.0
NWAmes,6.328767123287672
NoRidge,7.926829268292683
NridgHt,8.25974025974026
OldTown,5.389380530973451
SWISU,5.44
Sawyer,5.027027027027027
SawyerW,6.322033898305085
Somerst,7.337209302325581
StoneBr,8.16
Timber,7.157894736842105
Veenker,6.7272727272727275
