Neighborhood,YearBuilt
Blmngtn,2005.235294117647
Blueste,1980.0
BrDale,1971.4375
BrkSide,1931.4310344827586
ClearCr,1966.5714285714287
CollgCr,1997.8866666666668
Crawfor,1941.549019607843
Edwards,1955.97
Gilbert,1998.253164556962
IDOTRR,1927.945945945946
MeadowV,1972.5882352941176
Mitchel,1981.7551020408164
NAmes,1959.9955555555555
NPkVill,1976.4444444444443
NWAmes,1975.6301369863013
NoRidge,1995.439024390244
NridgHt,2005.6753246753246
OldTown,1922.8849557522124
SWISU,1925.24
Sawyer,1963.6756756756756
SawyerW,1988.5593220338983
Somerst,2004.9883720930231
StoneBr,1998.48
Timber,1992.842105263158
Veenker,1982.3636363636363
