YearBuilt,1stFlrSF
1872,938.0
1875,780.0
1880,1315.5
1882,916.0
1885,1146.5
1890,1382.0
1892,1448.0
1893,1521.0
1898,1075.0
1900,1100.4
1904,958.0
1905,1221.0
1906,756.0
1908,1121.5
1910,840.5294117647059
1911,1024.0
1912,939.6666666666666
1913,694.0
1914,922.1428571428571
1915,864.5
1916,1056.5
1917,1134.0
1918,1106.4285714285713
1919,1252.0
1920,893.9333333333333
1921,894.1666666666666
1922,1011.0
1923,996.7142857142857
1924,898.4285714285714
1925,933.5625
1926,916.5555555555555
1927,838.6666666666666
1928,944.5714285714286
1929,880.5
1930,839.7777777777778
1931,951.1666666666666
1932,1165.75
1934,1201.6666666666667
1935,1056.0
1936,925.3333333333334
1937,891.6
1938,864.75
1939,915.75
1940,912.7222222222222
1941,834.6
1942,820.5
1945,997.1666666666666
1946,875.4285714285714
1947,785.2
1948,1084.5
1949,920.3333333333334
1950,1086.7
1951,1239.1666666666667
1952,1001.2
1953,1262.0833333333333
1954,1119.6666666666667
1955,1263.875
1956,1153.142857142857
1957,1345.65
1958,1206.4166666666667
1959,1249.6538461538462
1960,1359.7058823529412
1961,1199.7142857142858
1962,1150.4736842105262
1963,1202.0
1964,1279.0666666666666
1965,1190.0833333333333
1966,1096.2777777777778
1967,1195.5625
1968,1270.6818181818182
1969,1105.857142857143
1970,1050.5416666666667
1971,906.8181818181819
1972,886.1739130434783
1973,1037.0
1974,1187.3
1975,1116.25
1976,1167.7575757575758
1977,1267.0625
1978,1110.75
1979,1248.111111111111
1980,1001.7
1981,1787.0
1982,835.1666666666666
1983,1090.5
1984,1146.4444444444443
1985,1270.4
1986,1396.2
1987,1133.6666666666667
1988,1403.7272727272727
1989,1352.3333333333333
1990,1395.25
1991,1056.6
1992,1293.3076923076924
1993,1114.8235294117646
1994,1276.8947368421052
1995,1284.2777777777778
1996,1240.9333333333334
1997,1046.4285714285713
1998,1153.6
1999,1063.4
2000,1084.9583333333333
2001,1319.45
2002,1256.9130434782608
2003,1180.6666666666667
2004,1185.5
2005,1242.859375
2006,1371.2835820895523
2007,1461.7142857142858
2008,1801.5652173913043
2009,1265.0
2010,1856.0
