YearBuilt,2ndFlrSF
1872,1215.0
1875,240.0
1880,1207.75
1882,826.0
1885,522.0
1890,769.5
1892,1256.0
1893,1254.0
1898,1063.0
1900,651.1
1904,581.0
1905,691.0
1906,713.0
1908,683.5
1910,583.4705882352941
1911,940.0
1912,834.6666666666666
1913,0.0
1914,649.1428571428571
1915,652.1
1916,603.75
1917,924.0
1918,600.4285714285714
1919,677.3333333333334
1920,404.1666666666667
1921,490.3333333333333
1922,138.25
1923,374.42857142857144
1924,272.2857142857143
1925,414.5625
1926,246.22222222222223
1927,0.0
1928,459.57142857142856
1929,233.25
1930,166.77777777777777
1931,400.5
1932,980.0
1934,688.3333333333334
1935,489.1666666666667
1936,383.77777777777777
1937,473.6
1938,139.25
1939,495.625
1940,362.1666666666667
1941,385.53333333333336
1942,748.5
1945,420.6666666666667
1946,502.85714285714283
1947,369.6
1948,348.2857142857143
1949,247.58333333333334
1950,120.8
1951,0.0
1952,295.0
1953,81.91666666666667
1954,101.375
1955,32.5625
1956,0.0
1957,34.2
1958,108.25
1959,18.0
1960,68.76470588235294
1961,0.0
1962,128.57894736842104
1963,50.8125
1964,166.26666666666668
1965,116.66666666666667
1966,277.0
1967,127.875
1968,264.40909090909093
1969,406.07142857142856
1970,142.25
1971,260.6363636363636
1972,254.91304347826087
1973,434.09090909090907
1974,401.3
1975,92.625
1976,322.1515151515151
1977,233.46875
1978,335.625
1979,221.88888888888889
1980,397.5
1981,0.0
1982,0.0
1983,159.0
1984,180.88888888888889
1985,151.0
1986,406.8
1987,234.33333333333334
1988,362.72727272727275
1989,696.0
1990,545.3333333333334
1991,600.2
1992,587.2307692307693
1993,682.0
1994,583.6842105263158
1995,648.3333333333334
1996,614.2
1997,694.0
1998,640.36
1999,656.52
2000,652.75
2001,420.35
2002,527.0
2003,500.3333333333333
2004,391.462962962963
2005,374.828125
2006,304.13432835820896
2007,259.734693877551
2008,341.5652173913044
2009,337.22222222222223
2010,0.0
