YearBuilt,FullBath
1872,2.0
1875,1.0
1880,1.75
1882,1.0
1885,1.5
1890,1.0
1892,2.0
1893,3.0
1898,2.0
1900,1.7
1904,2.0
1905,2.0
1906,1.0
1908,2.0
1910,1.2352941176470589
1911,1.0
1912,1.3333333333333333
1913,1.0
1914,1.2857142857142858
1915,1.3
1916,1.5
1917,1.0
1918,1.5714285714285714
1919,1.6666666666666667
1920,1.1666666666666667
1921,1.5
1922,1.0
1923,1.0
1924,1.2857142857142858
1925,1.375
1926,1.2222222222222223
1927,1.3333333333333333
1928,1.4285714285714286
1929,1.0
1930,1.2222222222222223
1931,1.1666666666666667
1932,1.5
1934,1.3333333333333333
1935,1.5
1936,1.1111111111111112
1937,1.2
1938,1.0
1939,1.125
1940,1.2222222222222223
1941,1.2
1942,1.0
1945,1.3333333333333333
1946,1.4285714285714286
1947,1.2
1948,1.3571428571428572
1949,1.3333333333333333
1950,1.2
1951,1.1666666666666667
1952,1.4
1953,1.1666666666666667
1954,1.1666666666666667
1955,1.1875
1956,1.0
1957,1.2
1958,1.1666666666666667
1959,1.1538461538461537
1960,1.2352941176470589
1961,1.0714285714285714
1962,1.105263157894737
1963,1.1875
1964,1.3333333333333333
1965,1.2916666666666667
1966,1.2222222222222223
1967,1.5
1968,1.5
1969,1.2857142857142858
1970,1.2916666666666667
1971,1.2727272727272727
1972,1.173913043478261
1973,1.3636363636363635
1974,1.7
1975,1.5
1976,1.696969696969697
1977,1.71875
1978,1.6875
1979,1.4444444444444444
1980,1.5
1981,1.6
1982,1.0
1983,1.0
1984,1.6666666666666667
1985,1.6
1986,1.6
1987,2.3333333333333335
1988,2.090909090909091
1989,2.0
1990,2.0
1991,1.8
1992,2.0
1993,1.8823529411764706
1994,1.7894736842105263
1995,1.8888888888888888
1996,1.8
1997,2.0
1998,1.96
1999,2.0
2000,2.0
2001,1.95
2002,2.0
2003,1.8888888888888888
2004,1.8703703703703705
2005,1.9375
2006,1.9701492537313432
2007,2.0
2008,2.0434782608695654
2009,2.0
2010,1.0
