YearBuilt,GarageCars
1872,0.0
1875,0.0
1880,2.25
1882,2.0
1885,1.5
1890,2.0
1892,2.0
1893,2.0
1898,2.0
1900,1.4
1904,2.0
1905,2.0
1906,1.0
1908,2.0
1910,1.0588235294117647
1911,0.0
1912,0.3333333333333333
1913,1.0
1914,0.5714285714285714
1915,1.5
1916,1.375
1917,2.0
1918,1.7142857142857142
1919,1.0
1920,1.1666666666666667
1921,1.5
1922,0.75
1923,1.4285714285714286
1924,0.8571428571428571
1925,1.3125
1926,1.0
1927,1.3333333333333333
1928,1.7142857142857142
1929,1.75
1930,0.8888888888888888
1931,1.0
1932,1.75
1934,1.6666666666666667
1935,1.5
1936,1.2222222222222223
1937,1.4
1938,1.0
1939,1.25
1940,0.8333333333333334
1941,1.1333333333333333
1942,1.0
1945,0.8333333333333334
1946,0.8571428571428571
1947,0.8
1948,1.3571428571428572
1949,1.5
1950,1.4
1951,1.8333333333333333
1952,1.8
1953,1.5833333333333333
1954,1.3333333333333333
1955,1.3125
1956,1.1428571428571428
1957,1.35
1958,1.3333333333333333
1959,1.3461538461538463
1960,1.5294117647058822
1961,1.6428571428571428
1962,1.4736842105263157
1963,1.875
1964,1.7333333333333334
1965,1.5
1966,1.6111111111111112
1967,1.5625
1968,1.5
1969,1.9285714285714286
1970,1.5
1971,1.4090909090909092
1972,1.434782608695652
1973,1.5454545454545454
1974,1.8
1975,1.5
1976,1.878787878787879
1977,1.78125
1978,1.8125
1979,1.8888888888888888
1980,1.8
1981,2.2
1982,1.6666666666666667
1983,2.0
1984,1.7777777777777777
1985,1.6
1986,2.0
1987,1.3333333333333333
1988,2.1818181818181817
1989,2.0
1990,2.0833333333333335
1991,1.8
1992,2.0
1993,2.235294117647059
1994,2.0526315789473686
1995,2.2777777777777777
1996,2.2
1997,2.2142857142857144
1998,2.08
1999,2.16
2000,2.1666666666666665
2001,2.15
2002,2.217391304347826
2003,2.2
2004,2.1481481481481484
2005,2.265625
2006,2.4925373134328357
2007,2.510204081632653
2008,2.739130434782609
2009,2.3333333333333335
2010,3.0
