YearBuilt,GarageYrBlt
1872,
1875,
1880,1955.0
1882,1925.0
1885,1962.5
1890,1979.5
1892,1989.0
1893,1988.0
1898,1910.0
1900,1954.5
1904,1983.0
1905,2003.0
1906,1906.0
1908,1947.0
1910,1948.3333333333333
1911,
1912,1997.0
1913,1990.0
1914,1922.0
1915,1957.6666666666667
1916,1923.857142857143
1917,1950.0
1918,1948.4285714285713
1919,1954.5
1920,1949.04
1921,1953.1666666666667
1922,1936.2
1923,1929.3333333333333
1924,1940.4
1925,1941.3333333333333
1926,1936.375
1927,1925.0
1928,1949.857142857143
1929,1956.25
1930,1952.0
1931,1944.4
1932,1952.25
1934,1952.6666666666667
1935,1961.5
1936,1949.5
1937,1969.8
1938,1946.25
1939,1944.0
1940,1946.857142857143
1941,1952.3846153846155
1942,1942.0
1945,1949.2
1946,1946.2
1947,1948.3333333333333
1948,1954.2857142857142
1949,1964.0
1950,1955.6
1951,1966.1666666666667
1952,1962.4
1953,1954.75
1954,1959.8260869565217
1955,1958.642857142857
1956,1959.3076923076924
1957,1958.8
1958,1962.3478260869565
1959,1966.3333333333333
1960,1961.0588235294117
1961,1964.3076923076924
1962,1965.3157894736842
1963,1967.8125
1964,1966.8
1965,1968.608695652174
1966,1967.3333333333333
1967,1967.25
1968,1968.0
1969,1969.0
1970,1973.904761904762
1971,1974.888888888889
1972,1975.3333333333333
1973,1973.0
1974,1974.111111111111
1975,1976.142857142857
1976,1977.4545454545455
1977,1977.4516129032259
1978,1978.2
1979,1979.0
1980,1980.3
1981,1981.0
1982,1985.8333333333333
1983,1983.0
1984,1984.2222222222222
1985,1985.0
1986,1986.4
1987,1987.0
1988,1988.090909090909
1989,1989.0
1990,1990.0
1991,1991.0
1992,1992.076923076923
1993,1993.0
1994,1994.611111111111
1995,1995.3333333333333
1996,1996.4666666666667
1997,1997.0714285714287
1998,1998.0
1999,1999.0
2000,2000.0
2001,2001.0
2002,2002.0
2003,2003.0222222222221
2004,2004.0377358490566
2005,2005.0
2006,2006.1666666666667
2007,2007.1875
2008,2008.2173913043478
2009,2009.111111111111
2010,2010.0
