YearBuilt,GrLivArea.1
1872,2358.0
1875,1020.0
1880,2523.25
1882,1742.0
1885,1668.5
1890,2211.5
1892,2990.0
1893,2775.0
1898,2138.0
1900,1751.5
1904,1539.0
1905,1912.0
1906,1469.0
1908,1805.0
1910,1424.0
1911,1964.0
1912,2058.3333333333335
1913,694.0
1914,1644.857142857143
1915,1567.9
1916,1678.25
1917,2058.0
1918,1762.857142857143
1919,1929.3333333333333
1920,1311.3333333333333
1921,1384.5
1922,1197.25
1923,1371.142857142857
1924,1170.7142857142858
1925,1370.625
1926,1219.888888888889
1927,838.6666666666666
1928,1404.142857142857
1929,1211.25
1930,1023.8888888888889
1931,1351.6666666666667
1932,2145.75
1934,2010.0
1935,1584.1666666666667
1936,1361.6666666666667
1937,1365.2
1938,1004.0
1939,1463.875
1940,1274.888888888889
1941,1255.3333333333333
1942,1569.0
1945,1417.8333333333333
1946,1446.7142857142858
1947,1154.8
1948,1436.5714285714287
1949,1187.25
1950,1207.5
1951,1239.1666666666667
1952,1296.2
1953,1344.0
1954,1221.0416666666667
1955,1296.4375
1956,1153.142857142857
1957,1379.85
1958,1314.6666666666667
1959,1267.6538461538462
1960,1428.4705882352941
1961,1199.7142857142858
1962,1279.0526315789473
1963,1252.8125
1964,1445.3333333333333
1965,1306.75
1966,1373.2777777777778
1967,1323.4375
1968,1535.090909090909
1969,1511.9285714285713
1970,1192.7916666666667
1971,1167.4545454545455
1972,1141.0869565217392
1973,1471.090909090909
1974,1588.6
1975,1208.875
1976,1489.909090909091
1977,1500.53125
1978,1446.375
1979,1470.0
1980,1399.2
1981,1787.0
1982,835.1666666666666
1983,1249.5
1984,1327.3333333333333
1985,1421.4
1986,1803.0
1987,1368.0
1988,1766.4545454545455
1989,2048.3333333333335
1990,1940.5833333333333
1991,1656.8
1992,1880.5384615384614
1993,1796.8235294117646
1994,1860.578947368421
1995,1932.611111111111
1996,1855.1333333333334
1997,1740.4285714285713
1998,1793.96
1999,1719.92
2000,1737.7083333333333
2001,1739.8
2002,1783.9130434782608
2003,1681.0
2004,1576.962962962963
2005,1621.4375
2006,1675.4179104477612
2007,1721.4489795918366
2008,2143.1304347826085
2009,1602.2222222222222
2010,1856.0
