YearBuilt,HalfBath
1872,0.0
1875,0.0
1880,0.25
1882,1.0
1885,0.0
1890,0.5
1892,0.5
1893,1.0
1898,0.0
1900,0.2
1904,0.0
1905,0.0
1906,0.0
1908,0.0
1910,0.17647058823529413
1911,1.0
1912,0.0
1913,0.0
1914,0.42857142857142855
1915,0.3
1916,0.125
1917,1.0
1918,0.42857142857142855
1919,0.0
1920,0.16666666666666666
1921,0.3333333333333333
1922,0.125
1923,0.5714285714285714
1924,0.0
1925,0.1875
1926,0.1111111111111111
1927,0.0
1928,0.14285714285714285
1929,0.0
1930,0.0
1931,0.3333333333333333
1932,0.75
1934,0.6666666666666666
1935,0.16666666666666666
1936,0.2222222222222222
1937,0.4
1938,0.25
1939,0.25
1940,0.16666666666666666
1941,0.2
1942,0.5
1945,0.5
1946,0.2857142857142857
1947,0.2
1948,0.07142857142857142
1949,0.16666666666666666
1950,0.15
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.125
1956,0.07142857142857142
1957,0.2
1958,0.125
1959,0.23076923076923078
1960,0.23529411764705882
1961,0.14285714285714285
1962,0.3157894736842105
1963,0.4375
1964,0.4
1965,0.3333333333333333
1966,0.5
1967,0.1875
1968,0.5
1969,0.9285714285714286
1970,0.2916666666666667
1971,0.5
1972,0.4782608695652174
1973,0.7272727272727273
1974,0.7
1975,0.375
1976,0.45454545454545453
1977,0.34375
1978,0.4375
1979,0.4444444444444444
1980,0.5
1981,0.6
1982,0.0
1983,0.5
1984,0.1111111111111111
1985,0.4
1986,0.8
1987,0.0
1988,0.36363636363636365
1989,0.6666666666666666
1990,0.4166666666666667
1991,0.6
1992,0.6923076923076923
1993,0.8235294117647058
1994,0.631578947368421
1995,0.7777777777777778
1996,0.6666666666666666
1997,0.7142857142857143
1998,0.68
1999,0.76
2000,0.7916666666666666
2001,0.55
2002,0.5652173913043478
2003,0.5111111111111111
2004,0.3888888888888889
2005,0.484375
2006,0.417910447761194
2007,0.22448979591836735
2008,0.4782608695652174
2009,0.6666666666666666
2010,1.0
