YearBuilt,Id
1872,1350.0
1875,1138.0
1880,704.25
1882,992.0
1885,762.0
1890,831.5
1892,739.5
1893,584.0
1898,810.0
1900,690.9
1904,842.0
1905,1394.0
1906,654.0
1908,517.0
1910,789.2352941176471
1911,1235.0
1912,458.3333333333333
1913,439.0
1914,927.4285714285714
1915,495.2
1916,854.625
1917,1249.0
1918,689.5714285714286
1919,886.0
1920,748.3333333333334
1921,681.3333333333334
1922,1001.5
1923,727.8571428571429
1924,599.0
1925,709.4375
1926,783.0
1927,625.6666666666666
1928,777.8571428571429
1929,731.5
1930,654.8888888888889
1931,583.6666666666666
1932,777.0
1934,375.0
1935,820.3333333333334
1936,703.5555555555555
1937,736.8
1938,1049.25
1939,493.625
1940,637.3333333333334
1941,904.2
1942,885.0
1945,474.0
1946,853.7142857142857
1947,729.4
1948,785.8571428571429
1949,898.75
1950,768.25
1951,658.8333333333334
1952,632.2
1953,528.1666666666666
1954,686.2083333333334
1955,668.75
1956,684.7142857142857
1957,725.35
1958,656.4583333333334
1959,711.0384615384615
1960,565.4705882352941
1961,751.9285714285714
1962,766.8947368421053
1963,844.8125
1964,788.4666666666667
1965,742.0833333333334
1966,773.6111111111111
1967,739.625
1968,818.4545454545455
1969,950.6428571428571
1970,791.75
1971,715.7727272727273
1972,691.5217391304348
1973,685.4545454545455
1974,910.2
1975,558.875
1976,719.7272727272727
1977,780.84375
1978,886.8125
1979,718.2222222222222
1980,660.5
1981,593.0
1982,604.5
1983,508.75
1984,684.3333333333334
1985,769.8
1986,671.6
1987,536.0
1988,517.8181818181819
1989,467.0
1990,784.75
1991,893.2
1992,790.6153846153846
1993,530.4705882352941
1994,852.0
1995,741.7777777777778
1996,668.0
1997,489.85714285714283
1998,714.24
1999,774.56
2000,783.9166666666666
2001,709.1
2002,832.6086956521739
2003,674.1777777777778
2004,642.7962962962963
2005,791.71875
2006,779.179104477612
2007,692.795918367347
2008,869.9565217391304
2009,592.2222222222222
2010,379.0
