YearBuilt,LotArea
1872,5250.0
1875,6342.0
1880,12246.5
1882,17671.0
1885,11070.0
1890,9810.0
1892,14775.0
1893,13500.0
1898,8100.0
1900,9393.9
1904,10440.0
1905,10800.0
1906,10320.0
1908,26519.0
1910,8106.294117647059
1911,8525.0
1912,5803.666666666667
1913,4280.0
1914,9210.0
1915,9134.9
1916,8121.875
1917,9600.0
1918,17302.14285714286
1919,10551.0
1920,8349.666666666666
1921,8763.833333333334
1922,7805.5
1923,11360.857142857143
1924,7628.714285714285
1925,7446.3125
1926,6729.666666666667
1927,8694.666666666666
1928,7859.142857142857
1929,7263.75
1930,6675.777777777777
1931,6284.666666666667
1932,10726.25
1934,10132.0
1935,10476.333333333334
1936,8136.111111111111
1937,7345.0
1938,7041.5
1939,8354.375
1940,10304.444444444445
1941,8626.4
1942,8490.0
1945,7303.833333333333
1946,8731.857142857143
1947,6525.0
1948,14134.285714285714
1949,9077.583333333334
1950,9165.25
1951,11300.666666666666
1952,8290.8
1953,11216.916666666666
1954,12926.833333333334
1955,11572.3125
1956,10598.5
1957,11581.5
1958,16275.041666666666
1959,10573.26923076923
1960,14095.0
1961,10729.785714285714
1962,10635.842105263158
1963,11773.25
1964,11712.466666666667
1965,25601.5
1966,10529.055555555555
1967,11846.1875
1968,11479.318181818182
1969,12097.142857142857
1970,7233.625
1971,12675.227272727272
1972,7701.391304347826
1973,5994.181818181818
1974,10303.5
1975,18246.125
1976,9195.90909090909
1977,10434.71875
1978,9717.6875
1979,10579.777777777777
1980,8196.3
1981,20235.2
1982,7517.5
1983,9894.75
1984,8885.111111111111
1985,8513.8
1986,10461.4
1987,9972.333333333334
1988,11843.454545454546
1989,16755.0
1990,11576.5
1991,11566.6
1992,13347.0
1993,9724.176470588236
1994,13492.736842105263
1995,11953.888888888889
1996,11584.4
1997,10778.714285714286
1998,10135.04
1999,7747.24
2000,8198.833333333334
2001,10407.5
2002,10723.260869565218
2003,9658.533333333333
2004,8526.25925925926
2005,9304.546875
2006,10402.432835820895
2007,10456.30612244898
2008,14081.95652173913
2009,8862.277777777777
2010,11394.0
