YearBuilt,OverallCond
1872,5.0
1875,8.0
1880,6.5
1882,9.0
1885,6.5
1890,7.0
1892,6.5
1893,9.0
1898,5.0
1900,5.8
1904,8.0
1905,7.0
1906,7.0
1908,8.0
1910,6.352941176470588
1911,6.0
1912,5.666666666666667
1913,6.0
1914,5.428571428571429
1915,5.7
1916,6.5
1917,5.0
1918,6.571428571428571
1919,6.666666666666667
1920,5.866666666666666
1921,6.333333333333333
1922,5.375
1923,6.428571428571429
1924,6.142857142857143
1925,6.3125
1926,6.444444444444445
1927,6.0
1928,6.0
1929,7.25
1930,6.444444444444445
1931,5.666666666666667
1932,7.0
1934,6.333333333333333
1935,6.833333333333333
1936,6.0
1937,7.0
1938,6.75
1939,6.375
1940,6.055555555555555
1941,5.8
1942,7.0
1945,6.0
1946,6.142857142857143
1947,6.6
1948,5.571428571428571
1949,5.333333333333333
1950,5.75
1951,5.666666666666667
1952,4.8
1953,5.333333333333333
1954,5.708333333333333
1955,5.8125
1956,5.785714285714286
1957,5.5
1958,5.916666666666667
1959,5.846153846153846
1960,5.588235294117647
1961,5.714285714285714
1962,6.0
1963,5.5
1964,6.0
1965,6.083333333333333
1966,6.0
1967,5.375
1968,5.818181818181818
1969,5.5
1970,5.75
1971,5.363636363636363
1972,6.478260869565218
1973,5.2727272727272725
1974,5.7
1975,5.625
1976,5.909090909090909
1977,5.875
1978,5.8125
1979,5.222222222222222
1980,5.7
1981,5.8
1982,6.833333333333333
1983,6.25
1984,5.666666666666667
1985,5.0
1986,5.2
1987,6.0
1988,5.545454545454546
1989,5.333333333333333
1990,5.166666666666667
1991,5.0
1992,5.153846153846154
1993,5.529411764705882
1994,5.2105263157894735
1995,5.111111111111111
1996,5.066666666666666
1997,5.071428571428571
1998,5.04
1999,5.08
2000,5.0
2001,5.05
2002,5.0
2003,5.022222222222222
2004,5.0
2005,5.0
2006,5.0
2007,5.081632653061225
2008,5.0
2009,5.0
2010,2.0
