YearBuilt,OverallQual
1872,8.0
1875,5.0
1880,6.25
1882,8.0
1885,4.0
1890,6.0
1892,7.5
1893,10.0
1898,5.0
1900,4.5
1904,5.0
1905,6.0
1906,6.0
1908,5.5
1910,5.176470588235294
1911,5.0
1912,5.0
1913,5.0
1914,5.142857142857143
1915,5.1
1916,5.5
1917,6.0
1918,6.142857142857143
1919,5.666666666666667
1920,5.1
1921,5.333333333333333
1922,4.0
1923,5.428571428571429
1924,5.285714285714286
1925,5.75
1926,5.777777777777778
1927,4.333333333333333
1928,5.857142857142857
1929,6.5
1930,5.444444444444445
1931,5.833333333333333
1932,6.25
1934,6.666666666666667
1935,5.0
1936,5.0
1937,5.4
1938,4.75
1939,5.5
1940,5.111111111111111
1941,5.266666666666667
1942,5.5
1945,5.0
1946,4.571428571428571
1947,5.0
1948,5.071428571428571
1949,4.25
1950,4.9
1951,4.666666666666667
1952,4.6
1953,5.416666666666667
1954,5.0
1955,4.6875
1956,4.928571428571429
1957,5.15
1958,5.416666666666667
1959,5.3076923076923075
1960,5.470588235294118
1961,5.071428571428571
1962,5.2631578947368425
1963,5.1875
1964,5.666666666666667
1965,5.291666666666667
1966,5.5
1967,5.1875
1968,5.636363636363637
1969,5.5
1970,5.166666666666667
1971,5.2272727272727275
1972,5.3478260869565215
1973,5.7272727272727275
1974,5.9
1975,5.5
1976,5.878787878787879
1977,5.71875
1978,5.875
1979,5.666666666666667
1980,6.1
1981,7.4
1982,4.833333333333333
1983,6.0
1984,6.333333333333333
1985,6.6
1986,7.0
1987,6.0
1988,6.818181818181818
1989,7.0
1990,7.0
1991,6.6
1992,6.6923076923076925
1993,6.764705882352941
1994,6.684210526315789
1995,7.166666666666667
1996,6.866666666666666
1997,6.428571428571429
1998,6.96
1999,7.16
2000,6.916666666666667
2001,7.55
2002,7.391304347826087
2003,7.155555555555556
2004,7.092592592592593
2005,7.078125
2006,7.567164179104478
2007,7.73469387755102
2008,8.652173913043478
2009,7.444444444444445
2010,9.0
