YearBuilt,SalePrice
1872,122000.0
1875,94000.0
1880,200619.75
1882,168000.0
1885,111250.0
1890,142200.0
1892,291250.0
1893,325000.0
1898,106000.0
1900,112492.6
1904,157500.0
1905,163000.0
1906,135000.0
1908,183500.0
1910,111959.05882352941
1911,130000.0
1912,119466.66666666667
1913,90350.0
1914,126055.28571428571
1915,134387.5
1916,139800.0
1917,129500.0
1918,172421.42857142858
1919,154833.33333333334
1920,112903.33333333333
1921,140813.33333333334
1922,109237.5
1923,159428.57142857142
1924,105985.71428571429
1925,129190.625
1926,124144.44444444444
1927,82666.66666666667
1928,135557.14285714287
1929,153000.0
1930,103588.88888888889
1931,126650.0
1932,233358.5
1934,220766.66666666666
1935,161083.33333333334
1936,137888.88888888888
1937,131974.2
1938,109137.5
1939,150825.0
1940,131994.44444444444
1941,120900.0
1942,162000.0
1945,133500.0
1946,122400.0
1947,117200.0
1948,137764.2857142857
1949,111517.58333333333
1950,128036.25
1951,136600.0
1952,110398.6
1953,146333.33333333334
1954,139650.0
1955,134517.1875
1956,135810.7142857143
1957,149959.1
1958,143179.16666666666
1959,154124.3076923077
1960,161550.0
1961,139846.42857142858
1962,145742.1052631579
1963,143403.125
1964,161893.33333333334
1965,153115.95833333334
1966,159559.44444444444
1967,142337.5
1968,166075.0
1969,160725.64285714287
1970,134647.91666666666
1971,131820.45454545456
1972,140569.5652173913
1973,139400.0
1974,183050.0
1975,159268.75
1976,163831.9696969697
1977,166860.9375
1978,160962.5
1979,156396.88888888888
1980,164800.0
1981,249880.0
1982,132400.0
1983,181400.0
1984,164111.11111111112
1985,191400.0
1986,212000.0
1987,198000.0
1988,204636.36363636365
1989,279500.0
1990,220881.66666666666
1991,186140.0
1992,218384.61538461538
1993,218058.82352941178
1994,247900.0
1995,262194.44444444444
1996,259162.66666666666
1997,214925.0
1998,220450.0
1999,210614.72
2000,210766.66666666666
2001,242630.0
2002,226869.5652173913
2003,227408.57777777777
2004,210347.72222222222
2005,229680.953125
2006,251775.44776119402
2007,255362.73469387754
2008,348849.1304347826
2009,269220.0
2010,394432.0
